group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_alt,,,,1046729.0,ns,255697
"pow(0, 31)",pow_alt,,,,1973068.0,ns,511394
"pow(0, 31)",pow_alt,,,,2958744.0,ns,767091
"pow(0, 31)",pow_alt,,,,3945763.0,ns,1022788
"pow(0, 31)",pow_alt,,,,4930471.0,ns,1278485
"pow(0, 31)",pow_alt,,,,5916934.0,ns,1534182
"pow(0, 31)",pow_alt,,,,6980415.0,ns,1789879
"pow(0, 31)",pow_alt,,,,7986970.0,ns,2045576
"pow(0, 31)",pow_alt,,,,8942649.0,ns,2301273
"pow(0, 31)",pow_alt,,,,9923029.0,ns,2556970
"pow(0, 31)",pow_alt,,,,10867684.0,ns,2812667
"pow(0, 31)",pow_alt,,,,12540067.0,ns,3068364
"pow(0, 31)",pow_alt,,,,12916753.0,ns,3324061
"pow(0, 31)",pow_alt,,,,13808289.0,ns,3579758
"pow(0, 31)",pow_alt,,,,14808392.0,ns,3835455
"pow(0, 31)",pow_alt,,,,15803865.0,ns,4091152
"pow(0, 31)",pow_alt,,,,16829914.0,ns,4346849
"pow(0, 31)",pow_alt,,,,17749277.0,ns,4602546
"pow(0, 31)",pow_alt,,,,18747011.0,ns,4858243
"pow(0, 31)",pow_alt,,,,19753316.0,ns,5113940
"pow(0, 31)",pow_alt,,,,21341449.0,ns,5369637
"pow(0, 31)",pow_alt,,,,21751023.0,ns,5625334
"pow(0, 31)",pow_alt,,,,22680678.0,ns,5881031
"pow(0, 31)",pow_alt,,,,23689082.0,ns,6136728
"pow(0, 31)",pow_alt,,,,24695990.0,ns,6392425
"pow(0, 31)",pow_alt,,,,25685849.0,ns,6648122
"pow(0, 31)",pow_alt,,,,26652829.0,ns,6903819
"pow(0, 31)",pow_alt,,,,27773325.0,ns,7159516
"pow(0, 31)",pow_alt,,,,28596296.0,ns,7415213
"pow(0, 31)",pow_alt,,,,29610394.0,ns,7670910
"pow(0, 31)",pow_alt,,,,30592862.0,ns,7926607
"pow(0, 31)",pow_alt,,,,31553573.0,ns,8182304
"pow(0, 31)",pow_alt,,,,32564067.0,ns,8438001
"pow(0, 31)",pow_alt,,,,33602631.0,ns,8693698
"pow(0, 31)",pow_alt,,,,34801876.0,ns,8949395
"pow(0, 31)",pow_alt,,,,35560060.0,ns,9205092
"pow(0, 31)",pow_alt,,,,36507911.0,ns,9460789
"pow(0, 31)",pow_alt,,,,37533451.0,ns,9716486
"pow(0, 31)",pow_alt,,,,38476094.0,ns,9972183
"pow(0, 31)",pow_alt,,,,39441219.0,ns,10227880
"pow(0, 31)",pow_alt,,,,40468067.0,ns,10483577
"pow(0, 31)",pow_alt,,,,41507646.0,ns,10739274
"pow(0, 31)",pow_alt,,,,42419490.0,ns,10994971
"pow(0, 31)",pow_alt,,,,43406197.0,ns,11250668
"pow(0, 31)",pow_alt,,,,44661424.0,ns,11506365
"pow(0, 31)",pow_alt,,,,45514412.0,ns,11762062
"pow(0, 31)",pow_alt,,,,47387685.0,ns,12017759
"pow(0, 31)",pow_alt,,,,47475609.0,ns,12273456
"pow(0, 31)",pow_alt,,,,48923585.0,ns,12529153
"pow(0, 31)",pow_alt,,,,49454947.0,ns,12784850
"pow(0, 31)",pow_alt,,,,50347937.0,ns,13040547
"pow(0, 31)",pow_alt,,,,51334305.0,ns,13296244
"pow(0, 31)",pow_alt,,,,52512325.0,ns,13551941
"pow(0, 31)",pow_alt,,,,53784559.0,ns,13807638
"pow(0, 31)",pow_alt,,,,54346409.0,ns,14063335
"pow(0, 31)",pow_alt,,,,55771293.0,ns,14319032
"pow(0, 31)",pow_alt,,,,56491531.0,ns,14574729
"pow(0, 31)",pow_alt,,,,57261966.0,ns,14830426
"pow(0, 31)",pow_alt,,,,58228971.0,ns,15086123
"pow(0, 31)",pow_alt,,,,59319639.0,ns,15341820
"pow(0, 31)",pow_alt,,,,60176613.0,ns,15597517
"pow(0, 31)",pow_alt,,,,61317926.0,ns,15853214
"pow(0, 31)",pow_alt,,,,62142830.0,ns,16108911
"pow(0, 31)",pow_alt,,,,63118563.0,ns,16364608
"pow(0, 31)",pow_alt,,,,65042136.0,ns,16620305
"pow(0, 31)",pow_alt,,,,65760928.0,ns,16876002
"pow(0, 31)",pow_alt,,,,66945176.0,ns,17131699
"pow(0, 31)",pow_alt,,,,67099936.0,ns,17387396
"pow(0, 31)",pow_alt,,,,68271347.0,ns,17643093
"pow(0, 31)",pow_alt,,,,69109617.0,ns,17898790
"pow(0, 31)",pow_alt,,,,70075585.0,ns,18154487
"pow(0, 31)",pow_alt,,,,71004870.0,ns,18410184
"pow(0, 31)",pow_alt,,,,72044483.0,ns,18665881
"pow(0, 31)",pow_alt,,,,73073108.0,ns,18921578
"pow(0, 31)",pow_alt,,,,74017335.0,ns,19177275
"pow(0, 31)",pow_alt,,,,75048186.0,ns,19432972
"pow(0, 31)",pow_alt,,,,75988151.0,ns,19688669
"pow(0, 31)",pow_alt,,,,76918408.0,ns,19944366
"pow(0, 31)",pow_alt,,,,79254524.0,ns,20200063
"pow(0, 31)",pow_alt,,,,78953616.0,ns,20455760
"pow(0, 31)",pow_alt,,,,80280798.0,ns,20711457
"pow(0, 31)",pow_alt,,,,81021431.0,ns,20967154
"pow(0, 31)",pow_alt,,,,82080308.0,ns,21222851
