group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_alt_2opt,,,,1386633.0,ns,539975
"pow(0, 31)",pow_alt_2opt,,,,1942987.0,ns,1079950
"pow(0, 31)",pow_alt_2opt,,,,3055974.0,ns,1619925
"pow(0, 31)",pow_alt_2opt,,,,3907455.0,ns,2159900
"pow(0, 31)",pow_alt_2opt,,,,4913326.0,ns,2699875
"pow(0, 31)",pow_alt_2opt,,,,5852966.0,ns,3239850
"pow(0, 31)",pow_alt_2opt,,,,6892291.0,ns,3779825
"pow(0, 31)",pow_alt_2opt,,,,8085914.0,ns,4319800
"pow(0, 31)",pow_alt_2opt,,,,8818138.0,ns,4859775
"pow(0, 31)",pow_alt_2opt,,,,9767843.0,ns,5399750
"pow(0, 31)",pow_alt_2opt,,,,10690040.0,ns,5939725
"pow(0, 31)",pow_alt_2opt,,,,11681819.0,ns,6479700
"pow(0, 31)",pow_alt_2opt,,,,12920159.0,ns,7019675
"pow(0, 31)",pow_alt_2opt,,,,13958324.0,ns,7559650
"pow(0, 31)",pow_alt_2opt,,,,14580487.0,ns,8099625
"pow(0, 31)",pow_alt_2opt,,,,15845535.0,ns,8639600
"pow(0, 31)",pow_alt_2opt,,,,17058204.0,ns,9179575
"pow(0, 31)",pow_alt_2opt,,,,17568430.0,ns,9719550
"pow(0, 31)",pow_alt_2opt,,,,18737059.0,ns,10259525
"pow(0, 31)",pow_alt_2opt,,,,19437877.0,ns,10799500
"pow(0, 31)",pow_alt_2opt,,,,20406447.0,ns,11339475
"pow(0, 31)",pow_alt_2opt,,,,21403984.0,ns,11879450
"pow(0, 31)",pow_alt_2opt,,,,22877386.0,ns,12419425
"pow(0, 31)",pow_alt_2opt,,,,23633254.0,ns,12959400
"pow(0, 31)",pow_alt_2opt,,,,24433387.0,ns,13499375
"pow(0, 31)",pow_alt_2opt,,,,25515347.0,ns,14039350
"pow(0, 31)",pow_alt_2opt,,,,26393337.0,ns,14579325
"pow(0, 31)",pow_alt_2opt,,,,27208974.0,ns,15119300
"pow(0, 31)",pow_alt_2opt,,,,28182761.0,ns,15659275
"pow(0, 31)",pow_alt_2opt,,,,29743160.0,ns,16199250
"pow(0, 31)",pow_alt_2opt,,,,31172449.0,ns,16739225
"pow(0, 31)",pow_alt_2opt,,,,31138794.0,ns,17279200
"pow(0, 31)",pow_alt_2opt,,,,32173431.0,ns,17819175
"pow(0, 31)",pow_alt_2opt,,,,33064179.0,ns,18359150
