group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_alt_2opt_inline,,,,1005889.0,ns,885843
"pow(0, 31)",pow_alt_2opt_inline,,,,1978342.0,ns,1771686
"pow(0, 31)",pow_alt_2opt_inline,,,,2948640.0,ns,2657529
"pow(0, 31)",pow_alt_2opt_inline,,,,3942909.0,ns,3543372
"pow(0, 31)",pow_alt_2opt_inline,,,,4932542.0,ns,4429215
"pow(0, 31)",pow_alt_2opt_inline,,,,5971273.0,ns,5315058
"pow(0, 31)",pow_alt_2opt_inline,,,,6939269.0,ns,6200901
"pow(0, 31)",pow_alt_2opt_inline,,,,7890517.0,ns,7086744
"pow(0, 31)",pow_alt_2opt_inline,,,,8891049.0,ns,7972587
"pow(0, 31)",pow_alt_2opt_inline,,,,9837252.0,ns,8858430
"pow(0, 31)",pow_alt_2opt_inline,,,,10842540.0,ns,9744273
"pow(0, 31)",pow_alt_2opt_inline,,,,11844454.0,ns,10630116
"pow(0, 31)",pow_alt_2opt_inline,,,,12805758.0,ns,11515959
"pow(0, 31)",pow_alt_2opt_inline,,,,13836906.0,ns,12401802
"pow(0, 31)",pow_alt_2opt_inline,,,,14788850.0,ns,13287645
"pow(0, 31)",pow_alt_2opt_inline,,,,15782939.0,ns,14173488
"pow(0, 31)",pow_alt_2opt_inline,,,,16758017.0,ns,15059331
"pow(0, 31)",pow_alt_2opt_inline,,,,17755825.0,ns,15945174
"pow(0, 31)",pow_alt_2opt_inline,,,,18766500.0,ns,16831017
"pow(0, 31)",pow_alt_2opt_inline,,,,19740015.0,ns,17716860
"pow(0, 31)",pow_alt_2opt_inline,,,,20699810.0,ns,18602703
"pow(0, 31)",pow_alt_2opt_inline,,,,21671363.0,ns,19488546
"pow(0, 31)",pow_alt_2opt_inline,,,,22785822.0,ns,20374389
"pow(0, 31)",pow_alt_2opt_inline,,,,24216161.0,ns,21260232
"pow(0, 31)",pow_alt_2opt_inline,,,,24859026.0,ns,22146075
"pow(0, 31)",pow_alt_2opt_inline,,,,25621000.0,ns,23031918
"pow(0, 31)",pow_alt_2opt_inline,,,,26697917.0,ns,23917761
"pow(0, 31)",pow_alt_2opt_inline,,,,27636069.0,ns,24803604
"pow(0, 31)",pow_alt_2opt_inline,,,,28623885.0,ns,25689447
"pow(0, 31)",pow_alt_2opt_inline,,,,29622055.0,ns,26575290
"pow(0, 31)",pow_alt_2opt_inline,,,,30917165.0,ns,27461133
"pow(0, 31)",pow_alt_2opt_inline,,,,31688789.0,ns,28346976
"pow(0, 31)",pow_alt_2opt_inline,,,,32521413.0,ns,29232819
"pow(0, 31)",pow_alt_2opt_inline,,,,33570493.0,ns,30118662
"pow(0, 31)",pow_alt_2opt_inline,,,,34583323.0,ns,31004505
"pow(0, 31)",pow_alt_2opt_inline,,,,35562499.0,ns,31890348
"pow(0, 31)",pow_alt_2opt_inline,,,,36437646.0,ns,32776191
"pow(0, 31)",pow_alt_2opt_inline,,,,37427055.0,ns,33662034
"pow(0, 31)",pow_alt_2opt_inline,,,,38499208.0,ns,34547877
"pow(0, 31)",pow_alt_2opt_inline,,,,39492773.0,ns,35433720
"pow(0, 31)",pow_alt_2opt_inline,,,,40410570.0,ns,36319563
