group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_std_2opt,,,,1038446.0,ns,548161
"pow(0, 31)",pow_std_2opt,,,,1972437.0,ns,1096322
"pow(0, 31)",pow_std_2opt,,,,2960517.0,ns,1644483
"pow(0, 31)",pow_std_2opt,,,,3948649.0,ns,2192644
"pow(0, 31)",pow_std_2opt,,,,4932272.0,ns,2740805
"pow(0, 31)",pow_std_2opt,,,,5922194.0,ns,3288966
"pow(0, 31)",pow_std_2opt,,,,6944070.0,ns,3837127
"pow(0, 31)",pow_std_2opt,,,,7992103.0,ns,4385288
"pow(0, 31)",pow_std_2opt,,,,9007629.0,ns,4933449
"pow(0, 31)",pow_std_2opt,,,,9889224.0,ns,5481610
"pow(0, 31)",pow_std_2opt,,,,10854471.0,ns,6029771
"pow(0, 31)",pow_std_2opt,,,,11865534.0,ns,6577932
"pow(0, 31)",pow_std_2opt,,,,12830668.0,ns,7126093
"pow(0, 31)",pow_std_2opt,,,,13814047.0,ns,7674254
"pow(0, 31)",pow_std_2opt,,,,14798863.0,ns,8222415
"pow(0, 31)",pow_std_2opt,,,,15808501.0,ns,8770576
"pow(0, 31)",pow_std_2opt,,,,16774805.0,ns,9318737
"pow(0, 31)",pow_std_2opt,,,,17805752.0,ns,9866898
"pow(0, 31)",pow_std_2opt,,,,18752402.0,ns,10415059
"pow(0, 31)",pow_std_2opt,,,,19733635.0,ns,10963220
"pow(0, 31)",pow_std_2opt,,,,20766753.0,ns,11511381
"pow(0, 31)",pow_std_2opt,,,,21858406.0,ns,12059542
"pow(0, 31)",pow_std_2opt,,,,22742338.0,ns,12607703
"pow(0, 31)",pow_std_2opt,,,,23681835.0,ns,13155864
"pow(0, 31)",pow_std_2opt,,,,24669231.0,ns,13704025
"pow(0, 31)",pow_std_2opt,,,,25653899.0,ns,14252186
"pow(0, 31)",pow_std_2opt,,,,26665118.0,ns,14800347
"pow(0, 31)",pow_std_2opt,,,,27629512.0,ns,15348508
"pow(0, 31)",pow_std_2opt,,,,28619694.0,ns,15896669
"pow(0, 31)",pow_std_2opt,,,,29601432.0,ns,16444830
"pow(0, 31)",pow_std_2opt,,,,30649865.0,ns,16992991
"pow(0, 31)",pow_std_2opt,,,,31801706.0,ns,17541152
"pow(0, 31)",pow_std_2opt,,,,32666029.0,ns,18089313
"pow(0, 31)",pow_std_2opt,,,,33612182.0,ns,18637474
"pow(0, 31)",pow_std_2opt,,,,34572644.0,ns,19185635
"pow(0, 31)",pow_std_2opt,,,,35581851.0,ns,19733796
"pow(0, 31)",pow_std_2opt,,,,36535254.0,ns,20281957
"pow(0, 31)",pow_std_2opt,,,,37715813.0,ns,20830118
"pow(0, 31)",pow_std_2opt,,,,38612724.0,ns,21378279
"pow(0, 31)",pow_std_2opt,,,,39471582.0,ns,21926440
"pow(0, 31)",pow_std_2opt,,,,40455368.0,ns,22474601
"pow(0, 31)",pow_std_2opt,,,,41482317.0,ns,23022762
"pow(0, 31)",pow_std_2opt,,,,42865943.0,ns,23570923
"pow(0, 31)",pow_std_2opt,,,,43783241.0,ns,24119084
"pow(0, 31)",pow_std_2opt,,,,44535200.0,ns,24667245
"pow(0, 31)",pow_std_2opt,,,,46033769.0,ns,25215406
"pow(0, 31)",pow_std_2opt,,,,46716788.0,ns,25763567
"pow(0, 31)",pow_std_2opt,,,,47403589.0,ns,26311728
"pow(0, 31)",pow_std_2opt,,,,48418330.0,ns,26859889
"pow(0, 31)",pow_std_2opt,,,,49500090.0,ns,27408050
"pow(0, 31)",pow_std_2opt,,,,50506147.0,ns,27956211
"pow(0, 31)",pow_std_2opt,,,,51319295.0,ns,28504372
"pow(0, 31)",pow_std_2opt,,,,52323326.0,ns,29052533
"pow(0, 31)",pow_std_2opt,,,,54165466.0,ns,29600694
"pow(0, 31)",pow_std_2opt,,,,54319614.0,ns,30148855
"pow(0, 31)",pow_std_2opt,,,,55307529.0,ns,30697016
"pow(0, 31)",pow_std_2opt,,,,56266992.0,ns,31245177
"pow(0, 31)",pow_std_2opt,,,,57260654.0,ns,31793338
"pow(0, 31)",pow_std_2opt,,,,58576263.0,ns,32341499
"pow(0, 31)",pow_std_2opt,,,,59224943.0,ns,32889660
"pow(0, 31)",pow_std_2opt,,,,60207391.0,ns,33437821
"pow(0, 31)",pow_std_2opt,,,,61396553.0,ns,33985982
"pow(0, 31)",pow_std_2opt,,,,63451119.0,ns,34534143
"pow(0, 31)",pow_std_2opt,,,,63164728.0,ns,35082304
"pow(0, 31)",pow_std_2opt,,,,64497912.0,ns,35630465
"pow(0, 31)",pow_std_2opt,,,,65189643.0,ns,36178626
"pow(0, 31)",pow_std_2opt,,,,66556317.0,ns,36726787
"pow(0, 31)",pow_std_2opt,,,,67404583.0,ns,37274948
"pow(0, 31)",pow_std_2opt,,,,68150250.0,ns,37823109
"pow(0, 31)",pow_std_2opt,,,,69152258.0,ns,38371270
"pow(0, 31)",pow_std_2opt,,,,70123618.0,ns,38919431
"pow(0, 31)",pow_std_2opt,,,,71135700.0,ns,39467592
"pow(0, 31)",pow_std_2opt,,,,72224460.0,ns,40015753
"pow(0, 31)",pow_std_2opt,,,,73138164.0,ns,40563914
"pow(0, 31)",pow_std_2opt,,,,74086260.0,ns,41112075
"pow(0, 31)",pow_std_2opt,,,,75148937.0,ns,41660236
"pow(0, 31)",pow_std_2opt,,,,81354512.0,ns,42208397
"pow(0, 31)",pow_std_2opt,,,,79413084.0,ns,42756558
"pow(0, 31)",pow_std_2opt,,,,78102309.0,ns,43304719
"pow(0, 31)",pow_std_2opt,,,,78996775.0,ns,43852880
"pow(0, 31)",pow_std_2opt,,,,80212545.0,ns,44401041
"pow(0, 31)",pow_std_2opt,,,,80940638.0,ns,44949202
"pow(0, 31)",pow_std_2opt,,,,81937734.0,ns,45497363
"pow(0, 31)",pow_std_2opt,,,,82966969.0,ns,46045524
"pow(0, 31)",pow_std_2opt,,,,84012113.0,ns,46593685
"pow(0, 31)",pow_std_2opt,,,,84939398.0,ns,47141846
"pow(0, 31)",pow_std_2opt,,,,85966485.0,ns,47690007
"pow(0, 31)",pow_std_2opt,,,,86874433.0,ns,48238168
"pow(0, 31)",pow_std_2opt,,,,90791049.0,ns,48786329
"pow(0, 31)",pow_std_2opt,,,,88932049.0,ns,49334490
"pow(0, 31)",pow_std_2opt,,,,90392807.0,ns,49882651
"pow(0, 31)",pow_std_2opt,,,,91010248.0,ns,50430812
"pow(0, 31)",pow_std_2opt,,,,91831178.0,ns,50978973
"pow(0, 31)",pow_std_2opt,,,,93110348.0,ns,51527134
"pow(0, 31)",pow_std_2opt,,,,94141282.0,ns,52075295
"pow(0, 31)",pow_std_2opt,,,,94842665.0,ns,52623456
"pow(0, 31)",pow_std_2opt,,,,95802756.0,ns,53171617
"pow(0, 31)",pow_std_2opt,,,,96945511.0,ns,53719778
"pow(0, 31)",pow_std_2opt,,,,97708634.0,ns,54267939
"pow(0, 31)",pow_std_2opt,,,,105012832.0,ns,54816100
