group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",u32::pow,,,,1454885.0,ns,239616
"pow(0, 31)",u32::pow,,,,1974076.0,ns,479232
"pow(0, 31)",u32::pow,,,,2956014.0,ns,718848
"pow(0, 31)",u32::pow,,,,3942657.0,ns,958464
"pow(0, 31)",u32::pow,,,,4929311.0,ns,1198080
"pow(0, 31)",u32::pow,,,,5914098.0,ns,1437696
"pow(0, 31)",u32::pow,,,,7000273.0,ns,1677312
"pow(0, 31)",u32::pow,,,,7927608.0,ns,1916928
"pow(0, 31)",u32::pow,,,,8893929.0,ns,2156544
"pow(0, 31)",u32::pow,,,,9887620.0,ns,2396160
"pow(0, 31)",u32::pow,,,,10841125.0,ns,2635776
"pow(0, 31)",u32::pow,,,,11827713.0,ns,2875392
"pow(0, 31)",u32::pow,,,,12813019.0,ns,3115008
"pow(0, 31)",u32::pow,,,,13819205.0,ns,3354624
"pow(0, 31)",u32::pow,,,,14785556.0,ns,3594240
"pow(0, 31)",u32::pow,,,,15784945.0,ns,3833856
"pow(0, 31)",u32::pow,,,,16801060.0,ns,4073472
"pow(0, 31)",u32::pow,,,,17758581.0,ns,4313088
"pow(0, 31)",u32::pow,,,,18736217.0,ns,4552704
"pow(0, 31)",u32::pow,,,,19732535.0,ns,4792320
"pow(0, 31)",u32::pow,,,,20761552.0,ns,5031936
"pow(0, 31)",u32::pow,,,,21711953.0,ns,5271552
"pow(0, 31)",u32::pow,,,,22832604.0,ns,5511168
"pow(0, 31)",u32::pow,,,,23737089.0,ns,5750784
"pow(0, 31)",u32::pow,,,,24705872.0,ns,5990400
"pow(0, 31)",u32::pow,,,,25627250.0,ns,6230016
"pow(0, 31)",u32::pow,,,,26672476.0,ns,6469632
"pow(0, 31)",u32::pow,,,,27758506.0,ns,6709248
"pow(0, 31)",u32::pow,,,,28605215.0,ns,6948864
"pow(0, 31)",u32::pow,,,,29634879.0,ns,7188480
"pow(0, 31)",u32::pow,,,,30554575.0,ns,7428096
"pow(0, 31)",u32::pow,,,,31662463.0,ns,7667712
"pow(0, 31)",u32::pow,,,,32663947.0,ns,7907328
"pow(0, 31)",u32::pow,,,,33530849.0,ns,8146944
"pow(0, 31)",u32::pow,,,,34517790.0,ns,8386560
"pow(0, 31)",u32::pow,,,,35542732.0,ns,8626176
"pow(0, 31)",u32::pow,,,,36471147.0,ns,8865792
"pow(0, 31)",u32::pow,,,,38405974.0,ns,9105408
"pow(0, 31)",u32::pow,,,,38604836.0,ns,9345024
"pow(0, 31)",u32::pow,,,,39448106.0,ns,9584640
"pow(0, 31)",u32::pow,,,,40431820.0,ns,9824256
"pow(0, 31)",u32::pow,,,,41647972.0,ns,10063872
"pow(0, 31)",u32::pow,,,,42486771.0,ns,10303488
"pow(0, 31)",u32::pow,,,,43459023.0,ns,10543104
"pow(0, 31)",u32::pow,,,,44497296.0,ns,10782720
"pow(0, 31)",u32::pow,,,,45442605.0,ns,11022336
"pow(0, 31)",u32::pow,,,,46349083.0,ns,11261952
"pow(0, 31)",u32::pow,,,,47425915.0,ns,11501568
"pow(0, 31)",u32::pow,,,,48302434.0,ns,11741184
"pow(0, 31)",u32::pow,,,,49380517.0,ns,11980800
"pow(0, 31)",u32::pow,,,,53182930.0,ns,12220416
"pow(0, 31)",u32::pow,,,,51390227.0,ns,12460032
"pow(0, 31)",u32::pow,,,,52332611.0,ns,12699648
"pow(0, 31)",u32::pow,,,,53269414.0,ns,12939264
"pow(0, 31)",u32::pow,,,,54314985.0,ns,13178880
"pow(0, 31)",u32::pow,,,,55304268.0,ns,13418496
"pow(0, 31)",u32::pow,,,,56205112.0,ns,13658112
"pow(0, 31)",u32::pow,,,,57227075.0,ns,13897728
"pow(0, 31)",u32::pow,,,,58869666.0,ns,14137344
"pow(0, 31)",u32::pow,,,,59201617.0,ns,14376960
"pow(0, 31)",u32::pow,,,,60171570.0,ns,14616576
"pow(0, 31)",u32::pow,,,,61478312.0,ns,14856192
"pow(0, 31)",u32::pow,,,,62166265.0,ns,15095808
"pow(0, 31)",u32::pow,,,,63216448.0,ns,15335424
"pow(0, 31)",u32::pow,,,,64085104.0,ns,15575040
"pow(0, 31)",u32::pow,,,,66554891.0,ns,15814656
"pow(0, 31)",u32::pow,,,,66763422.0,ns,16054272
"pow(0, 31)",u32::pow,,,,67115527.0,ns,16293888
"pow(0, 31)",u32::pow,,,,68342633.0,ns,16533504
"pow(0, 31)",u32::pow,,,,69162695.0,ns,16773120
"pow(0, 31)",u32::pow,,,,70163874.0,ns,17012736
"pow(0, 31)",u32::pow,,,,71099965.0,ns,17252352
"pow(0, 31)",u32::pow,,,,72041694.0,ns,17491968
"pow(0, 31)",u32::pow,,,,73419815.0,ns,17731584
"pow(0, 31)",u32::pow,,,,74217568.0,ns,17971200
"pow(0, 31)",u32::pow,,,,75638758.0,ns,18210816
"pow(0, 31)",u32::pow,,,,76052162.0,ns,18450432
"pow(0, 31)",u32::pow,,,,76994190.0,ns,18690048
"pow(0, 31)",u32::pow,,,,77889801.0,ns,18929664
"pow(0, 31)",u32::pow,,,,79347957.0,ns,19169280
"pow(0, 31)",u32::pow,,,,79995045.0,ns,19408896
"pow(0, 31)",u32::pow,,,,82342157.0,ns,19648512
"pow(0, 31)",u32::pow,,,,86302174.0,ns,19888128
"pow(0, 31)",u32::pow,,,,83128289.0,ns,20127744
"pow(0, 31)",u32::pow,,,,85924348.0,ns,20367360
"pow(0, 31)",u32::pow,,,,85567140.0,ns,20606976
"pow(0, 31)",u32::pow,,,,86637122.0,ns,20846592
"pow(0, 31)",u32::pow,,,,88480014.0,ns,21086208
"pow(0, 31)",u32::pow,,,,88362237.0,ns,21325824
"pow(0, 31)",u32::pow,,,,88875811.0,ns,21565440
"pow(0, 31)",u32::pow,,,,91749189.0,ns,21805056
"pow(0, 31)",u32::pow,,,,91231396.0,ns,22044672
"pow(0, 31)",u32::pow,,,,91731919.0,ns,22284288
"pow(0, 31)",u32::pow,,,,92789554.0,ns,22523904
"pow(0, 31)",u32::pow,,,,93760612.0,ns,22763520
"pow(0, 31)",u32::pow,,,,94845093.0,ns,23003136
"pow(0, 31)",u32::pow,,,,95697675.0,ns,23242752
