group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(1, 31)",pow_alt_2opt_inline,,,,1462705.0,ns,765010
"pow(1, 31)",pow_alt_2opt_inline,,,,1970829.0,ns,1530020
"pow(1, 31)",pow_alt_2opt_inline,,,,3013772.0,ns,2295030
"pow(1, 31)",pow_alt_2opt_inline,,,,3987479.0,ns,3060040
"pow(1, 31)",pow_alt_2opt_inline,,,,4917631.0,ns,3825050
"pow(1, 31)",pow_alt_2opt_inline,,,,5899536.0,ns,4590060
"pow(1, 31)",pow_alt_2opt_inline,,,,6956680.0,ns,5355070
"pow(1, 31)",pow_alt_2opt_inline,,,,7920899.0,ns,6120080
"pow(1, 31)",pow_alt_2opt_inline,,,,8850130.0,ns,6885090
"pow(1, 31)",pow_alt_2opt_inline,,,,9845006.0,ns,7650100
"pow(1, 31)",pow_alt_2opt_inline,,,,10839684.0,ns,8415110
"pow(1, 31)",pow_alt_2opt_inline,,,,11822378.0,ns,9180120
"pow(1, 31)",pow_alt_2opt_inline,,,,12784305.0,ns,9945130
"pow(1, 31)",pow_alt_2opt_inline,,,,13792556.0,ns,10710140
"pow(1, 31)",pow_alt_2opt_inline,,,,14806475.0,ns,11475150
"pow(1, 31)",pow_alt_2opt_inline,,,,15766532.0,ns,12240160
"pow(1, 31)",pow_alt_2opt_inline,,,,16718124.0,ns,13005170
"pow(1, 31)",pow_alt_2opt_inline,,,,17700245.0,ns,13770180
"pow(1, 31)",pow_alt_2opt_inline,,,,18684581.0,ns,14535190
"pow(1, 31)",pow_alt_2opt_inline,,,,19963405.0,ns,15300200
"pow(1, 31)",pow_alt_2opt_inline,,,,20695495.0,ns,16065210
"pow(1, 31)",pow_alt_2opt_inline,,,,22347872.0,ns,16830220
"pow(1, 31)",pow_alt_2opt_inline,,,,23345232.0,ns,17595230
"pow(1, 31)",pow_alt_2opt_inline,,,,23659300.0,ns,18360240
"pow(1, 31)",pow_alt_2opt_inline,,,,24656157.0,ns,19125250
"pow(1, 31)",pow_alt_2opt_inline,,,,25653705.0,ns,19890260
"pow(1, 31)",pow_alt_2opt_inline,,,,26732073.0,ns,20655270
"pow(1, 31)",pow_alt_2opt_inline,,,,28163043.0,ns,21420280
"pow(1, 31)",pow_alt_2opt_inline,,,,28737881.0,ns,22185290
"pow(1, 31)",pow_alt_2opt_inline,,,,29588793.0,ns,22950300
"pow(1, 31)",pow_alt_2opt_inline,,,,31307088.0,ns,23715310
"pow(1, 31)",pow_alt_2opt_inline,,,,31637154.0,ns,24480320
"pow(1, 31)",pow_alt_2opt_inline,,,,32726084.0,ns,25245330
"pow(1, 31)",pow_alt_2opt_inline,,,,33494061.0,ns,26010340
"pow(1, 31)",pow_alt_2opt_inline,,,,34426639.0,ns,26775350
"pow(1, 31)",pow_alt_2opt_inline,,,,35505154.0,ns,27540360
"pow(1, 31)",pow_alt_2opt_inline,,,,36418748.0,ns,28305370
"pow(1, 31)",pow_alt_2opt_inline,,,,37441139.0,ns,29070380
"pow(1, 31)",pow_alt_2opt_inline,,,,39092680.0,ns,29835390
"pow(1, 31)",pow_alt_2opt_inline,,,,39822677.0,ns,30600400
"pow(1, 31)",pow_alt_2opt_inline,,,,48229430.0,ns,31365410
"pow(1, 31)",pow_alt_2opt_inline,,,,41808021.0,ns,32130420
"pow(1, 31)",pow_alt_2opt_inline,,,,42323774.0,ns,32895430
"pow(1, 31)",pow_alt_2opt_inline,,,,43500281.0,ns,33660440
"pow(1, 31)",pow_alt_2opt_inline,,,,44420415.0,ns,34425450
"pow(1, 31)",pow_alt_2opt_inline,,,,45367720.0,ns,35190460
"pow(1, 31)",pow_alt_2opt_inline,,,,46360083.0,ns,35955470
"pow(1, 31)",pow_alt_2opt_inline,,,,47230967.0,ns,36720480
"pow(1, 31)",pow_alt_2opt_inline,,,,48283577.0,ns,37485490
"pow(1, 31)",pow_alt_2opt_inline,,,,50254304.0,ns,38250500
"pow(1, 31)",pow_alt_2opt_inline,,,,50409157.0,ns,39015510
"pow(1, 31)",pow_alt_2opt_inline,,,,51307093.0,ns,39780520
"pow(1, 31)",pow_alt_2opt_inline,,,,52192900.0,ns,40545530
"pow(1, 31)",pow_alt_2opt_inline,,,,53375813.0,ns,41310540
"pow(1, 31)",pow_alt_2opt_inline,,,,55275839.0,ns,42075550
"pow(1, 31)",pow_alt_2opt_inline,,,,55801031.0,ns,42840560
"pow(1, 31)",pow_alt_2opt_inline,,,,56288312.0,ns,43605570
"pow(1, 31)",pow_alt_2opt_inline,,,,57183571.0,ns,44370580
"pow(1, 31)",pow_alt_2opt_inline,,,,58186321.0,ns,45135590
"pow(1, 31)",pow_alt_2opt_inline,,,,59236350.0,ns,45900600
"pow(1, 31)",pow_alt_2opt_inline,,,,60512924.0,ns,46665610
"pow(1, 31)",pow_alt_2opt_inline,,,,61098825.0,ns,47430620
"pow(1, 31)",pow_alt_2opt_inline,,,,62222920.0,ns,48195630
"pow(1, 31)",pow_alt_2opt_inline,,,,63086623.0,ns,48960640
"pow(1, 31)",pow_alt_2opt_inline,,,,64108086.0,ns,49725650
"pow(1, 31)",pow_alt_2opt_inline,,,,65065825.0,ns,50490660
"pow(1, 31)",pow_alt_2opt_inline,,,,66536499.0,ns,51255670
"pow(1, 31)",pow_alt_2opt_inline,,,,67055105.0,ns,52020680
"pow(1, 31)",pow_alt_2opt_inline,,,,67980287.0,ns,52785690
"pow(1, 31)",pow_alt_2opt_inline,,,,69080114.0,ns,53550700
"pow(1, 31)",pow_alt_2opt_inline,,,,70551835.0,ns,54315710
"pow(1, 31)",pow_alt_2opt_inline,,,,71099706.0,ns,55080720
"pow(1, 31)",pow_alt_2opt_inline,,,,71896538.0,ns,55845730
"pow(1, 31)",pow_alt_2opt_inline,,,,73967475.0,ns,56610740
"pow(1, 31)",pow_alt_2opt_inline,,,,75069706.0,ns,57375750
"pow(1, 31)",pow_alt_2opt_inline,,,,76266006.0,ns,58140760
"pow(1, 31)",pow_alt_2opt_inline,,,,76024415.0,ns,58905770
"pow(1, 31)",pow_alt_2opt_inline,,,,76828581.0,ns,59670780
"pow(1, 31)",pow_alt_2opt_inline,,,,77856335.0,ns,60435790
"pow(1, 31)",pow_alt_2opt_inline,,,,78848380.0,ns,61200800
"pow(1, 31)",pow_alt_2opt_inline,,,,80449380.0,ns,61965810
"pow(1, 31)",pow_alt_2opt_inline,,,,81102856.0,ns,62730820
"pow(1, 31)",pow_alt_2opt_inline,,,,82193966.0,ns,63495830
"pow(1, 31)",pow_alt_2opt_inline,,,,83558272.0,ns,64260840
"pow(1, 31)",pow_alt_2opt_inline,,,,83815038.0,ns,65025850
"pow(1, 31)",pow_alt_2opt_inline,,,,84848268.0,ns,65790860
"pow(1, 31)",pow_alt_2opt_inline,,,,85816803.0,ns,66555870
"pow(1, 31)",pow_alt_2opt_inline,,,,87018385.0,ns,67320880
"pow(1, 31)",pow_alt_2opt_inline,,,,87898091.0,ns,68085890
"pow(1, 31)",pow_alt_2opt_inline,,,,88947278.0,ns,68850900
"pow(1, 31)",pow_alt_2opt_inline,,,,89741636.0,ns,69615910
"pow(1, 31)",pow_alt_2opt_inline,,,,92402187.0,ns,70380920
"pow(1, 31)",pow_alt_2opt_inline,,,,91986237.0,ns,71145930
"pow(1, 31)",pow_alt_2opt_inline,,,,92623051.0,ns,71910940
"pow(1, 31)",pow_alt_2opt_inline,,,,104102024.0,ns,72675950
"pow(1, 31)",pow_alt_2opt_inline,,,,95348783.0,ns,73440960
"pow(1, 31)",pow_alt_2opt_inline,,,,95557826.0,ns,74205970
"pow(1, 31)",pow_alt_2opt_inline,,,,96609033.0,ns,74970980
"pow(1, 31)",pow_alt_2opt_inline,,,,97919820.0,ns,75735990
"pow(1, 31)",pow_alt_2opt_inline,,,,98749489.0,ns,76501000
