group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(1, 31)",pow_alt_inline,,,,864290.0,ns,252308
"pow(1, 31)",pow_alt_inline,,,,1762781.0,ns,504616
"pow(1, 31)",pow_alt_inline,,,,2918046.0,ns,756924
"pow(1, 31)",pow_alt_inline,,,,3892029.0,ns,1009232
"pow(1, 31)",pow_alt_inline,,,,4884209.0,ns,1261540
"pow(1, 31)",pow_alt_inline,,,,6225822.0,ns,1513848
"pow(1, 31)",pow_alt_inline,,,,7264578.0,ns,1766156
"pow(1, 31)",pow_alt_inline,,,,8299066.0,ns,2018464
"pow(1, 31)",pow_alt_inline,,,,9339512.0,ns,2270772
"pow(1, 31)",pow_alt_inline,,,,10015606.0,ns,2523080
"pow(1, 31)",pow_alt_inline,,,,10821954.0,ns,2775388
"pow(1, 31)",pow_alt_inline,,,,12458626.0,ns,3027696
"pow(1, 31)",pow_alt_inline,,,,13559284.0,ns,3280004
"pow(1, 31)",pow_alt_inline,,,,13621934.0,ns,3532312
"pow(1, 31)",pow_alt_inline,,,,14595093.0,ns,3784620
"pow(1, 31)",pow_alt_inline,,,,15589032.0,ns,4036928
"pow(1, 31)",pow_alt_inline,,,,16540514.0,ns,4289236
"pow(1, 31)",pow_alt_inline,,,,17093811.0,ns,4541544
"pow(1, 31)",pow_alt_inline,,,,15854695.0,ns,4793852
"pow(1, 31)",pow_alt_inline,,,,17806685.0,ns,5046160
"pow(1, 31)",pow_alt_inline,,,,20708004.0,ns,5298468
"pow(1, 31)",pow_alt_inline,,,,21732416.0,ns,5550776
"pow(1, 31)",pow_alt_inline,,,,22379570.0,ns,5803084
"pow(1, 31)",pow_alt_inline,,,,24203884.0,ns,6055392
"pow(1, 31)",pow_alt_inline,,,,25958226.0,ns,6307700
"pow(1, 31)",pow_alt_inline,,,,26809600.0,ns,6560008
"pow(1, 31)",pow_alt_inline,,,,26561323.0,ns,6812316
"pow(1, 31)",pow_alt_inline,,,,28806622.0,ns,7064624
"pow(1, 31)",pow_alt_inline,,,,29312708.0,ns,7316932
"pow(1, 31)",pow_alt_inline,,,,29190150.0,ns,7569240
"pow(1, 31)",pow_alt_inline,,,,30933937.0,ns,7821548
"pow(1, 31)",pow_alt_inline,,,,32431101.0,ns,8073856
"pow(1, 31)",pow_alt_inline,,,,34123512.0,ns,8326164
"pow(1, 31)",pow_alt_inline,,,,35086488.0,ns,8578472
"pow(1, 31)",pow_alt_inline,,,,34721262.0,ns,8830780
"pow(1, 31)",pow_alt_inline,,,,34778290.0,ns,9083088
"pow(1, 31)",pow_alt_inline,,,,36720047.0,ns,9335396
"pow(1, 31)",pow_alt_inline,,,,37532381.0,ns,9587704
"pow(1, 31)",pow_alt_inline,,,,37957803.0,ns,9840012
"pow(1, 31)",pow_alt_inline,,,,41659258.0,ns,10092320
"pow(1, 31)",pow_alt_inline,,,,40881157.0,ns,10344628
"pow(1, 31)",pow_alt_inline,,,,41890806.0,ns,10596936
"pow(1, 31)",pow_alt_inline,,,,41855610.0,ns,10849244
"pow(1, 31)",pow_alt_inline,,,,43716931.0,ns,11101552
"pow(1, 31)",pow_alt_inline,,,,44423188.0,ns,11353860
"pow(1, 31)",pow_alt_inline,,,,45893532.0,ns,11606168
"pow(1, 31)",pow_alt_inline,,,,46717201.0,ns,11858476
"pow(1, 31)",pow_alt_inline,,,,47314139.0,ns,12110784
"pow(1, 31)",pow_alt_inline,,,,48308292.0,ns,12363092
"pow(1, 31)",pow_alt_inline,,,,50014375.0,ns,12615400
"pow(1, 31)",pow_alt_inline,,,,51413193.0,ns,12867708
"pow(1, 31)",pow_alt_inline,,,,50079457.0,ns,13120016
"pow(1, 31)",pow_alt_inline,,,,53380781.0,ns,13372324
"pow(1, 31)",pow_alt_inline,,,,54694184.0,ns,13624632
"pow(1, 31)",pow_alt_inline,,,,54792961.0,ns,13876940
"pow(1, 31)",pow_alt_inline,,,,57080530.0,ns,14129248
"pow(1, 31)",pow_alt_inline,,,,54846715.0,ns,14381556
"pow(1, 31)",pow_alt_inline,,,,57575139.0,ns,14633864
"pow(1, 31)",pow_alt_inline,,,,57879400.0,ns,14886172
"pow(1, 31)",pow_alt_inline,,,,61252599.0,ns,15138480
"pow(1, 31)",pow_alt_inline,,,,63117517.0,ns,15390788
"pow(1, 31)",pow_alt_inline,,,,62497248.0,ns,15643096
"pow(1, 31)",pow_alt_inline,,,,63649094.0,ns,15895404
"pow(1, 31)",pow_alt_inline,,,,63379531.0,ns,16147712
"pow(1, 31)",pow_alt_inline,,,,66681084.0,ns,16400020
"pow(1, 31)",pow_alt_inline,,,,64441841.0,ns,16652328
"pow(1, 31)",pow_alt_inline,,,,77004411.0,ns,16904636
"pow(1, 31)",pow_alt_inline,,,,71884768.0,ns,17156944
"pow(1, 31)",pow_alt_inline,,,,72101321.0,ns,17409252
"pow(1, 31)",pow_alt_inline,,,,70589116.0,ns,17661560
"pow(1, 31)",pow_alt_inline,,,,73454771.0,ns,17913868
"pow(1, 31)",pow_alt_inline,,,,71601094.0,ns,18166176
"pow(1, 31)",pow_alt_inline,,,,71879063.0,ns,18418484
"pow(1, 31)",pow_alt_inline,,,,74582563.0,ns,18670792
"pow(1, 31)",pow_alt_inline,,,,75034316.0,ns,18923100
"pow(1, 31)",pow_alt_inline,,,,75406695.0,ns,19175408
"pow(1, 31)",pow_alt_inline,,,,76351089.0,ns,19427716
"pow(1, 31)",pow_alt_inline,,,,78040682.0,ns,19680024
"pow(1, 31)",pow_alt_inline,,,,80578560.0,ns,19932332
"pow(1, 31)",pow_alt_inline,,,,82209606.0,ns,20184640
"pow(1, 31)",pow_alt_inline,,,,82018216.0,ns,20436948
"pow(1, 31)",pow_alt_inline,,,,80966709.0,ns,20689256
"pow(1, 31)",pow_alt_inline,,,,79326612.0,ns,20941564
"pow(1, 31)",pow_alt_inline,,,,84567732.0,ns,21193872
"pow(1, 31)",pow_alt_inline,,,,81797313.0,ns,21446180
"pow(1, 31)",pow_alt_inline,,,,85290874.0,ns,21698488
"pow(1, 31)",pow_alt_inline,,,,86071988.0,ns,21950796
"pow(1, 31)",pow_alt_inline,,,,89682190.0,ns,22203104
"pow(1, 31)",pow_alt_inline,,,,87967546.0,ns,22455412
"pow(1, 31)",pow_alt_inline,,,,89590955.0,ns,22707720
"pow(1, 31)",pow_alt_inline,,,,91665525.0,ns,22960028
"pow(1, 31)",pow_alt_inline,,,,94249786.0,ns,23212336
"pow(1, 31)",pow_alt_inline,,,,94869352.0,ns,23464644
"pow(1, 31)",pow_alt_inline,,,,97321307.0,ns,23716952
"pow(1, 31)",pow_alt_inline,,,,96631155.0,ns,23969260
"pow(1, 31)",pow_alt_inline,,,,93957570.0,ns,24221568
"pow(1, 31)",pow_alt_inline,,,,96757373.0,ns,24473876
"pow(1, 31)",pow_alt_inline,,,,98732754.0,ns,24726184
"pow(1, 31)",pow_alt_inline,,,,100507682.0,ns,24978492
"pow(1, 31)",pow_alt_inline,,,,101070027.0,ns,25230800
