group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(1, 31)",pow_std_2opt,,,,1046700.0,ns,547850
"pow(1, 31)",pow_std_2opt,,,,1973266.0,ns,1095700
"pow(1, 31)",pow_std_2opt,,,,2964298.0,ns,1643550
"pow(1, 31)",pow_std_2opt,,,,3944066.0,ns,2191400
"pow(1, 31)",pow_std_2opt,,,,4935614.0,ns,2739250
"pow(1, 31)",pow_std_2opt,,,,5915208.0,ns,3287100
"pow(1, 31)",pow_std_2opt,,,,6907286.0,ns,3834950
"pow(1, 31)",pow_std_2opt,,,,7892852.0,ns,4382800
"pow(1, 31)",pow_std_2opt,,,,8878437.0,ns,4930650
"pow(1, 31)",pow_std_2opt,,,,9874657.0,ns,5478500
"pow(1, 31)",pow_std_2opt,,,,10851082.0,ns,6026350
"pow(1, 31)",pow_std_2opt,,,,11859060.0,ns,6574200
"pow(1, 31)",pow_std_2opt,,,,12828608.0,ns,7122050
"pow(1, 31)",pow_std_2opt,,,,13812507.0,ns,7669900
"pow(1, 31)",pow_std_2opt,,,,14876200.0,ns,8217750
"pow(1, 31)",pow_std_2opt,,,,15785289.0,ns,8765600
"pow(1, 31)",pow_std_2opt,,,,16830842.0,ns,9313450
"pow(1, 31)",pow_std_2opt,,,,17778687.0,ns,9861300
"pow(1, 31)",pow_std_2opt,,,,18744269.0,ns,10409150
"pow(1, 31)",pow_std_2opt,,,,19733843.0,ns,10957000
"pow(1, 31)",pow_std_2opt,,,,20797821.0,ns,11504850
"pow(1, 31)",pow_std_2opt,,,,21706482.0,ns,12052700
"pow(1, 31)",pow_std_2opt,,,,22795007.0,ns,12600550
"pow(1, 31)",pow_std_2opt,,,,23678217.0,ns,13148400
"pow(1, 31)",pow_std_2opt,,,,24749197.0,ns,13696250
"pow(1, 31)",pow_std_2opt,,,,26567999.0,ns,14244100
"pow(1, 31)",pow_std_2opt,,,,26906453.0,ns,14791950
"pow(1, 31)",pow_std_2opt,,,,27622364.0,ns,15339800
"pow(1, 31)",pow_std_2opt,,,,28616721.0,ns,15887650
"pow(1, 31)",pow_std_2opt,,,,29593186.0,ns,16435500
"pow(1, 31)",pow_std_2opt,,,,30606571.0,ns,16983350
"pow(1, 31)",pow_std_2opt,,,,32144529.0,ns,17531200
"pow(1, 31)",pow_std_2opt,,,,32576343.0,ns,18079050
"pow(1, 31)",pow_std_2opt,,,,33720604.0,ns,18626900
"pow(1, 31)",pow_std_2opt,,,,34644191.0,ns,19174750
"pow(1, 31)",pow_std_2opt,,,,35599160.0,ns,19722600
"pow(1, 31)",pow_std_2opt,,,,36670299.0,ns,20270450
"pow(1, 31)",pow_std_2opt,,,,37492951.0,ns,20818300
"pow(1, 31)",pow_std_2opt,,,,38471247.0,ns,21366150
"pow(1, 31)",pow_std_2opt,,,,39483923.0,ns,21914000
"pow(1, 31)",pow_std_2opt,,,,40501115.0,ns,22461850
"pow(1, 31)",pow_std_2opt,,,,41663134.0,ns,23009700
"pow(1, 31)",pow_std_2opt,,,,42442965.0,ns,23557550
"pow(1, 31)",pow_std_2opt,,,,43448513.0,ns,24105400
"pow(1, 31)",pow_std_2opt,,,,44422198.0,ns,24653250
"pow(1, 31)",pow_std_2opt,,,,45406427.0,ns,25201100
"pow(1, 31)",pow_std_2opt,,,,46467035.0,ns,25748950
"pow(1, 31)",pow_std_2opt,,,,47444452.0,ns,26296800
"pow(1, 31)",pow_std_2opt,,,,48393095.0,ns,26844650
"pow(1, 31)",pow_std_2opt,,,,49328617.0,ns,27392500
"pow(1, 31)",pow_std_2opt,,,,50340332.0,ns,27940350
"pow(1, 31)",pow_std_2opt,,,,52447788.0,ns,28488200
"pow(1, 31)",pow_std_2opt,,,,52333050.0,ns,29036050
"pow(1, 31)",pow_std_2opt,,,,53283459.0,ns,29583900
"pow(1, 31)",pow_std_2opt,,,,54790768.0,ns,30131750
"pow(1, 31)",pow_std_2opt,,,,55312818.0,ns,30679600
"pow(1, 31)",pow_std_2opt,,,,56424227.0,ns,31227450
"pow(1, 31)",pow_std_2opt,,,,57271453.0,ns,31775300
"pow(1, 31)",pow_std_2opt,,,,58275477.0,ns,32323150
"pow(1, 31)",pow_std_2opt,,,,59215528.0,ns,32871000
"pow(1, 31)",pow_std_2opt,,,,60375860.0,ns,33418850
"pow(1, 31)",pow_std_2opt,,,,61259466.0,ns,33966700
"pow(1, 31)",pow_std_2opt,,,,62159004.0,ns,34514550
"pow(1, 31)",pow_std_2opt,,,,63166882.0,ns,35062400
"pow(1, 31)",pow_std_2opt,,,,64256561.0,ns,35610250
"pow(1, 31)",pow_std_2opt,,,,65202265.0,ns,36158100
"pow(1, 31)",pow_std_2opt,,,,66159051.0,ns,36705950
"pow(1, 31)",pow_std_2opt,,,,67112883.0,ns,37253800
"pow(1, 31)",pow_std_2opt,,,,68502606.0,ns,37801650
"pow(1, 31)",pow_std_2opt,,,,69085646.0,ns,38349500
"pow(1, 31)",pow_std_2opt,,,,70066365.0,ns,38897350
"pow(1, 31)",pow_std_2opt,,,,71143922.0,ns,39445200
"pow(1, 31)",pow_std_2opt,,,,72209313.0,ns,39993050
"pow(1, 31)",pow_std_2opt,,,,73029826.0,ns,40540900
"pow(1, 31)",pow_std_2opt,,,,73991523.0,ns,41088750
"pow(1, 31)",pow_std_2opt,,,,75108370.0,ns,41636600
"pow(1, 31)",pow_std_2opt,,,,76001777.0,ns,42184450
"pow(1, 31)",pow_std_2opt,,,,77035025.0,ns,42732300
"pow(1, 31)",pow_std_2opt,,,,78016205.0,ns,43280150
"pow(1, 31)",pow_std_2opt,,,,79038097.0,ns,43828000
"pow(1, 31)",pow_std_2opt,,,,79962190.0,ns,44375850
"pow(1, 31)",pow_std_2opt,,,,84550515.0,ns,44923700
"pow(1, 31)",pow_std_2opt,,,,82019940.0,ns,45471550
"pow(1, 31)",pow_std_2opt,,,,83376062.0,ns,46019400
"pow(1, 31)",pow_std_2opt,,,,84050870.0,ns,46567250
"pow(1, 31)",pow_std_2opt,,,,91721629.0,ns,47115100
"pow(1, 31)",pow_std_2opt,,,,85819420.0,ns,47662950
"pow(1, 31)",pow_std_2opt,,,,86954169.0,ns,48210800
"pow(1, 31)",pow_std_2opt,,,,90731065.0,ns,48758650
"pow(1, 31)",pow_std_2opt,,,,92916394.0,ns,49306500
"pow(1, 31)",pow_std_2opt,,,,93928800.0,ns,49854350
"pow(1, 31)",pow_std_2opt,,,,94174738.0,ns,50402200
"pow(1, 31)",pow_std_2opt,,,,93364353.0,ns,50950050
"pow(1, 31)",pow_std_2opt,,,,94204674.0,ns,51497900
"pow(1, 31)",pow_std_2opt,,,,96925121.0,ns,52045750
"pow(1, 31)",pow_std_2opt,,,,97081976.0,ns,52593600
"pow(1, 31)",pow_std_2opt,,,,95843546.0,ns,53141450
"pow(1, 31)",pow_std_2opt,,,,96847078.0,ns,53689300
"pow(1, 31)",pow_std_2opt,,,,97722336.0,ns,54237150
"pow(1, 31)",pow_std_2opt,,,,98654364.0,ns,54785000
