group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,1,,,1000190.0,ns,477026
"pow(3, 0..18)",pow_alt_012opt,1,,,2021699.0,ns,954052
"pow(3, 0..18)",pow_alt_012opt,1,,,2943996.0,ns,1431078
"pow(3, 0..18)",pow_alt_012opt,1,,,3924409.0,ns,1908104
"pow(3, 0..18)",pow_alt_012opt,1,,,4924914.0,ns,2385130
"pow(3, 0..18)",pow_alt_012opt,1,,,5928254.0,ns,2862156
"pow(3, 0..18)",pow_alt_012opt,1,,,6886647.0,ns,3339182
"pow(3, 0..18)",pow_alt_012opt,1,,,7873915.0,ns,3816208
"pow(3, 0..18)",pow_alt_012opt,1,,,9091249.0,ns,4293234
"pow(3, 0..18)",pow_alt_012opt,1,,,10008649.0,ns,4770260
"pow(3, 0..18)",pow_alt_012opt,1,,,10792322.0,ns,5247286
"pow(3, 0..18)",pow_alt_012opt,1,,,11814861.0,ns,5724312
"pow(3, 0..18)",pow_alt_012opt,1,,,12780691.0,ns,6201338
"pow(3, 0..18)",pow_alt_012opt,1,,,13799344.0,ns,6678364
"pow(3, 0..18)",pow_alt_012opt,1,,,14716694.0,ns,7155390
"pow(3, 0..18)",pow_alt_012opt,1,,,15697390.0,ns,7632416
"pow(3, 0..18)",pow_alt_012opt,1,,,16686793.0,ns,8109442
"pow(3, 0..18)",pow_alt_012opt,1,,,17660268.0,ns,8586468
"pow(3, 0..18)",pow_alt_012opt,1,,,18723814.0,ns,9063494
"pow(3, 0..18)",pow_alt_012opt,1,,,19627933.0,ns,9540520
"pow(3, 0..18)",pow_alt_012opt,1,,,20619989.0,ns,10017546
"pow(3, 0..18)",pow_alt_012opt,1,,,21602262.0,ns,10494572
"pow(3, 0..18)",pow_alt_012opt,1,,,22673161.0,ns,10971598
"pow(3, 0..18)",pow_alt_012opt,1,,,23579333.0,ns,11448624
"pow(3, 0..18)",pow_alt_012opt,1,,,24535328.0,ns,11925650
"pow(3, 0..18)",pow_alt_012opt,1,,,25521481.0,ns,12402676
"pow(3, 0..18)",pow_alt_012opt,1,,,26563453.0,ns,12879702
"pow(3, 0..18)",pow_alt_012opt,1,,,27500502.0,ns,13356728
"pow(3, 0..18)",pow_alt_012opt,1,,,28482610.0,ns,13833754
"pow(3, 0..18)",pow_alt_012opt,1,,,29492976.0,ns,14310780
"pow(3, 0..18)",pow_alt_012opt,1,,,30470823.0,ns,14787806
"pow(3, 0..18)",pow_alt_012opt,1,,,31406134.0,ns,15264832
"pow(3, 0..18)",pow_alt_012opt,1,,,32948651.0,ns,15741858
"pow(3, 0..18)",pow_alt_012opt,1,,,33389073.0,ns,16218884
"pow(3, 0..18)",pow_alt_012opt,1,,,34682588.0,ns,16695910
"pow(3, 0..18)",pow_alt_012opt,1,,,35758649.0,ns,17172936
"pow(3, 0..18)",pow_alt_012opt,1,,,36663899.0,ns,17649962
"pow(3, 0..18)",pow_alt_012opt,1,,,37315355.0,ns,18126988
"pow(3, 0..18)",pow_alt_012opt,1,,,38309480.0,ns,18604014
"pow(3, 0..18)",pow_alt_012opt,1,,,39286944.0,ns,19081040
"pow(3, 0..18)",pow_alt_012opt,1,,,40363546.0,ns,19558066
"pow(3, 0..18)",pow_alt_012opt,1,,,41311914.0,ns,20035092
"pow(3, 0..18)",pow_alt_012opt,1,,,42307108.0,ns,20512118
