group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,9,,,1006190.0,ns,319735
"pow(3, 0..18)",pow_alt_012opt,9,,,2014762.0,ns,639470
"pow(3, 0..18)",pow_alt_012opt,9,,,2958316.0,ns,959205
"pow(3, 0..18)",pow_alt_012opt,9,,,3945636.0,ns,1278940
"pow(3, 0..18)",pow_alt_012opt,9,,,4931817.0,ns,1598675
"pow(3, 0..18)",pow_alt_012opt,9,,,5919721.0,ns,1918410
"pow(3, 0..18)",pow_alt_012opt,9,,,6905217.0,ns,2238145
"pow(3, 0..18)",pow_alt_012opt,9,,,8070982.0,ns,2557880
"pow(3, 0..18)",pow_alt_012opt,9,,,8938594.0,ns,2877615
"pow(3, 0..18)",pow_alt_012opt,9,,,9884384.0,ns,3197350
"pow(3, 0..18)",pow_alt_012opt,9,,,10851075.0,ns,3517085
"pow(3, 0..18)",pow_alt_012opt,9,,,11836852.0,ns,3836820
"pow(3, 0..18)",pow_alt_012opt,9,,,12822864.0,ns,4156555
"pow(3, 0..18)",pow_alt_012opt,9,,,14337083.0,ns,4476290
"pow(3, 0..18)",pow_alt_012opt,9,,,14902295.0,ns,4796025
"pow(3, 0..18)",pow_alt_012opt,9,,,15828036.0,ns,5115760
"pow(3, 0..18)",pow_alt_012opt,9,,,17542935.0,ns,5435495
"pow(3, 0..18)",pow_alt_012opt,9,,,17805944.0,ns,5755230
"pow(3, 0..18)",pow_alt_012opt,9,,,18742047.0,ns,6074965
"pow(3, 0..18)",pow_alt_012opt,9,,,19728040.0,ns,6394700
"pow(3, 0..18)",pow_alt_012opt,9,,,20744654.0,ns,6714435
"pow(3, 0..18)",pow_alt_012opt,9,,,21722542.0,ns,7034170
"pow(3, 0..18)",pow_alt_012opt,9,,,22730765.0,ns,7353905
"pow(3, 0..18)",pow_alt_012opt,9,,,23673545.0,ns,7673640
"pow(3, 0..18)",pow_alt_012opt,9,,,24839922.0,ns,7993375
"pow(3, 0..18)",pow_alt_012opt,9,,,25740237.0,ns,8313110
"pow(3, 0..18)",pow_alt_012opt,9,,,26675576.0,ns,8632845
"pow(3, 0..18)",pow_alt_012opt,9,,,27697961.0,ns,8952580
"pow(3, 0..18)",pow_alt_012opt,9,,,28736092.0,ns,9272315
"pow(3, 0..18)",pow_alt_012opt,9,,,29610991.0,ns,9592050
"pow(3, 0..18)",pow_alt_012opt,9,,,30600555.0,ns,9911785
"pow(3, 0..18)",pow_alt_012opt,9,,,31589823.0,ns,10231520
"pow(3, 0..18)",pow_alt_012opt,9,,,32590701.0,ns,10551255
"pow(3, 0..18)",pow_alt_012opt,9,,,33536760.0,ns,10870990
"pow(3, 0..18)",pow_alt_012opt,9,,,34611825.0,ns,11190725
"pow(3, 0..18)",pow_alt_012opt,9,,,35550879.0,ns,11510460
"pow(3, 0..18)",pow_alt_012opt,9,,,36519459.0,ns,11830195
"pow(3, 0..18)",pow_alt_012opt,9,,,37555023.0,ns,12149930
"pow(3, 0..18)",pow_alt_012opt,9,,,38577656.0,ns,12469665
"pow(3, 0..18)",pow_alt_012opt,9,,,40068234.0,ns,12789400
"pow(3, 0..18)",pow_alt_012opt,9,,,40442189.0,ns,13109135
"pow(3, 0..18)",pow_alt_012opt,9,,,41451455.0,ns,13428870
"pow(3, 0..18)",pow_alt_012opt,9,,,42723069.0,ns,13748605
"pow(3, 0..18)",pow_alt_012opt,9,,,43434354.0,ns,14068340
"pow(3, 0..18)",pow_alt_012opt,9,,,44388235.0,ns,14388075
"pow(3, 0..18)",pow_alt_012opt,9,,,45395470.0,ns,14707810
"pow(3, 0..18)",pow_alt_012opt,9,,,47274609.0,ns,15027545
"pow(3, 0..18)",pow_alt_012opt,9,,,47412260.0,ns,15347280
"pow(3, 0..18)",pow_alt_012opt,9,,,48464614.0,ns,15667015
"pow(3, 0..18)",pow_alt_012opt,9,,,49319281.0,ns,15986750
"pow(3, 0..18)",pow_alt_012opt,9,,,50350433.0,ns,16306485
"pow(3, 0..18)",pow_alt_012opt,9,,,51375793.0,ns,16626220
"pow(3, 0..18)",pow_alt_012opt,9,,,52444313.0,ns,16945955
"pow(3, 0..18)",pow_alt_012opt,9,,,53370441.0,ns,17265690
"pow(3, 0..18)",pow_alt_012opt,9,,,54438890.0,ns,17585425
"pow(3, 0..18)",pow_alt_012opt,9,,,55265601.0,ns,17905160
"pow(3, 0..18)",pow_alt_012opt,9,,,65188045.0,ns,18224895
"pow(3, 0..18)",pow_alt_012opt,9,,,57516593.0,ns,18544630
"pow(3, 0..18)",pow_alt_012opt,9,,,58241394.0,ns,18864365
"pow(3, 0..18)",pow_alt_012opt,9,,,59699317.0,ns,19184100
"pow(3, 0..18)",pow_alt_012opt,9,,,60249916.0,ns,19503835
"pow(3, 0..18)",pow_alt_012opt,9,,,61321848.0,ns,19823570
"pow(3, 0..18)",pow_alt_012opt,9,,,62183905.0,ns,20143305
"pow(3, 0..18)",pow_alt_012opt,9,,,63129563.0,ns,20463040
"pow(3, 0..18)",pow_alt_012opt,9,,,65456525.0,ns,20782775
"pow(3, 0..18)",pow_alt_012opt,9,,,65184452.0,ns,21102510
"pow(3, 0..18)",pow_alt_012opt,9,,,66110338.0,ns,21422245
"pow(3, 0..18)",pow_alt_012opt,9,,,67136770.0,ns,21741980
"pow(3, 0..18)",pow_alt_012opt,9,,,68200145.0,ns,22061715
"pow(3, 0..18)",pow_alt_012opt,9,,,69197066.0,ns,22381450
"pow(3, 0..18)",pow_alt_012opt,9,,,70033185.0,ns,22701185
"pow(3, 0..18)",pow_alt_012opt,9,,,71020666.0,ns,23020920
