group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,10,,,1021305.0,ns,293869
"pow(3, 0..18)",pow_std,10,,,2030004.0,ns,587738
"pow(3, 0..18)",pow_std,10,,,2945560.0,ns,881607
"pow(3, 0..18)",pow_std,10,,,3928688.0,ns,1175476
"pow(3, 0..18)",pow_std,10,,,4910645.0,ns,1469345
"pow(3, 0..18)",pow_std,10,,,5893646.0,ns,1763214
"pow(3, 0..18)",pow_std,10,,,7076399.0,ns,2057083
"pow(3, 0..18)",pow_std,10,,,8049827.0,ns,2350952
"pow(3, 0..18)",pow_std,10,,,8914392.0,ns,2644821
"pow(3, 0..18)",pow_std,10,,,9923895.0,ns,2938690
"pow(3, 0..18)",pow_std,10,,,10811696.0,ns,3232559
"pow(3, 0..18)",pow_std,10,,,11810405.0,ns,3526428
"pow(3, 0..18)",pow_std,10,,,12809440.0,ns,3820297
"pow(3, 0..18)",pow_std,10,,,13752241.0,ns,4114166
"pow(3, 0..18)",pow_std,10,,,14913064.0,ns,4408035
"pow(3, 0..18)",pow_std,10,,,16185899.0,ns,4701904
"pow(3, 0..18)",pow_std,10,,,16918371.0,ns,4995773
"pow(3, 0..18)",pow_std,10,,,17688116.0,ns,5289642
"pow(3, 0..18)",pow_std,10,,,18977917.0,ns,5583511
"pow(3, 0..18)",pow_std,10,,,19795242.0,ns,5877380
"pow(3, 0..18)",pow_std,10,,,20626373.0,ns,6171249
"pow(3, 0..18)",pow_std,10,,,21606869.0,ns,6465118
"pow(3, 0..18)",pow_std,10,,,22610193.0,ns,6758987
"pow(3, 0..18)",pow_std,10,,,23652818.0,ns,7052856
"pow(3, 0..18)",pow_std,10,,,24573458.0,ns,7346725
"pow(3, 0..18)",pow_std,10,,,25537482.0,ns,7640594
"pow(3, 0..18)",pow_std,10,,,26530515.0,ns,7934463
"pow(3, 0..18)",pow_std,10,,,27554855.0,ns,8228332
"pow(3, 0..18)",pow_std,10,,,28482309.0,ns,8522201
"pow(3, 0..18)",pow_std,10,,,30722586.0,ns,8816070
"pow(3, 0..18)",pow_std,10,,,31184631.0,ns,9109939
"pow(3, 0..18)",pow_std,10,,,31538581.0,ns,9403808
"pow(3, 0..18)",pow_std,10,,,32431165.0,ns,9697677
"pow(3, 0..18)",pow_std,10,,,33403011.0,ns,9991546
"pow(3, 0..18)",pow_std,10,,,34416583.0,ns,10285415
"pow(3, 0..18)",pow_std,10,,,35356176.0,ns,10579284
"pow(3, 0..18)",pow_std,10,,,36428918.0,ns,10873153
"pow(3, 0..18)",pow_std,10,,,37440911.0,ns,11167022
