group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,17,,,1021000.0,ns,238707
"pow(3, 0..18)",pow_std,17,,,2049878.0,ns,477414
"pow(3, 0..18)",pow_std,17,,,2971439.0,ns,716121
"pow(3, 0..18)",pow_std,17,,,3938588.0,ns,954828
"pow(3, 0..18)",pow_std,17,,,4938679.0,ns,1193535
"pow(3, 0..18)",pow_std,17,,,5890965.0,ns,1432242
"pow(3, 0..18)",pow_std,17,,,6894166.0,ns,1670949
"pow(3, 0..18)",pow_std,17,,,7999123.0,ns,1909656
"pow(3, 0..18)",pow_std,17,,,9115379.0,ns,2148363
"pow(3, 0..18)",pow_std,17,,,10041730.0,ns,2387070
"pow(3, 0..18)",pow_std,17,,,10800049.0,ns,2625777
"pow(3, 0..18)",pow_std,17,,,11782861.0,ns,2864484
"pow(3, 0..18)",pow_std,17,,,12765763.0,ns,3103191
"pow(3, 0..18)",pow_std,17,,,13745945.0,ns,3341898
"pow(3, 0..18)",pow_std,17,,,14832733.0,ns,3580605
"pow(3, 0..18)",pow_std,17,,,15710454.0,ns,3819312
"pow(3, 0..18)",pow_std,17,,,16696004.0,ns,4058019
"pow(3, 0..18)",pow_std,17,,,17673557.0,ns,4296726
"pow(3, 0..18)",pow_std,17,,,18696450.0,ns,4535433
"pow(3, 0..18)",pow_std,17,,,20088764.0,ns,4774140
"pow(3, 0..18)",pow_std,17,,,21558952.0,ns,5012847
"pow(3, 0..18)",pow_std,17,,,21695744.0,ns,5251554
"pow(3, 0..18)",pow_std,17,,,23551351.0,ns,5490261
"pow(3, 0..18)",pow_std,17,,,23675895.0,ns,5728968
"pow(3, 0..18)",pow_std,17,,,24594042.0,ns,5967675
"pow(3, 0..18)",pow_std,17,,,25547738.0,ns,6206382
"pow(3, 0..18)",pow_std,17,,,26612808.0,ns,6445089
"pow(3, 0..18)",pow_std,17,,,27500471.0,ns,6683796
"pow(3, 0..18)",pow_std,17,,,28507017.0,ns,6922503
"pow(3, 0..18)",pow_std,17,,,29527120.0,ns,7161210
"pow(3, 0..18)",pow_std,17,,,30474021.0,ns,7399917
"pow(3, 0..18)",pow_std,17,,,31556836.0,ns,7638624
"pow(3, 0..18)",pow_std,17,,,32413638.0,ns,7877331
"pow(3, 0..18)",pow_std,17,,,33397831.0,ns,8116038
"pow(3, 0..18)",pow_std,17,,,34634557.0,ns,8354745
"pow(3, 0..18)",pow_std,17,,,35851785.0,ns,8593452
"pow(3, 0..18)",pow_std,17,,,36344293.0,ns,8832159
"pow(3, 0..18)",pow_std,17,,,37373954.0,ns,9070866
"pow(3, 0..18)",pow_std,17,,,38344016.0,ns,9309573
"pow(3, 0..18)",pow_std,17,,,39297856.0,ns,9548280
"pow(3, 0..18)",pow_std,17,,,40296129.0,ns,9786987
"pow(3, 0..18)",pow_std,17,,,41336152.0,ns,10025694
"pow(3, 0..18)",pow_std,17,,,42237197.0,ns,10264401
"pow(3, 0..18)",pow_std,17,,,43237302.0,ns,10503108
"pow(3, 0..18)",pow_std,17,,,44801972.0,ns,10741815
"pow(3, 0..18)",pow_std,17,,,45200854.0,ns,10980522
"pow(3, 0..18)",pow_std,17,,,46251913.0,ns,11219229
"pow(3, 0..18)",pow_std,17,,,47170791.0,ns,11457936
"pow(3, 0..18)",pow_std,17,,,48487641.0,ns,11696643
"pow(3, 0..18)",pow_std,17,,,49920167.0,ns,11935350
"pow(3, 0..18)",pow_std,17,,,50229518.0,ns,12174057
"pow(3, 0..18)",pow_std,17,,,51126206.0,ns,12412764
"pow(3, 0..18)",pow_std,17,,,52059920.0,ns,12651471
"pow(3, 0..18)",pow_std,17,,,53130089.0,ns,12890178
"pow(3, 0..18)",pow_std,17,,,54168537.0,ns,13128885
"pow(3, 0..18)",pow_std,17,,,55031250.0,ns,13367592
"pow(3, 0..18)",pow_std,17,,,56032391.0,ns,13606299
"pow(3, 0..18)",pow_std,17,,,56970981.0,ns,13845006
"pow(3, 0..18)",pow_std,17,,,57977885.0,ns,14083713
"pow(3, 0..18)",pow_std,17,,,58942124.0,ns,14322420
"pow(3, 0..18)",pow_std,17,,,60637922.0,ns,14561127
"pow(3, 0..18)",pow_std,17,,,60977400.0,ns,14799834
"pow(3, 0..18)",pow_std,17,,,61881593.0,ns,15038541
"pow(3, 0..18)",pow_std,17,,,63398061.0,ns,15277248
"pow(3, 0..18)",pow_std,17,,,63919962.0,ns,15515955
"pow(3, 0..18)",pow_std,17,,,64839155.0,ns,15754662
"pow(3, 0..18)",pow_std,17,,,66370999.0,ns,15993369
"pow(3, 0..18)",pow_std,17,,,66887645.0,ns,16232076
"pow(3, 0..18)",pow_std,17,,,67857884.0,ns,16470783
"pow(3, 0..18)",pow_std,17,,,69471685.0,ns,16709490
"pow(3, 0..18)",pow_std,17,,,69900081.0,ns,16948197
"pow(3, 0..18)",pow_std,17,,,70745438.0,ns,17186904
"pow(3, 0..18)",pow_std,17,,,71761405.0,ns,17425611
"pow(3, 0..18)",pow_std,17,,,72710939.0,ns,17664318
"pow(3, 0..18)",pow_std,17,,,73707702.0,ns,17903025
"pow(3, 0..18)",pow_std,17,,,74790145.0,ns,18141732
"pow(3, 0..18)",pow_std,17,,,75758031.0,ns,18380439
"pow(3, 0..18)",pow_std,17,,,77923408.0,ns,18619146
"pow(3, 0..18)",pow_std,17,,,77647508.0,ns,18857853
"pow(3, 0..18)",pow_std,17,,,78579512.0,ns,19096560
"pow(3, 0..18)",pow_std,17,,,80628480.0,ns,19335267
"pow(3, 0..18)",pow_std,17,,,80632649.0,ns,19573974
"pow(3, 0..18)",pow_std,17,,,81585226.0,ns,19812681
"pow(3, 0..18)",pow_std,17,,,82697681.0,ns,20051388
"pow(3, 0..18)",pow_std,17,,,83615044.0,ns,20290095
"pow(3, 0..18)",pow_std,17,,,85158604.0,ns,20528802
"pow(3, 0..18)",pow_std,17,,,85573049.0,ns,20767509
"pow(3, 0..18)",pow_std,17,,,86572762.0,ns,21006216
"pow(3, 0..18)",pow_std,17,,,87494900.0,ns,21244923
"pow(3, 0..18)",pow_std,17,,,89115336.0,ns,21483630
"pow(3, 0..18)",pow_std,17,,,89588275.0,ns,21722337
"pow(3, 0..18)",pow_std,17,,,91417683.0,ns,21961044
"pow(3, 0..18)",pow_std,17,,,92471178.0,ns,22199751
"pow(3, 0..18)",pow_std,17,,,92466894.0,ns,22438458
"pow(3, 0..18)",pow_std,17,,,93414189.0,ns,22677165
"pow(3, 0..18)",pow_std,17,,,94580261.0,ns,22915872
"pow(3, 0..18)",pow_std,17,,,95554037.0,ns,23154579
"pow(3, 0..18)",pow_std,17,,,96314753.0,ns,23393286
"pow(3, 0..18)",pow_std,17,,,97998232.0,ns,23631993
"pow(3, 0..18)",pow_std,17,,,98279138.0,ns,23870700
