group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 18)",pow_std,,,,998113.0,ns,227213
"pow(3, 18)",pow_std,,,,2000554.0,ns,454426
"pow(3, 18)",pow_std,,,,2963595.0,ns,681639
"pow(3, 18)",pow_std,,,,3964481.0,ns,908852
"pow(3, 18)",pow_std,,,,4940525.0,ns,1136065
"pow(3, 18)",pow_std,,,,5941530.0,ns,1363278
"pow(3, 18)",pow_std,,,,6885798.0,ns,1590491
"pow(3, 18)",pow_std,,,,7740749.0,ns,1817704
"pow(3, 18)",pow_std,,,,8894720.0,ns,2044917
"pow(3, 18)",pow_std,,,,9894321.0,ns,2272130
"pow(3, 18)",pow_std,,,,10684175.0,ns,2499343
"pow(3, 18)",pow_std,,,,11774222.0,ns,2726556
"pow(3, 18)",pow_std,,,,12860011.0,ns,2953769
"pow(3, 18)",pow_std,,,,13855350.0,ns,3180982
"pow(3, 18)",pow_std,,,,14862536.0,ns,3408195
"pow(3, 18)",pow_std,,,,15733142.0,ns,3635408
"pow(3, 18)",pow_std,,,,16730353.0,ns,3862621
"pow(3, 18)",pow_std,,,,17628041.0,ns,4089834
"pow(3, 18)",pow_std,,,,18710366.0,ns,4317047
"pow(3, 18)",pow_std,,,,19684775.0,ns,4544260
"pow(3, 18)",pow_std,,,,20462284.0,ns,4771473
"pow(3, 18)",pow_std,,,,21726901.0,ns,4998686
"pow(3, 18)",pow_std,,,,22698070.0,ns,5225899
"pow(3, 18)",pow_std,,,,23613172.0,ns,5453112
"pow(3, 18)",pow_std,,,,24733832.0,ns,5680325
"pow(3, 18)",pow_std,,,,25590479.0,ns,5907538
"pow(3, 18)",pow_std,,,,26596744.0,ns,6134751
"pow(3, 18)",pow_std,,,,27689439.0,ns,6361964
"pow(3, 18)",pow_std,,,,28530952.0,ns,6589177
"pow(3, 18)",pow_std,,,,29518551.0,ns,6816390
"pow(3, 18)",pow_std,,,,30451953.0,ns,7043603
"pow(3, 18)",pow_std,,,,31333939.0,ns,7270816
"pow(3, 18)",pow_std,,,,32415214.0,ns,7498029
"pow(3, 18)",pow_std,,,,33436680.0,ns,7725242
"pow(3, 18)",pow_std,,,,36011235.0,ns,7952455
"pow(3, 18)",pow_std,,,,35508746.0,ns,8179668
"pow(3, 18)",pow_std,,,,36431893.0,ns,8406881
"pow(3, 18)",pow_std,,,,37381520.0,ns,8634094
"pow(3, 18)",pow_std,,,,38389413.0,ns,8861307
"pow(3, 18)",pow_std,,,,39264906.0,ns,9088520
"pow(3, 18)",pow_std,,,,40352204.0,ns,9315733
"pow(3, 18)",pow_std,,,,41399598.0,ns,9542946
"pow(3, 18)",pow_std,,,,42377446.0,ns,9770159
"pow(3, 18)",pow_std,,,,43130035.0,ns,9997372
"pow(3, 18)",pow_std,,,,44427259.0,ns,10224585
"pow(3, 18)",pow_std,,,,45211542.0,ns,10451798
"pow(3, 18)",pow_std,,,,46143186.0,ns,10679011
"pow(3, 18)",pow_std,,,,47057360.0,ns,10906224
"pow(3, 18)",pow_std,,,,48148424.0,ns,11133437
"pow(3, 18)",pow_std,,,,49129244.0,ns,11360650
"pow(3, 18)",pow_std,,,,49958607.0,ns,11587863
"pow(3, 18)",pow_std,,,,50987285.0,ns,11815076
