group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt_2opt,,,,1570587.0,ns,295057
"pow(3, 7)",pow_alt_2opt,,,,2530441.0,ns,590114
"pow(3, 7)",pow_alt_2opt,,,,2981199.0,ns,885171
"pow(3, 7)",pow_alt_2opt,,,,3946287.0,ns,1180228
"pow(3, 7)",pow_alt_2opt,,,,4930377.0,ns,1475285
"pow(3, 7)",pow_alt_2opt,,,,5806512.0,ns,1770342
"pow(3, 7)",pow_alt_2opt,,,,6872686.0,ns,2065399
"pow(3, 7)",pow_alt_2opt,,,,8257871.0,ns,2360456
"pow(3, 7)",pow_alt_2opt,,,,9138740.0,ns,2655513
"pow(3, 7)",pow_alt_2opt,,,,10188445.0,ns,2950570
"pow(3, 7)",pow_alt_2opt,,,,10847648.0,ns,3245627
"pow(3, 7)",pow_alt_2opt,,,,12443705.0,ns,3540684
"pow(3, 7)",pow_alt_2opt,,,,12819297.0,ns,3835741
"pow(3, 7)",pow_alt_2opt,,,,13805045.0,ns,4130798
"pow(3, 7)",pow_alt_2opt,,,,14811248.0,ns,4425855
"pow(3, 7)",pow_alt_2opt,,,,15777862.0,ns,4720912
"pow(3, 7)",pow_alt_2opt,,,,16808691.0,ns,5015969
"pow(3, 7)",pow_alt_2opt,,,,17637006.0,ns,5311026
"pow(3, 7)",pow_alt_2opt,,,,19389164.0,ns,5606083
"pow(3, 7)",pow_alt_2opt,,,,20269504.0,ns,5901140
"pow(3, 7)",pow_alt_2opt,,,,20754549.0,ns,6196197
"pow(3, 7)",pow_alt_2opt,,,,21879088.0,ns,6491254
"pow(3, 7)",pow_alt_2opt,,,,22581023.0,ns,6786311
"pow(3, 7)",pow_alt_2opt,,,,23690343.0,ns,7081368
"pow(3, 7)",pow_alt_2opt,,,,24533133.0,ns,7376425
"pow(3, 7)",pow_alt_2opt,,,,25920909.0,ns,7671482
"pow(3, 7)",pow_alt_2opt,,,,26988735.0,ns,7966539
"pow(3, 7)",pow_alt_2opt,,,,27736784.0,ns,8261596
"pow(3, 7)",pow_alt_2opt,,,,28609444.0,ns,8556653
"pow(3, 7)",pow_alt_2opt,,,,29584199.0,ns,8851710
