group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_std,,,,1003574.0,ns,332993
"pow(3, 7)",pow_std,,,,2028085.0,ns,665986
"pow(3, 7)",pow_std,,,,2962415.0,ns,998979
"pow(3, 7)",pow_std,,,,3938448.0,ns,1331972
"pow(3, 7)",pow_std,,,,4947220.0,ns,1664965
"pow(3, 7)",pow_std,,,,5933198.0,ns,1997958
"pow(3, 7)",pow_std,,,,6967729.0,ns,2330951
"pow(3, 7)",pow_std,,,,8056772.0,ns,2663944
"pow(3, 7)",pow_std,,,,8899763.0,ns,2996937
"pow(3, 7)",pow_std,,,,9861550.0,ns,3329930
"pow(3, 7)",pow_std,,,,10871280.0,ns,3662923
"pow(3, 7)",pow_std,,,,11858304.0,ns,3995916
"pow(3, 7)",pow_std,,,,12806125.0,ns,4328909
"pow(3, 7)",pow_std,,,,13798839.0,ns,4661902
"pow(3, 7)",pow_std,,,,14780026.0,ns,4994895
"pow(3, 7)",pow_std,,,,15824545.0,ns,5327888
"pow(3, 7)",pow_std,,,,16748192.0,ns,5660881
"pow(3, 7)",pow_std,,,,17743765.0,ns,5993874
"pow(3, 7)",pow_std,,,,18728434.0,ns,6326867
"pow(3, 7)",pow_std,,,,19713990.0,ns,6659860
"pow(3, 7)",pow_std,,,,20708003.0,ns,6992853
"pow(3, 7)",pow_std,,,,21676316.0,ns,7325846
"pow(3, 7)",pow_std,,,,24097016.0,ns,7658839
"pow(3, 7)",pow_std,,,,23806901.0,ns,7991832
"pow(3, 7)",pow_std,,,,24654374.0,ns,8324825
"pow(3, 7)",pow_std,,,,25536449.0,ns,8657818
"pow(3, 7)",pow_std,,,,26662258.0,ns,8990811
"pow(3, 7)",pow_std,,,,27560303.0,ns,9323804
"pow(3, 7)",pow_std,,,,28594309.0,ns,9656797
"pow(3, 7)",pow_std,,,,29552926.0,ns,9989790
"pow(3, 7)",pow_std,,,,30558359.0,ns,10322783
"pow(3, 7)",pow_std,,,,31589048.0,ns,10655776
"pow(3, 7)",pow_std,,,,32541972.0,ns,10988769
"pow(3, 7)",pow_std,,,,33727275.0,ns,11321762
"pow(3, 7)",pow_std,,,,34713487.0,ns,11654755
"pow(3, 7)",pow_std,,,,35508720.0,ns,11987748
"pow(3, 7)",pow_std,,,,36188668.0,ns,12320741
"pow(3, 7)",pow_std,,,,37178649.0,ns,12653734
"pow(3, 7)",pow_std,,,,38857520.0,ns,12986727
"pow(3, 7)",pow_std,,,,39209874.0,ns,13319720
"pow(3, 7)",pow_std,,,,40418023.0,ns,13652713
"pow(3, 7)",pow_std,,,,41093848.0,ns,13985706
"pow(3, 7)",pow_std,,,,42172830.0,ns,14318699
"pow(3, 7)",pow_std,,,,43267557.0,ns,14651692
"pow(3, 7)",pow_std,,,,44270730.0,ns,14984685
"pow(3, 7)",pow_std,,,,45249491.0,ns,15317678
"pow(3, 7)",pow_std,,,,46271209.0,ns,15650671
"pow(3, 7)",pow_std,,,,47165875.0,ns,15983664
"pow(3, 7)",pow_std,,,,48160805.0,ns,16316657
"pow(3, 7)",pow_std,,,,50007480.0,ns,16649650
"pow(3, 7)",pow_std,,,,50327176.0,ns,16982643
"pow(3, 7)",pow_std,,,,50918314.0,ns,17315636
"pow(3, 7)",pow_std,,,,52101057.0,ns,17648629
"pow(3, 7)",pow_std,,,,52980351.0,ns,17981622
"pow(3, 7)",pow_std,,,,54070995.0,ns,18314615
"pow(3, 7)",pow_std,,,,54879630.0,ns,18647608
"pow(3, 7)",pow_std,,,,56265091.0,ns,18980601
"pow(3, 7)",pow_std,,,,57049385.0,ns,19313594
"pow(3, 7)",pow_std,,,,58125003.0,ns,19646587
"pow(3, 7)",pow_std,,,,59356826.0,ns,19979580
"pow(3, 7)",pow_std,,,,60224668.0,ns,20312573
"pow(3, 7)",pow_std,,,,60710966.0,ns,20645566
"pow(3, 7)",pow_std,,,,61798166.0,ns,20978559
"pow(3, 7)",pow_std,,,,62748770.0,ns,21311552
"pow(3, 7)",pow_std,,,,63869960.0,ns,21644545
"pow(3, 7)",pow_std,,,,64878244.0,ns,21977538
"pow(3, 7)",pow_std,,,,65775865.0,ns,22310531
"pow(3, 7)",pow_std,,,,68051327.0,ns,22643524
"pow(3, 7)",pow_std,,,,68478407.0,ns,22976517
"pow(3, 7)",pow_std,,,,69438113.0,ns,23309510
"pow(3, 7)",pow_std,,,,69989214.0,ns,23642503
"pow(3, 7)",pow_std,,,,71158161.0,ns,23975496
"pow(3, 7)",pow_std,,,,71866065.0,ns,24308489
"pow(3, 7)",pow_std,,,,72847630.0,ns,24641482
"pow(3, 7)",pow_std,,,,74875928.0,ns,24974475
"pow(3, 7)",pow_std,,,,75075211.0,ns,25307468
"pow(3, 7)",pow_std,,,,75922789.0,ns,25640461
"pow(3, 7)",pow_std,,,,77220079.0,ns,25973454
"pow(3, 7)",pow_std,,,,77863906.0,ns,26306447
"pow(3, 7)",pow_std,,,,79362329.0,ns,26639440
"pow(3, 7)",pow_std,,,,80265443.0,ns,26972433
"pow(3, 7)",pow_std,,,,80782757.0,ns,27305426
"pow(3, 7)",pow_std,,,,81945675.0,ns,27638419
"pow(3, 7)",pow_std,,,,82856893.0,ns,27971412
"pow(3, 7)",pow_std,,,,84105430.0,ns,28304405
"pow(3, 7)",pow_std,,,,85254705.0,ns,28637398
"pow(3, 7)",pow_std,,,,86380075.0,ns,28970391
"pow(3, 7)",pow_std,,,,86649950.0,ns,29303384
"pow(3, 7)",pow_std,,,,87855585.0,ns,29636377
"pow(3, 7)",pow_std,,,,88703540.0,ns,29969370
"pow(3, 7)",pow_std,,,,89774829.0,ns,30302363
"pow(3, 7)",pow_std,,,,90804471.0,ns,30635356
"pow(3, 7)",pow_std,,,,93005264.0,ns,30968349
"pow(3, 7)",pow_std,,,,92694394.0,ns,31301342
"pow(3, 7)",pow_std,,,,93657057.0,ns,31634335
"pow(3, 7)",pow_std,,,,94681789.0,ns,31967328
"pow(3, 7)",pow_std,,,,95731313.0,ns,32300321
"pow(3, 7)",pow_std,,,,96659328.0,ns,32633314
"pow(3, 7)",pow_std,,,,98070526.0,ns,32966307
"pow(3, 7)",pow_std,,,,98474861.0,ns,33299300
