group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(7, 11)",pow_alt,,,,1004987.0,ns,310791
"pow(7, 11)",pow_alt,,,,1977404.0,ns,621582
"pow(7, 11)",pow_alt,,,,3078804.0,ns,932373
"pow(7, 11)",pow_alt,,,,3908342.0,ns,1243164
"pow(7, 11)",pow_alt,,,,4909292.0,ns,1553955
"pow(7, 11)",pow_alt,,,,5879390.0,ns,1864746
"pow(7, 11)",pow_alt,,,,6866687.0,ns,2175537
"pow(7, 11)",pow_alt,,,,7861456.0,ns,2486328
"pow(7, 11)",pow_alt,,,,8806958.0,ns,2797119
"pow(7, 11)",pow_alt,,,,9780173.0,ns,3107910
"pow(7, 11)",pow_alt,,,,10789740.0,ns,3418701
"pow(7, 11)",pow_alt,,,,11724688.0,ns,3729492
"pow(7, 11)",pow_alt,,,,12712884.0,ns,4040283
"pow(7, 11)",pow_alt,,,,13751712.0,ns,4351074
"pow(7, 11)",pow_alt,,,,14673068.0,ns,4661865
"pow(7, 11)",pow_alt,,,,15770625.0,ns,4972656
"pow(7, 11)",pow_alt,,,,16638042.0,ns,5283447
"pow(7, 11)",pow_alt,,,,17629709.0,ns,5594238
"pow(7, 11)",pow_alt,,,,18605693.0,ns,5905029
"pow(7, 11)",pow_alt,,,,23889067.0,ns,6215820
"pow(7, 11)",pow_alt,,,,26430898.0,ns,6526611
"pow(7, 11)",pow_alt,,,,21780961.0,ns,6837402
"pow(7, 11)",pow_alt,,,,22671215.0,ns,7148193
"pow(7, 11)",pow_alt,,,,23570906.0,ns,7458984
"pow(7, 11)",pow_alt,,,,24486931.0,ns,7769775
"pow(7, 11)",pow_alt,,,,25580831.0,ns,8080566
"pow(7, 11)",pow_alt,,,,26442710.0,ns,8391357
"pow(7, 11)",pow_alt,,,,27495138.0,ns,8702148
"pow(7, 11)",pow_alt,,,,28441865.0,ns,9012939
"pow(7, 11)",pow_alt,,,,29391149.0,ns,9323730
"pow(7, 11)",pow_alt,,,,30530423.0,ns,9634521
"pow(7, 11)",pow_alt,,,,31834685.0,ns,9945312
"pow(7, 11)",pow_alt,,,,32325781.0,ns,10256103
"pow(7, 11)",pow_alt,,,,33318096.0,ns,10566894
"pow(7, 11)",pow_alt,,,,34195484.0,ns,10877685
"pow(7, 11)",pow_alt,,,,35294465.0,ns,11188476
"pow(7, 11)",pow_alt,,,,36280907.0,ns,11499267
"pow(7, 11)",pow_alt,,,,37250137.0,ns,11810058
"pow(7, 11)",pow_alt,,,,38152357.0,ns,12120849
"pow(7, 11)",pow_alt,,,,39959304.0,ns,12431640
"pow(7, 11)",pow_alt,,,,40481962.0,ns,12742431
"pow(7, 11)",pow_alt,,,,41898263.0,ns,13053222
"pow(7, 11)",pow_alt,,,,42543725.0,ns,13364013
"pow(7, 11)",pow_alt,,,,43246714.0,ns,13674804
"pow(7, 11)",pow_alt,,,,44107654.0,ns,13985595
"pow(7, 11)",pow_alt,,,,45055669.0,ns,14296386
"pow(7, 11)",pow_alt,,,,46029186.0,ns,14607177
"pow(7, 11)",pow_alt,,,,47174885.0,ns,14917968
