group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(7, 11)",u32::pow,,,,1892360.0,ns,301611
"pow(7, 11)",u32::pow,,,,2562920.0,ns,603222
"pow(7, 11)",u32::pow,,,,3026602.0,ns,904833
"pow(7, 11)",u32::pow,,,,4032149.0,ns,1206444
"pow(7, 11)",u32::pow,,,,5039839.0,ns,1508055
"pow(7, 11)",u32::pow,,,,6048879.0,ns,1809666
"pow(7, 11)",u32::pow,,,,7158859.0,ns,2111277
"pow(7, 11)",u32::pow,,,,8220473.0,ns,2412888
"pow(7, 11)",u32::pow,,,,9142902.0,ns,2714499
"pow(7, 11)",u32::pow,,,,10049471.0,ns,3016110
"pow(7, 11)",u32::pow,,,,10839056.0,ns,3317721
"pow(7, 11)",u32::pow,,,,12096337.0,ns,3619332
"pow(7, 11)",u32::pow,,,,13106929.0,ns,3920943
"pow(7, 11)",u32::pow,,,,14171966.0,ns,4222554
"pow(7, 11)",u32::pow,,,,14997755.0,ns,4524165
"pow(7, 11)",u32::pow,,,,16181907.0,ns,4825776
"pow(7, 11)",u32::pow,,,,17163040.0,ns,5127387
"pow(7, 11)",u32::pow,,,,17827811.0,ns,5428998
"pow(7, 11)",u32::pow,,,,19152274.0,ns,5730609
"pow(7, 11)",u32::pow,,,,20185306.0,ns,6032220
"pow(7, 11)",u32::pow,,,,21167999.0,ns,6333831
"pow(7, 11)",u32::pow,,,,21177467.0,ns,6635442
"pow(7, 11)",u32::pow,,,,22202313.0,ns,6937053
"pow(7, 11)",u32::pow,,,,24050551.0,ns,7238664
"pow(7, 11)",u32::pow,,,,24585186.0,ns,7540275
"pow(7, 11)",u32::pow,,,,26296147.0,ns,7841886
"pow(7, 11)",u32::pow,,,,27154467.0,ns,8143497
"pow(7, 11)",u32::pow,,,,28248093.0,ns,8445108
"pow(7, 11)",u32::pow,,,,29265750.0,ns,8746719
"pow(7, 11)",u32::pow,,,,30267303.0,ns,9048330
"pow(7, 11)",u32::pow,,,,31227288.0,ns,9349941
"pow(7, 11)",u32::pow,,,,32222717.0,ns,9651552
"pow(7, 11)",u32::pow,,,,33364717.0,ns,9953163
"pow(7, 11)",u32::pow,,,,34363940.0,ns,10254774
"pow(7, 11)",u32::pow,,,,35467000.0,ns,10556385
"pow(7, 11)",u32::pow,,,,36270431.0,ns,10857996
"pow(7, 11)",u32::pow,,,,37328732.0,ns,11159607
"pow(7, 11)",u32::pow,,,,38331865.0,ns,11461218
"pow(7, 11)",u32::pow,,,,39379229.0,ns,11762829
"pow(7, 11)",u32::pow,,,,39803358.0,ns,12064440
"pow(7, 11)",u32::pow,,,,41410367.0,ns,12366051
"pow(7, 11)",u32::pow,,,,42028525.0,ns,12667662
"pow(7, 11)",u32::pow,,,,43516375.0,ns,12969273
"pow(7, 11)",u32::pow,,,,44353091.0,ns,13270884
"pow(7, 11)",u32::pow,,,,45122084.0,ns,13572495
"pow(7, 11)",u32::pow,,,,45995516.0,ns,13874106
"pow(7, 11)",u32::pow,,,,47713244.0,ns,14175717
"pow(7, 11)",u32::pow,,,,48210451.0,ns,14477328
"pow(7, 11)",u32::pow,,,,49000740.0,ns,14778939
"pow(7, 11)",u32::pow,,,,50077356.0,ns,15080550
"pow(7, 11)",u32::pow,,,,52481641.0,ns,15382161
"pow(7, 11)",u32::pow,,,,51781493.0,ns,15683772
"pow(7, 11)",u32::pow,,,,50728625.0,ns,15985383
"pow(7, 11)",u32::pow,,,,51584192.0,ns,16286994
"pow(7, 11)",u32::pow,,,,55088230.0,ns,16588605
"pow(7, 11)",u32::pow,,,,56917826.0,ns,16890216
"pow(7, 11)",u32::pow,,,,56607934.0,ns,17191827
"pow(7, 11)",u32::pow,,,,55281333.0,ns,17493438
"pow(7, 11)",u32::pow,,,,56770280.0,ns,17795049
"pow(7, 11)",u32::pow,,,,60239432.0,ns,18096660
"pow(7, 11)",u32::pow,,,,61541584.0,ns,18398271
"pow(7, 11)",u32::pow,,,,61303783.0,ns,18699882
"pow(7, 11)",u32::pow,,,,63530376.0,ns,19001493
"pow(7, 11)",u32::pow,,,,64574914.0,ns,19303104
"pow(7, 11)",u32::pow,,,,65555123.0,ns,19604715
"pow(7, 11)",u32::pow,,,,66780202.0,ns,19906326
"pow(7, 11)",u32::pow,,,,67262512.0,ns,20207937
"pow(7, 11)",u32::pow,,,,69335982.0,ns,20509548
"pow(7, 11)",u32::pow,,,,67663895.0,ns,20811159
"pow(7, 11)",u32::pow,,,,69984702.0,ns,21112770
"pow(7, 11)",u32::pow,,,,70048134.0,ns,21414381
"pow(7, 11)",u32::pow,,,,72566568.0,ns,21715992
"pow(7, 11)",u32::pow,,,,72942605.0,ns,22017603
"pow(7, 11)",u32::pow,,,,72523399.0,ns,22319214
"pow(7, 11)",u32::pow,,,,75641758.0,ns,22620825
"pow(7, 11)",u32::pow,,,,76904417.0,ns,22922436
"pow(7, 11)",u32::pow,,,,76992063.0,ns,23224047
"pow(7, 11)",u32::pow,,,,78629039.0,ns,23525658
"pow(7, 11)",u32::pow,,,,79968212.0,ns,23827269
"pow(7, 11)",u32::pow,,,,80651566.0,ns,24128880
"pow(7, 11)",u32::pow,,,,81396881.0,ns,24430491
"pow(7, 11)",u32::pow,,,,81328004.0,ns,24732102
"pow(7, 11)",u32::pow,,,,82571557.0,ns,25033713
"pow(7, 11)",u32::pow,,,,82851960.0,ns,25335324
"pow(7, 11)",u32::pow,,,,86947265.0,ns,25636935
"pow(7, 11)",u32::pow,,,,85413045.0,ns,25938546
"pow(7, 11)",u32::pow,,,,87228187.0,ns,26240157
"pow(7, 11)",u32::pow,,,,85350780.0,ns,26541768
"pow(7, 11)",u32::pow,,,,88382698.0,ns,26843379
"pow(7, 11)",u32::pow,,,,85890254.0,ns,27144990
"pow(7, 11)",u32::pow,,,,90659650.0,ns,27446601
"pow(7, 11)",u32::pow,,,,91532109.0,ns,27748212
"pow(7, 11)",u32::pow,,,,92426805.0,ns,28049823
"pow(7, 11)",u32::pow,,,,90402394.0,ns,28351434
"pow(7, 11)",u32::pow,,,,92400183.0,ns,28653045
"pow(7, 11)",u32::pow,,,,92821074.0,ns,28954656
"pow(7, 11)",u32::pow,,,,94871785.0,ns,29256267
"pow(7, 11)",u32::pow,,,,96111880.0,ns,29557878
"pow(7, 11)",u32::pow,,,,97268710.0,ns,29859489
"pow(7, 11)",u32::pow,,,,97699412.0,ns,30161100
