group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_alt_2opt,,,,1012557.0,ns,306254
"pow(0, 31)",pow_alt_2opt,,,,2012575.0,ns,612508
"pow(0, 31)",pow_alt_2opt,,,,2928074.0,ns,918762
"pow(0, 31)",pow_alt_2opt,,,,3956399.0,ns,1225016
"pow(0, 31)",pow_alt_2opt,,,,5233635.0,ns,1531270
"pow(0, 31)",pow_alt_2opt,,,,5936678.0,ns,1837524
"pow(0, 31)",pow_alt_2opt,,,,6937615.0,ns,2143778
"pow(0, 31)",pow_alt_2opt,,,,8115669.0,ns,2450032
"pow(0, 31)",pow_alt_2opt,,,,8920640.0,ns,2756286
"pow(0, 31)",pow_alt_2opt,,,,9902737.0,ns,3062540
"pow(0, 31)",pow_alt_2opt,,,,10879725.0,ns,3368794
"pow(0, 31)",pow_alt_2opt,,,,11957350.0,ns,3675048
"pow(0, 31)",pow_alt_2opt,,,,12796880.0,ns,3981302
"pow(0, 31)",pow_alt_2opt,,,,14330239.0,ns,4287556
"pow(0, 31)",pow_alt_2opt,,,,14926083.0,ns,4593810
"pow(0, 31)",pow_alt_2opt,,,,15840679.0,ns,4900064
"pow(0, 31)",pow_alt_2opt,,,,16871536.0,ns,5206318
"pow(0, 31)",pow_alt_2opt,,,,17762298.0,ns,5512572
"pow(0, 31)",pow_alt_2opt,,,,18853355.0,ns,5818826
"pow(0, 31)",pow_alt_2opt,,,,19733311.0,ns,6125080
"pow(0, 31)",pow_alt_2opt,,,,20764913.0,ns,6431334
"pow(0, 31)",pow_alt_2opt,,,,21939391.0,ns,6737588
"pow(0, 31)",pow_alt_2opt,,,,22798928.0,ns,7043842
"pow(0, 31)",pow_alt_2opt,,,,23700736.0,ns,7350096
"pow(0, 31)",pow_alt_2opt,,,,24499472.0,ns,7656350
"pow(0, 31)",pow_alt_2opt,,,,25614624.0,ns,7962604
"pow(0, 31)",pow_alt_2opt,,,,26705714.0,ns,8268858
"pow(0, 31)",pow_alt_2opt,,,,27718819.0,ns,8575112
"pow(0, 31)",pow_alt_2opt,,,,28661114.0,ns,8881366
"pow(0, 31)",pow_alt_2opt,,,,29968186.0,ns,9187620
"pow(0, 31)",pow_alt_2opt,,,,31120220.0,ns,9493874
"pow(0, 31)",pow_alt_2opt,,,,31717821.0,ns,9800128
"pow(0, 31)",pow_alt_2opt,,,,32620892.0,ns,10106382
"pow(0, 31)",pow_alt_2opt,,,,33639576.0,ns,10412636
"pow(0, 31)",pow_alt_2opt,,,,34566033.0,ns,10718890
"pow(0, 31)",pow_alt_2opt,,,,35639124.0,ns,11025144
"pow(0, 31)",pow_alt_2opt,,,,36515396.0,ns,11331398
"pow(0, 31)",pow_alt_2opt,,,,37587114.0,ns,11637652
"pow(0, 31)",pow_alt_2opt,,,,38636649.0,ns,11943906
"pow(0, 31)",pow_alt_2opt,,,,39561351.0,ns,12250160
"pow(0, 31)",pow_alt_2opt,,,,40833028.0,ns,12556414
"pow(0, 31)",pow_alt_2opt,,,,41615582.0,ns,12862668
"pow(0, 31)",pow_alt_2opt,,,,42570541.0,ns,13168922
"pow(0, 31)",pow_alt_2opt,,,,43527361.0,ns,13475176
"pow(0, 31)",pow_alt_2opt,,,,44620257.0,ns,13781430
"pow(0, 31)",pow_alt_2opt,,,,45525549.0,ns,14087684
"pow(0, 31)",pow_alt_2opt,,,,46442132.0,ns,14393938
"pow(0, 31)",pow_alt_2opt,,,,47546209.0,ns,14700192
"pow(0, 31)",pow_alt_2opt,,,,48445033.0,ns,15006446
"pow(0, 31)",pow_alt_2opt,,,,49381426.0,ns,15312700
"pow(0, 31)",pow_alt_2opt,,,,50385509.0,ns,15618954
"pow(0, 31)",pow_alt_2opt,,,,51468590.0,ns,15925208
"pow(0, 31)",pow_alt_2opt,,,,52323294.0,ns,16231462
"pow(0, 31)",pow_alt_2opt,,,,54314244.0,ns,16537716
"pow(0, 31)",pow_alt_2opt,,,,54644750.0,ns,16843970
"pow(0, 31)",pow_alt_2opt,,,,55388409.0,ns,17150224
"pow(0, 31)",pow_alt_2opt,,,,56339870.0,ns,17456478
"pow(0, 31)",pow_alt_2opt,,,,57463435.0,ns,17762732
"pow(0, 31)",pow_alt_2opt,,,,58470213.0,ns,18068986
"pow(0, 31)",pow_alt_2opt,,,,59723345.0,ns,18375240
"pow(0, 31)",pow_alt_2opt,,,,60321730.0,ns,18681494
"pow(0, 31)",pow_alt_2opt,,,,61336803.0,ns,18987748
"pow(0, 31)",pow_alt_2opt,,,,62244958.0,ns,19294002
"pow(0, 31)",pow_alt_2opt,,,,63572885.0,ns,19600256
"pow(0, 31)",pow_alt_2opt,,,,64629526.0,ns,19906510
"pow(0, 31)",pow_alt_2opt,,,,65363607.0,ns,20212764
"pow(0, 31)",pow_alt_2opt,,,,66352722.0,ns,20519018
"pow(0, 31)",pow_alt_2opt,,,,67251369.0,ns,20825272
"pow(0, 31)",pow_alt_2opt,,,,68150972.0,ns,21131526
"pow(0, 31)",pow_alt_2opt,,,,69543857.0,ns,21437780
"pow(0, 31)",pow_alt_2opt,,,,70831120.0,ns,21744034
"pow(0, 31)",pow_alt_2opt,,,,71341416.0,ns,22050288
"pow(0, 31)",pow_alt_2opt,,,,72452676.0,ns,22356542
"pow(0, 31)",pow_alt_2opt,,,,78829892.0,ns,22662796
"pow(0, 31)",pow_alt_2opt,,,,74173189.0,ns,22969050
"pow(0, 31)",pow_alt_2opt,,,,75125893.0,ns,23275304
"pow(0, 31)",pow_alt_2opt,,,,77573604.0,ns,23581558
"pow(0, 31)",pow_alt_2opt,,,,78042118.0,ns,23887812
"pow(0, 31)",pow_alt_2opt,,,,78427262.0,ns,24194066
"pow(0, 31)",pow_alt_2opt,,,,79201349.0,ns,24500320
"pow(0, 31)",pow_alt_2opt,,,,80459693.0,ns,24806574
"pow(0, 31)",pow_alt_2opt,,,,81282684.0,ns,25112828
"pow(0, 31)",pow_alt_2opt,,,,82546577.0,ns,25419082
"pow(0, 31)",pow_alt_2opt,,,,83577547.0,ns,25725336
"pow(0, 31)",pow_alt_2opt,,,,84190274.0,ns,26031590
"pow(0, 31)",pow_alt_2opt,,,,85081894.0,ns,26337844
"pow(0, 31)",pow_alt_2opt,,,,86904394.0,ns,26644098
"pow(0, 31)",pow_alt_2opt,,,,87234453.0,ns,26950352
"pow(0, 31)",pow_alt_2opt,,,,87985283.0,ns,27256606
"pow(0, 31)",pow_alt_2opt,,,,89171606.0,ns,27562860
"pow(0, 31)",pow_alt_2opt,,,,90093943.0,ns,27869114
"pow(0, 31)",pow_alt_2opt,,,,91138821.0,ns,28175368
"pow(0, 31)",pow_alt_2opt,,,,91976528.0,ns,28481622
"pow(0, 31)",pow_alt_2opt,,,,93143760.0,ns,28787876
"pow(0, 31)",pow_alt_2opt,,,,95043631.0,ns,29094130
"pow(0, 31)",pow_alt_2opt,,,,94970314.0,ns,29400384
"pow(0, 31)",pow_alt_2opt,,,,95965930.0,ns,29706638
"pow(0, 31)",pow_alt_2opt,,,,97046822.0,ns,30012892
"pow(0, 31)",pow_alt_2opt,,,,97883111.0,ns,30319146
"pow(0, 31)",pow_alt_2opt,,,,99036428.0,ns,30625400
