group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_alt_inline,,,,1023152.0,ns,242468
"pow(0, 31)",pow_alt_inline,,,,1994188.0,ns,484936
"pow(0, 31)",pow_alt_inline,,,,2992650.0,ns,727404
"pow(0, 31)",pow_alt_inline,,,,3989555.0,ns,969872
"pow(0, 31)",pow_alt_inline,,,,5009756.0,ns,1212340
"pow(0, 31)",pow_alt_inline,,,,6058417.0,ns,1454808
"pow(0, 31)",pow_alt_inline,,,,7000381.0,ns,1697276
"pow(0, 31)",pow_alt_inline,,,,7966487.0,ns,1939744
"pow(0, 31)",pow_alt_inline,,,,9045717.0,ns,2182212
"pow(0, 31)",pow_alt_inline,,,,10100691.0,ns,2424680
"pow(0, 31)",pow_alt_inline,,,,10996633.0,ns,2667148
"pow(0, 31)",pow_alt_inline,,,,12013704.0,ns,2909616
"pow(0, 31)",pow_alt_inline,,,,12972543.0,ns,3152084
"pow(0, 31)",pow_alt_inline,,,,13968209.0,ns,3394552
"pow(0, 31)",pow_alt_inline,,,,14983748.0,ns,3637020
"pow(0, 31)",pow_alt_inline,,,,15950198.0,ns,3879488
"pow(0, 31)",pow_alt_inline,,,,17007683.0,ns,4121956
"pow(0, 31)",pow_alt_inline,,,,18508769.0,ns,4364424
"pow(0, 31)",pow_alt_inline,,,,18664504.0,ns,4606892
"pow(0, 31)",pow_alt_inline,,,,20225239.0,ns,4849360
"pow(0, 31)",pow_alt_inline,,,,20762063.0,ns,5091828
"pow(0, 31)",pow_alt_inline,,,,22058106.0,ns,5334296
"pow(0, 31)",pow_alt_inline,,,,22792050.0,ns,5576764
"pow(0, 31)",pow_alt_inline,,,,23944705.0,ns,5819232
"pow(0, 31)",pow_alt_inline,,,,24945827.0,ns,6061700
"pow(0, 31)",pow_alt_inline,,,,25897653.0,ns,6304168
"pow(0, 31)",pow_alt_inline,,,,27014352.0,ns,6546636
"pow(0, 31)",pow_alt_inline,,,,27970353.0,ns,6789104
"pow(0, 31)",pow_alt_inline,,,,28977165.0,ns,7031572
"pow(0, 31)",pow_alt_inline,,,,30060558.0,ns,7274040
"pow(0, 31)",pow_alt_inline,,,,31369635.0,ns,7516508
"pow(0, 31)",pow_alt_inline,,,,31180129.0,ns,7758976
"pow(0, 31)",pow_alt_inline,,,,32355779.0,ns,8001444
"pow(0, 31)",pow_alt_inline,,,,33176543.0,ns,8243912
"pow(0, 31)",pow_alt_inline,,,,34707026.0,ns,8486380
"pow(0, 31)",pow_alt_inline,,,,35407034.0,ns,8728848
