group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_std,,,,984791.0,ns,151339
"pow(0, 31)",pow_std,,,,1985440.0,ns,302678
"pow(0, 31)",pow_std,,,,2944957.0,ns,454017
"pow(0, 31)",pow_std,,,,3944152.0,ns,605356
"pow(0, 31)",pow_std,,,,5064097.0,ns,756695
"pow(0, 31)",pow_std,,,,5948741.0,ns,908034
"pow(0, 31)",pow_std,,,,6928088.0,ns,1059373
"pow(0, 31)",pow_std,,,,7848911.0,ns,1210712
"pow(0, 31)",pow_std,,,,8827712.0,ns,1362051
"pow(0, 31)",pow_std,,,,10325441.0,ns,1513390
"pow(0, 31)",pow_std,,,,10826128.0,ns,1664729
"pow(0, 31)",pow_std,,,,11792053.0,ns,1816068
"pow(0, 31)",pow_std,,,,13271635.0,ns,1967407
"pow(0, 31)",pow_std,,,,13866830.0,ns,2118746
"pow(0, 31)",pow_std,,,,14773468.0,ns,2270085
"pow(0, 31)",pow_std,,,,15740164.0,ns,2421424
"pow(0, 31)",pow_std,,,,16704384.0,ns,2572763
"pow(0, 31)",pow_std,,,,18345704.0,ns,2724102
"pow(0, 31)",pow_std,,,,18805779.0,ns,2875441
"pow(0, 31)",pow_std,,,,19688765.0,ns,3026780
"pow(0, 31)",pow_std,,,,20736295.0,ns,3178119
"pow(0, 31)",pow_std,,,,21718868.0,ns,3329458
"pow(0, 31)",pow_std,,,,22653843.0,ns,3480797
"pow(0, 31)",pow_std,,,,23582315.0,ns,3632136
"pow(0, 31)",pow_std,,,,24662381.0,ns,3783475
"pow(0, 31)",pow_std,,,,25747262.0,ns,3934814
"pow(0, 31)",pow_std,,,,26537087.0,ns,4086153
"pow(0, 31)",pow_std,,,,27511487.0,ns,4237492
"pow(0, 31)",pow_std,,,,28516771.0,ns,4388831
"pow(0, 31)",pow_std,,,,29562144.0,ns,4540170
"pow(0, 31)",pow_std,,,,30475588.0,ns,4691509
"pow(0, 31)",pow_std,,,,31673301.0,ns,4842848
"pow(0, 31)",pow_std,,,,33347023.0,ns,4994187
"pow(0, 31)",pow_std,,,,33480934.0,ns,5145526
"pow(0, 31)",pow_std,,,,34492344.0,ns,5296865
"pow(0, 31)",pow_std,,,,35525314.0,ns,5448204
"pow(0, 31)",pow_std,,,,36530466.0,ns,5599543
"pow(0, 31)",pow_std,,,,37461572.0,ns,5750882
"pow(0, 31)",pow_std,,,,38545566.0,ns,5902221
"pow(0, 31)",pow_std,,,,39311537.0,ns,6053560
"pow(0, 31)",pow_std,,,,40652650.0,ns,6204899
"pow(0, 31)",pow_std,,,,41267455.0,ns,6356238
"pow(0, 31)",pow_std,,,,42301287.0,ns,6507577
"pow(0, 31)",pow_std,,,,43224591.0,ns,6658916
"pow(0, 31)",pow_std,,,,44198973.0,ns,6810255
"pow(0, 31)",pow_std,,,,45297810.0,ns,6961594
"pow(0, 31)",pow_std,,,,46373292.0,ns,7112933
"pow(0, 31)",pow_std,,,,47180597.0,ns,7264272
"pow(0, 31)",pow_std,,,,48333778.0,ns,7415611
"pow(0, 31)",pow_std,,,,49566108.0,ns,7566950
"pow(0, 31)",pow_std,,,,50344431.0,ns,7718289
"pow(0, 31)",pow_std,,,,51466001.0,ns,7869628
"pow(0, 31)",pow_std,,,,52150146.0,ns,8020967
"pow(0, 31)",pow_std,,,,53095882.0,ns,8172306
"pow(0, 31)",pow_std,,,,54381387.0,ns,8323645
"pow(0, 31)",pow_std,,,,55949551.0,ns,8474984
"pow(0, 31)",pow_std,,,,56208057.0,ns,8626323
"pow(0, 31)",pow_std,,,,57083216.0,ns,8777662
"pow(0, 31)",pow_std,,,,58041945.0,ns,8929001
"pow(0, 31)",pow_std,,,,59012817.0,ns,9080340
"pow(0, 31)",pow_std,,,,60320216.0,ns,9231679
"pow(0, 31)",pow_std,,,,60905973.0,ns,9383018
"pow(0, 31)",pow_std,,,,61880721.0,ns,9534357
"pow(0, 31)",pow_std,,,,62895176.0,ns,9685696
"pow(0, 31)",pow_std,,,,64076271.0,ns,9837035
"pow(0, 31)",pow_std,,,,65601708.0,ns,9988374
"pow(0, 31)",pow_std,,,,66135098.0,ns,10139713
"pow(0, 31)",pow_std,,,,67080058.0,ns,10291052
"pow(0, 31)",pow_std,,,,68314052.0,ns,10442391
"pow(0, 31)",pow_std,,,,69207528.0,ns,10593730
"pow(0, 31)",pow_std,,,,70764354.0,ns,10745069
"pow(0, 31)",pow_std,,,,71423997.0,ns,10896408
"pow(0, 31)",pow_std,,,,71874890.0,ns,11047747
"pow(0, 31)",pow_std,,,,72755198.0,ns,11199086
"pow(0, 31)",pow_std,,,,73733412.0,ns,11350425
"pow(0, 31)",pow_std,,,,74868050.0,ns,11501764
"pow(0, 31)",pow_std,,,,75658718.0,ns,11653103
"pow(0, 31)",pow_std,,,,76657924.0,ns,11804442
"pow(0, 31)",pow_std,,,,78842753.0,ns,11955781
"pow(0, 31)",pow_std,,,,79240210.0,ns,12107120
"pow(0, 31)",pow_std,,,,80112513.0,ns,12258459
"pow(0, 31)",pow_std,,,,80803619.0,ns,12409798
"pow(0, 31)",pow_std,,,,81656740.0,ns,12561137
"pow(0, 31)",pow_std,,,,82699180.0,ns,12712476
"pow(0, 31)",pow_std,,,,84390612.0,ns,12863815
"pow(0, 31)",pow_std,,,,85218127.0,ns,13015154
"pow(0, 31)",pow_std,,,,85659478.0,ns,13166493
"pow(0, 31)",pow_std,,,,86848781.0,ns,13317832
"pow(0, 31)",pow_std,,,,87494992.0,ns,13469171
"pow(0, 31)",pow_std,,,,88570902.0,ns,13620510
"pow(0, 31)",pow_std,,,,89801236.0,ns,13771849
"pow(0, 31)",pow_std,,,,90405327.0,ns,13923188
"pow(0, 31)",pow_std,,,,91733066.0,ns,14074527
"pow(0, 31)",pow_std,,,,92636550.0,ns,14225866
"pow(0, 31)",pow_std,,,,93288137.0,ns,14377205
"pow(0, 31)",pow_std,,,,95289374.0,ns,14528544
"pow(0, 31)",pow_std,,,,98797042.0,ns,14679883
"pow(0, 31)",pow_std,,,,96820493.0,ns,14831222
"pow(0, 31)",pow_std,,,,97493052.0,ns,14982561
"pow(0, 31)",pow_std,,,,98501304.0,ns,15133900
