group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_std_2opt,,,,1008094.0,ns,310726
"pow(0, 31)",pow_std_2opt,,,,1972925.0,ns,621452
"pow(0, 31)",pow_std_2opt,,,,2964328.0,ns,932178
"pow(0, 31)",pow_std_2opt,,,,3947982.0,ns,1242904
"pow(0, 31)",pow_std_2opt,,,,5103542.0,ns,1553630
"pow(0, 31)",pow_std_2opt,,,,5994033.0,ns,1864356
"pow(0, 31)",pow_std_2opt,,,,6935056.0,ns,2175082
"pow(0, 31)",pow_std_2opt,,,,7970693.0,ns,2485808
"pow(0, 31)",pow_std_2opt,,,,9009960.0,ns,2796534
"pow(0, 31)",pow_std_2opt,,,,9954822.0,ns,3107260
"pow(0, 31)",pow_std_2opt,,,,11527390.0,ns,3417986
"pow(0, 31)",pow_std_2opt,,,,12086667.0,ns,3728712
"pow(0, 31)",pow_std_2opt,,,,12833259.0,ns,4039438
"pow(0, 31)",pow_std_2opt,,,,13833797.0,ns,4350164
"pow(0, 31)",pow_std_2opt,,,,14865651.0,ns,4660890
"pow(0, 31)",pow_std_2opt,,,,15859435.0,ns,4971616
"pow(0, 31)",pow_std_2opt,,,,16798740.0,ns,5282342
"pow(0, 31)",pow_std_2opt,,,,17764241.0,ns,5593068
"pow(0, 31)",pow_std_2opt,,,,18771439.0,ns,5903794
"pow(0, 31)",pow_std_2opt,,,,19783870.0,ns,6214520
"pow(0, 31)",pow_std_2opt,,,,20846335.0,ns,6525246
"pow(0, 31)",pow_std_2opt,,,,21788979.0,ns,6835972
"pow(0, 31)",pow_std_2opt,,,,22717468.0,ns,7146698
"pow(0, 31)",pow_std_2opt,,,,23744931.0,ns,7457424
"pow(0, 31)",pow_std_2opt,,,,24691233.0,ns,7768150
"pow(0, 31)",pow_std_2opt,,,,25869392.0,ns,8078876
"pow(0, 31)",pow_std_2opt,,,,26663665.0,ns,8389602
"pow(0, 31)",pow_std_2opt,,,,27645535.0,ns,8700328
"pow(0, 31)",pow_std_2opt,,,,28989604.0,ns,9011054
"pow(0, 31)",pow_std_2opt,,,,29990187.0,ns,9321780
"pow(0, 31)",pow_std_2opt,,,,30705031.0,ns,9632506
"pow(0, 31)",pow_std_2opt,,,,31724000.0,ns,9943232
"pow(0, 31)",pow_std_2opt,,,,32616057.0,ns,10253958
"pow(0, 31)",pow_std_2opt,,,,33634149.0,ns,10564684
"pow(0, 31)",pow_std_2opt,,,,34979839.0,ns,10875410
"pow(0, 31)",pow_std_2opt,,,,35583226.0,ns,11186136
"pow(0, 31)",pow_std_2opt,,,,36611882.0,ns,11496862
"pow(0, 31)",pow_std_2opt,,,,37649530.0,ns,11807588
"pow(0, 31)",pow_std_2opt,,,,38561249.0,ns,12118314
"pow(0, 31)",pow_std_2opt,,,,39503892.0,ns,12429040
"pow(0, 31)",pow_std_2opt,,,,40488087.0,ns,12739766
"pow(0, 31)",pow_std_2opt,,,,41569519.0,ns,13050492
"pow(0, 31)",pow_std_2opt,,,,42583201.0,ns,13361218
"pow(0, 31)",pow_std_2opt,,,,43710808.0,ns,13671944
"pow(0, 31)",pow_std_2opt,,,,44522864.0,ns,13982670
"pow(0, 31)",pow_std_2opt,,,,46245212.0,ns,14293396
"pow(0, 31)",pow_std_2opt,,,,46582340.0,ns,14604122
"pow(0, 31)",pow_std_2opt,,,,47779187.0,ns,14914848
"pow(0, 31)",pow_std_2opt,,,,48816094.0,ns,15225574
"pow(0, 31)",pow_std_2opt,,,,49728176.0,ns,15536300
"pow(0, 31)",pow_std_2opt,,,,50532642.0,ns,15847026
"pow(0, 31)",pow_std_2opt,,,,51367543.0,ns,16157752
"pow(0, 31)",pow_std_2opt,,,,52626190.0,ns,16468478
"pow(0, 31)",pow_std_2opt,,,,53777640.0,ns,16779204
"pow(0, 31)",pow_std_2opt,,,,54518945.0,ns,17089930
"pow(0, 31)",pow_std_2opt,,,,55299537.0,ns,17400656
"pow(0, 31)",pow_std_2opt,,,,56455387.0,ns,17711382
"pow(0, 31)",pow_std_2opt,,,,57293143.0,ns,18022108
"pow(0, 31)",pow_std_2opt,,,,58479052.0,ns,18332834
"pow(0, 31)",pow_std_2opt,,,,59421616.0,ns,18643560
"pow(0, 31)",pow_std_2opt,,,,60499819.0,ns,18954286
"pow(0, 31)",pow_std_2opt,,,,61349395.0,ns,19265012
"pow(0, 31)",pow_std_2opt,,,,62739031.0,ns,19575738
"pow(0, 31)",pow_std_2opt,,,,63489443.0,ns,19886464
"pow(0, 31)",pow_std_2opt,,,,64608912.0,ns,20197190
"pow(0, 31)",pow_std_2opt,,,,65160469.0,ns,20507916
"pow(0, 31)",pow_std_2opt,,,,66373120.0,ns,20818642
"pow(0, 31)",pow_std_2opt,,,,67150480.0,ns,21129368
"pow(0, 31)",pow_std_2opt,,,,68236939.0,ns,21440094
"pow(0, 31)",pow_std_2opt,,,,70097644.0,ns,21750820
"pow(0, 31)",pow_std_2opt,,,,70301257.0,ns,22061546
"pow(0, 31)",pow_std_2opt,,,,71141645.0,ns,22372272
"pow(0, 31)",pow_std_2opt,,,,72214827.0,ns,22682998
"pow(0, 31)",pow_std_2opt,,,,73216772.0,ns,22993724
"pow(0, 31)",pow_std_2opt,,,,74063629.0,ns,23304450
"pow(0, 31)",pow_std_2opt,,,,75171185.0,ns,23615176
"pow(0, 31)",pow_std_2opt,,,,78785562.0,ns,23925902
"pow(0, 31)",pow_std_2opt,,,,77806216.0,ns,24236628
"pow(0, 31)",pow_std_2opt,,,,78637691.0,ns,24547354
"pow(0, 31)",pow_std_2opt,,,,79069561.0,ns,24858080
"pow(0, 31)",pow_std_2opt,,,,80368431.0,ns,25168806
"pow(0, 31)",pow_std_2opt,,,,81094344.0,ns,25479532
"pow(0, 31)",pow_std_2opt,,,,82721336.0,ns,25790258
"pow(0, 31)",pow_std_2opt,,,,83287510.0,ns,26100984
