group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_alt_01opt,,,,1005464.0,ns,166590
"pow(2, 31)",pow_alt_01opt,,,,1968963.0,ns,333180
"pow(2, 31)",pow_alt_01opt,,,,3171308.0,ns,499770
"pow(2, 31)",pow_alt_01opt,,,,3963230.0,ns,666360
"pow(2, 31)",pow_alt_01opt,,,,5221748.0,ns,832950
"pow(2, 31)",pow_alt_01opt,,,,6009031.0,ns,999540
"pow(2, 31)",pow_alt_01opt,,,,7192867.0,ns,1166130
"pow(2, 31)",pow_alt_01opt,,,,7892107.0,ns,1332720
"pow(2, 31)",pow_alt_01opt,,,,9036960.0,ns,1499310
"pow(2, 31)",pow_alt_01opt,,,,9940178.0,ns,1665900
"pow(2, 31)",pow_alt_01opt,,,,10959384.0,ns,1832490
"pow(2, 31)",pow_alt_01opt,,,,11867713.0,ns,1999080
"pow(2, 31)",pow_alt_01opt,,,,12805634.0,ns,2165670
"pow(2, 31)",pow_alt_01opt,,,,13803963.0,ns,2332260
"pow(2, 31)",pow_alt_01opt,,,,14798934.0,ns,2498850
"pow(2, 31)",pow_alt_01opt,,,,15769062.0,ns,2665440
"pow(2, 31)",pow_alt_01opt,,,,16747975.0,ns,2832030
"pow(2, 31)",pow_alt_01opt,,,,17812174.0,ns,2998620
"pow(2, 31)",pow_alt_01opt,,,,18789374.0,ns,3165210
"pow(2, 31)",pow_alt_01opt,,,,19700162.0,ns,3331800
"pow(2, 31)",pow_alt_01opt,,,,20806452.0,ns,3498390
"pow(2, 31)",pow_alt_01opt,,,,21696382.0,ns,3664980
"pow(2, 31)",pow_alt_01opt,,,,22791460.0,ns,3831570
"pow(2, 31)",pow_alt_01opt,,,,23769773.0,ns,3998160
"pow(2, 31)",pow_alt_01opt,,,,24869038.0,ns,4164750
"pow(2, 31)",pow_alt_01opt,,,,25723031.0,ns,4331340
"pow(2, 31)",pow_alt_01opt,,,,26604210.0,ns,4497930
"pow(2, 31)",pow_alt_01opt,,,,27583728.0,ns,4664520
"pow(2, 31)",pow_alt_01opt,,,,28586170.0,ns,4831110
"pow(2, 31)",pow_alt_01opt,,,,29549467.0,ns,4997700
"pow(2, 31)",pow_alt_01opt,,,,30537284.0,ns,5164290
"pow(2, 31)",pow_alt_01opt,,,,31542226.0,ns,5330880
"pow(2, 31)",pow_alt_01opt,,,,32805574.0,ns,5497470
"pow(2, 31)",pow_alt_01opt,,,,33690824.0,ns,5664060
"pow(2, 31)",pow_alt_01opt,,,,34574805.0,ns,5830650
"pow(2, 31)",pow_alt_01opt,,,,35474955.0,ns,5997240
"pow(2, 31)",pow_alt_01opt,,,,36546203.0,ns,6163830
"pow(2, 31)",pow_alt_01opt,,,,37510507.0,ns,6330420
"pow(2, 31)",pow_alt_01opt,,,,39144018.0,ns,6497010
"pow(2, 31)",pow_alt_01opt,,,,39506270.0,ns,6663600
"pow(2, 31)",pow_alt_01opt,,,,40418826.0,ns,6830190
"pow(2, 31)",pow_alt_01opt,,,,41506264.0,ns,6996780
"pow(2, 31)",pow_alt_01opt,,,,42626178.0,ns,7163370
"pow(2, 31)",pow_alt_01opt,,,,43620964.0,ns,7329960
"pow(2, 31)",pow_alt_01opt,,,,44786583.0,ns,7496550
"pow(2, 31)",pow_alt_01opt,,,,45425291.0,ns,7663140
"pow(2, 31)",pow_alt_01opt,,,,46301992.0,ns,7829730
"pow(2, 31)",pow_alt_01opt,,,,47357357.0,ns,7996320
"pow(2, 31)",pow_alt_01opt,,,,48753338.0,ns,8162910
"pow(2, 31)",pow_alt_01opt,,,,49403327.0,ns,8329500
"pow(2, 31)",pow_alt_01opt,,,,50297616.0,ns,8496090
"pow(2, 31)",pow_alt_01opt,,,,51277468.0,ns,8662680
"pow(2, 31)",pow_alt_01opt,,,,52219456.0,ns,8829270
"pow(2, 31)",pow_alt_01opt,,,,53274889.0,ns,8995860
"pow(2, 31)",pow_alt_01opt,,,,54395059.0,ns,9162450
"pow(2, 31)",pow_alt_01opt,,,,55573567.0,ns,9329040
"pow(2, 31)",pow_alt_01opt,,,,56227710.0,ns,9495630
"pow(2, 31)",pow_alt_01opt,,,,57244238.0,ns,9662220
"pow(2, 31)",pow_alt_01opt,,,,58227650.0,ns,9828810
"pow(2, 31)",pow_alt_01opt,,,,60030853.0,ns,9995400
"pow(2, 31)",pow_alt_01opt,,,,60106514.0,ns,10161990
"pow(2, 31)",pow_alt_01opt,,,,61230447.0,ns,10328580
"pow(2, 31)",pow_alt_01opt,,,,62573016.0,ns,10495170
"pow(2, 31)",pow_alt_01opt,,,,63325223.0,ns,10661760
"pow(2, 31)",pow_alt_01opt,,,,64251047.0,ns,10828350
"pow(2, 31)",pow_alt_01opt,,,,65186690.0,ns,10994940
"pow(2, 31)",pow_alt_01opt,,,,66253894.0,ns,11161530
"pow(2, 31)",pow_alt_01opt,,,,67114307.0,ns,11328120
"pow(2, 31)",pow_alt_01opt,,,,68001958.0,ns,11494710
"pow(2, 31)",pow_alt_01opt,,,,68961149.0,ns,11661300
"pow(2, 31)",pow_alt_01opt,,,,69980932.0,ns,11827890
"pow(2, 31)",pow_alt_01opt,,,,71332202.0,ns,11994480
"pow(2, 31)",pow_alt_01opt,,,,71962588.0,ns,12161070
"pow(2, 31)",pow_alt_01opt,,,,73048128.0,ns,12327660
"pow(2, 31)",pow_alt_01opt,,,,74386579.0,ns,12494250
"pow(2, 31)",pow_alt_01opt,,,,74899863.0,ns,12660840
"pow(2, 31)",pow_alt_01opt,,,,76131262.0,ns,12827430
"pow(2, 31)",pow_alt_01opt,,,,77409237.0,ns,12994020
"pow(2, 31)",pow_alt_01opt,,,,77998527.0,ns,13160610
"pow(2, 31)",pow_alt_01opt,,,,78885275.0,ns,13327200
"pow(2, 31)",pow_alt_01opt,,,,79935659.0,ns,13493790
"pow(2, 31)",pow_alt_01opt,,,,80897044.0,ns,13660380
"pow(2, 31)",pow_alt_01opt,,,,81838291.0,ns,13826970
"pow(2, 31)",pow_alt_01opt,,,,82843162.0,ns,13993560
"pow(2, 31)",pow_alt_01opt,,,,86607658.0,ns,14160150
"pow(2, 31)",pow_alt_01opt,,,,86119595.0,ns,14326740
"pow(2, 31)",pow_alt_01opt,,,,86520562.0,ns,14493330
"pow(2, 31)",pow_alt_01opt,,,,86707027.0,ns,14659920
"pow(2, 31)",pow_alt_01opt,,,,87988412.0,ns,14826510
"pow(2, 31)",pow_alt_01opt,,,,89188839.0,ns,14993100
"pow(2, 31)",pow_alt_01opt,,,,89800342.0,ns,15159690
"pow(2, 31)",pow_alt_01opt,,,,90876990.0,ns,15326280
"pow(2, 31)",pow_alt_01opt,,,,92562852.0,ns,15492870
"pow(2, 31)",pow_alt_01opt,,,,92618969.0,ns,15659460
"pow(2, 31)",pow_alt_01opt,,,,93703019.0,ns,15826050
"pow(2, 31)",pow_alt_01opt,,,,95482788.0,ns,15992640
"pow(2, 31)",pow_alt_01opt,,,,95714988.0,ns,16159230
"pow(2, 31)",pow_alt_01opt,,,,97098925.0,ns,16325820
"pow(2, 31)",pow_alt_01opt,,,,97593510.0,ns,16492410
"pow(2, 31)",pow_alt_01opt,,,,99147079.0,ns,16659000
