group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_alt_inline,,,,979982.0,ns,241981
"pow(2, 31)",pow_alt_inline,,,,1965546.0,ns,483962
"pow(2, 31)",pow_alt_inline,,,,2891938.0,ns,725943
"pow(2, 31)",pow_alt_inline,,,,3857182.0,ns,967924
"pow(2, 31)",pow_alt_inline,,,,5355200.0,ns,1209905
"pow(2, 31)",pow_alt_inline,,,,5843783.0,ns,1451886
"pow(2, 31)",pow_alt_inline,,,,7127754.0,ns,1693867
"pow(2, 31)",pow_alt_inline,,,,8020040.0,ns,1935848
"pow(2, 31)",pow_alt_inline,,,,8933121.0,ns,2177829
"pow(2, 31)",pow_alt_inline,,,,10120163.0,ns,2419810
"pow(2, 31)",pow_alt_inline,,,,10675107.0,ns,2661791
"pow(2, 31)",pow_alt_inline,,,,11811313.0,ns,2903772
"pow(2, 31)",pow_alt_inline,,,,12973034.0,ns,3145753
"pow(2, 31)",pow_alt_inline,,,,14019246.0,ns,3387734
"pow(2, 31)",pow_alt_inline,,,,15145816.0,ns,3629715
"pow(2, 31)",pow_alt_inline,,,,15955592.0,ns,3871696
"pow(2, 31)",pow_alt_inline,,,,16920942.0,ns,4113677
"pow(2, 31)",pow_alt_inline,,,,17979508.0,ns,4355658
"pow(2, 31)",pow_alt_inline,,,,19088242.0,ns,4597639
"pow(2, 31)",pow_alt_inline,,,,19931447.0,ns,4839620
"pow(2, 31)",pow_alt_inline,,,,20912768.0,ns,5081601
"pow(2, 31)",pow_alt_inline,,,,21949118.0,ns,5323582
"pow(2, 31)",pow_alt_inline,,,,22414332.0,ns,5565563
"pow(2, 31)",pow_alt_inline,,,,23536854.0,ns,5807544
"pow(2, 31)",pow_alt_inline,,,,25247934.0,ns,6049525
"pow(2, 31)",pow_alt_inline,,,,25819504.0,ns,6291506
"pow(2, 31)",pow_alt_inline,,,,26875446.0,ns,6533487
"pow(2, 31)",pow_alt_inline,,,,27810656.0,ns,6775468
"pow(2, 31)",pow_alt_inline,,,,28435587.0,ns,7017449
"pow(2, 31)",pow_alt_inline,,,,29495944.0,ns,7259430
"pow(2, 31)",pow_alt_inline,,,,30462825.0,ns,7501411
"pow(2, 31)",pow_alt_inline,,,,31574334.0,ns,7743392
"pow(2, 31)",pow_alt_inline,,,,31972046.0,ns,7985373
"pow(2, 31)",pow_alt_inline,,,,33903062.0,ns,8227354
"pow(2, 31)",pow_alt_inline,,,,34093873.0,ns,8469335
"pow(2, 31)",pow_alt_inline,,,,35315791.0,ns,8711316
"pow(2, 31)",pow_alt_inline,,,,35749430.0,ns,8953297
"pow(2, 31)",pow_alt_inline,,,,37723827.0,ns,9195278
"pow(2, 31)",pow_alt_inline,,,,38131747.0,ns,9437259
"pow(2, 31)",pow_alt_inline,,,,39316888.0,ns,9679240
"pow(2, 31)",pow_alt_inline,,,,40765336.0,ns,9921221
"pow(2, 31)",pow_alt_inline,,,,42376909.0,ns,10163202
"pow(2, 31)",pow_alt_inline,,,,42044155.0,ns,10405183
"pow(2, 31)",pow_alt_inline,,,,42431042.0,ns,10647164
"pow(2, 31)",pow_alt_inline,,,,43951026.0,ns,10889145
"pow(2, 31)",pow_alt_inline,,,,45492696.0,ns,11131126
"pow(2, 31)",pow_alt_inline,,,,46381412.0,ns,11373107
"pow(2, 31)",pow_alt_inline,,,,47817387.0,ns,11615088
"pow(2, 31)",pow_alt_inline,,,,48535167.0,ns,11857069
"pow(2, 31)",pow_alt_inline,,,,49826564.0,ns,12099050
"pow(2, 31)",pow_alt_inline,,,,50170189.0,ns,12341031
"pow(2, 31)",pow_alt_inline,,,,52356747.0,ns,12583012
"pow(2, 31)",pow_alt_inline,,,,52759581.0,ns,12824993
"pow(2, 31)",pow_alt_inline,,,,53838894.0,ns,13066974
"pow(2, 31)",pow_alt_inline,,,,55167361.0,ns,13308955
"pow(2, 31)",pow_alt_inline,,,,55521985.0,ns,13550936
"pow(2, 31)",pow_alt_inline,,,,56970322.0,ns,13792917
"pow(2, 31)",pow_alt_inline,,,,57272812.0,ns,14034898
"pow(2, 31)",pow_alt_inline,,,,58003235.0,ns,14276879
"pow(2, 31)",pow_alt_inline,,,,59504813.0,ns,14518860
