group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_std,,,,1036006.0,ns,151950
"pow(2, 31)",pow_std,,,,2069575.0,ns,303900
"pow(2, 31)",pow_std,,,,2954336.0,ns,455850
"pow(2, 31)",pow_std,,,,4056234.0,ns,607800
"pow(2, 31)",pow_std,,,,5091957.0,ns,759750
"pow(2, 31)",pow_std,,,,6037039.0,ns,911700
"pow(2, 31)",pow_std,,,,6906391.0,ns,1063650
"pow(2, 31)",pow_std,,,,8221263.0,ns,1215600
"pow(2, 31)",pow_std,,,,9037443.0,ns,1367550
"pow(2, 31)",pow_std,,,,9847483.0,ns,1519500
"pow(2, 31)",pow_std,,,,10841434.0,ns,1671450
"pow(2, 31)",pow_std,,,,12111115.0,ns,1823400
"pow(2, 31)",pow_std,,,,12808284.0,ns,1975350
"pow(2, 31)",pow_std,,,,13874004.0,ns,2127300
"pow(2, 31)",pow_std,,,,14779398.0,ns,2279250
"pow(2, 31)",pow_std,,,,16093507.0,ns,2431200
"pow(2, 31)",pow_std,,,,16750105.0,ns,2583150
"pow(2, 31)",pow_std,,,,18013646.0,ns,2735100
"pow(2, 31)",pow_std,,,,18725303.0,ns,2887050
"pow(2, 31)",pow_std,,,,19938720.0,ns,3039000
"pow(2, 31)",pow_std,,,,20780300.0,ns,3190950
"pow(2, 31)",pow_std,,,,21673979.0,ns,3342900
"pow(2, 31)",pow_std,,,,22774906.0,ns,3494850
"pow(2, 31)",pow_std,,,,23680058.0,ns,3646800
"pow(2, 31)",pow_std,,,,24665752.0,ns,3798750
"pow(2, 31)",pow_std,,,,25684515.0,ns,3950700
"pow(2, 31)",pow_std,,,,26664387.0,ns,4102650
"pow(2, 31)",pow_std,,,,27726515.0,ns,4254600
"pow(2, 31)",pow_std,,,,29704526.0,ns,4406550
"pow(2, 31)",pow_std,,,,30766709.0,ns,4558500
"pow(2, 31)",pow_std,,,,30564734.0,ns,4710450
"pow(2, 31)",pow_std,,,,31671554.0,ns,4862400
"pow(2, 31)",pow_std,,,,32564888.0,ns,5014350
"pow(2, 31)",pow_std,,,,33579120.0,ns,5166300
"pow(2, 31)",pow_std,,,,34926951.0,ns,5318250
"pow(2, 31)",pow_std,,,,35710021.0,ns,5470200
"pow(2, 31)",pow_std,,,,36603040.0,ns,5622150
"pow(2, 31)",pow_std,,,,37494668.0,ns,5774100
"pow(2, 31)",pow_std,,,,38420991.0,ns,5926050
"pow(2, 31)",pow_std,,,,39455110.0,ns,6078000
"pow(2, 31)",pow_std,,,,40417745.0,ns,6229950
"pow(2, 31)",pow_std,,,,41634429.0,ns,6381900
"pow(2, 31)",pow_std,,,,42484859.0,ns,6533850
"pow(2, 31)",pow_std,,,,43492891.0,ns,6685800
"pow(2, 31)",pow_std,,,,44611200.0,ns,6837750
"pow(2, 31)",pow_std,,,,45485412.0,ns,6989700
"pow(2, 31)",pow_std,,,,46500066.0,ns,7141650
"pow(2, 31)",pow_std,,,,47647284.0,ns,7293600
"pow(2, 31)",pow_std,,,,49404576.0,ns,7445550
"pow(2, 31)",pow_std,,,,49288408.0,ns,7597500
"pow(2, 31)",pow_std,,,,50334624.0,ns,7749450
"pow(2, 31)",pow_std,,,,51381351.0,ns,7901400
"pow(2, 31)",pow_std,,,,52540159.0,ns,8053350
"pow(2, 31)",pow_std,,,,53432630.0,ns,8205300
"pow(2, 31)",pow_std,,,,54469127.0,ns,8357250
"pow(2, 31)",pow_std,,,,55229454.0,ns,8509200
"pow(2, 31)",pow_std,,,,56394000.0,ns,8661150
"pow(2, 31)",pow_std,,,,57327884.0,ns,8813100
"pow(2, 31)",pow_std,,,,58303331.0,ns,8965050
"pow(2, 31)",pow_std,,,,59116603.0,ns,9117000
"pow(2, 31)",pow_std,,,,60156306.0,ns,9268950
"pow(2, 31)",pow_std,,,,61266988.0,ns,9420900
"pow(2, 31)",pow_std,,,,62290329.0,ns,9572850
"pow(2, 31)",pow_std,,,,63356708.0,ns,9724800
"pow(2, 31)",pow_std,,,,64451555.0,ns,9876750
"pow(2, 31)",pow_std,,,,66043178.0,ns,10028700
"pow(2, 31)",pow_std,,,,66465738.0,ns,10180650
"pow(2, 31)",pow_std,,,,67264555.0,ns,10332600
"pow(2, 31)",pow_std,,,,68351071.0,ns,10484550
"pow(2, 31)",pow_std,,,,69788590.0,ns,10636500
"pow(2, 31)",pow_std,,,,70359136.0,ns,10788450
"pow(2, 31)",pow_std,,,,70998511.0,ns,10940400
"pow(2, 31)",pow_std,,,,72140745.0,ns,11092350
"pow(2, 31)",pow_std,,,,73144006.0,ns,11244300
"pow(2, 31)",pow_std,,,,74083256.0,ns,11396250
"pow(2, 31)",pow_std,,,,75172215.0,ns,11548200
"pow(2, 31)",pow_std,,,,76197982.0,ns,11700150
"pow(2, 31)",pow_std,,,,77301704.0,ns,11852100
"pow(2, 31)",pow_std,,,,77947388.0,ns,12004050
"pow(2, 31)",pow_std,,,,79149056.0,ns,12156000
"pow(2, 31)",pow_std,,,,79955648.0,ns,12307950
"pow(2, 31)",pow_std,,,,80861144.0,ns,12459900
"pow(2, 31)",pow_std,,,,83013285.0,ns,12611850
"pow(2, 31)",pow_std,,,,82957845.0,ns,12763800
"pow(2, 31)",pow_std,,,,83972113.0,ns,12915750
"pow(2, 31)",pow_std,,,,84972485.0,ns,13067700
"pow(2, 31)",pow_std,,,,85816586.0,ns,13219650
"pow(2, 31)",pow_std,,,,86770377.0,ns,13371600
"pow(2, 31)",pow_std,,,,87920151.0,ns,13523550
"pow(2, 31)",pow_std,,,,91485801.0,ns,13675500
"pow(2, 31)",pow_std,,,,90211283.0,ns,13827450
