group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_std_2opt,,,,988519.0,ns,289600
"pow(2, 31)",pow_std_2opt,,,,1970794.0,ns,579200
"pow(2, 31)",pow_std_2opt,,,,2956478.0,ns,868800
"pow(2, 31)",pow_std_2opt,,,,3942822.0,ns,1158400
"pow(2, 31)",pow_std_2opt,,,,5257340.0,ns,1448000
"pow(2, 31)",pow_std_2opt,,,,6033568.0,ns,1737600
"pow(2, 31)",pow_std_2opt,,,,6941237.0,ns,2027200
"pow(2, 31)",pow_std_2opt,,,,8070706.0,ns,2316800
"pow(2, 31)",pow_std_2opt,,,,9078872.0,ns,2606400
"pow(2, 31)",pow_std_2opt,,,,9960015.0,ns,2896000
"pow(2, 31)",pow_std_2opt,,,,11033721.0,ns,3185600
"pow(2, 31)",pow_std_2opt,,,,12152072.0,ns,3475200
"pow(2, 31)",pow_std_2opt,,,,12939509.0,ns,3764800
"pow(2, 31)",pow_std_2opt,,,,13822719.0,ns,4054400
"pow(2, 31)",pow_std_2opt,,,,14790773.0,ns,4344000
"pow(2, 31)",pow_std_2opt,,,,15919227.0,ns,4633600
"pow(2, 31)",pow_std_2opt,,,,16825457.0,ns,4923200
"pow(2, 31)",pow_std_2opt,,,,17747121.0,ns,5212800
"pow(2, 31)",pow_std_2opt,,,,18733366.0,ns,5502400
"pow(2, 31)",pow_std_2opt,,,,19715802.0,ns,5792000
"pow(2, 31)",pow_std_2opt,,,,20784972.0,ns,6081600
"pow(2, 31)",pow_std_2opt,,,,21729432.0,ns,6371200
"pow(2, 31)",pow_std_2opt,,,,22673604.0,ns,6660800
"pow(2, 31)",pow_std_2opt,,,,23714155.0,ns,6950400
"pow(2, 31)",pow_std_2opt,,,,24780264.0,ns,7240000
"pow(2, 31)",pow_std_2opt,,,,25705919.0,ns,7529600
"pow(2, 31)",pow_std_2opt,,,,26612246.0,ns,7819200
"pow(2, 31)",pow_std_2opt,,,,27606944.0,ns,8108800
"pow(2, 31)",pow_std_2opt,,,,28609927.0,ns,8398400
"pow(2, 31)",pow_std_2opt,,,,29595785.0,ns,8688000
"pow(2, 31)",pow_std_2opt,,,,30601271.0,ns,8977600
"pow(2, 31)",pow_std_2opt,,,,31578663.0,ns,9267200
"pow(2, 31)",pow_std_2opt,,,,32608750.0,ns,9556800
"pow(2, 31)",pow_std_2opt,,,,33510142.0,ns,9846400
"pow(2, 31)",pow_std_2opt,,,,34680070.0,ns,10136000
"pow(2, 31)",pow_std_2opt,,,,35807723.0,ns,10425600
"pow(2, 31)",pow_std_2opt,,,,36545396.0,ns,10715200
"pow(2, 31)",pow_std_2opt,,,,37437392.0,ns,11004800
"pow(2, 31)",pow_std_2opt,,,,38534807.0,ns,11294400
"pow(2, 31)",pow_std_2opt,,,,40191394.0,ns,11584000
"pow(2, 31)",pow_std_2opt,,,,40596459.0,ns,11873600
"pow(2, 31)",pow_std_2opt,,,,41407451.0,ns,12163200
"pow(2, 31)",pow_std_2opt,,,,42575361.0,ns,12452800
"pow(2, 31)",pow_std_2opt,,,,43419729.0,ns,12742400
"pow(2, 31)",pow_std_2opt,,,,44479593.0,ns,13032000
"pow(2, 31)",pow_std_2opt,,,,45693713.0,ns,13321600
"pow(2, 31)",pow_std_2opt,,,,46428604.0,ns,13611200
"pow(2, 31)",pow_std_2opt,,,,47450195.0,ns,13900800
"pow(2, 31)",pow_std_2opt,,,,48313431.0,ns,14190400
"pow(2, 31)",pow_std_2opt,,,,49771543.0,ns,14480000
"pow(2, 31)",pow_std_2opt,,,,50402991.0,ns,14769600
"pow(2, 31)",pow_std_2opt,,,,51587987.0,ns,15059200
"pow(2, 31)",pow_std_2opt,,,,52281951.0,ns,15348800
"pow(2, 31)",pow_std_2opt,,,,53281416.0,ns,15638400
"pow(2, 31)",pow_std_2opt,,,,54279811.0,ns,15928000
"pow(2, 31)",pow_std_2opt,,,,55304176.0,ns,16217600
"pow(2, 31)",pow_std_2opt,,,,56583955.0,ns,16507200
"pow(2, 31)",pow_std_2opt,,,,57210711.0,ns,16796800
"pow(2, 31)",pow_std_2opt,,,,58225807.0,ns,17086400
"pow(2, 31)",pow_std_2opt,,,,59941531.0,ns,17376000
"pow(2, 31)",pow_std_2opt,,,,60781302.0,ns,17665600
"pow(2, 31)",pow_std_2opt,,,,61276154.0,ns,17955200
"pow(2, 31)",pow_std_2opt,,,,62115633.0,ns,18244800
"pow(2, 31)",pow_std_2opt,,,,63672404.0,ns,18534400
"pow(2, 31)",pow_std_2opt,,,,64471425.0,ns,18824000
"pow(2, 31)",pow_std_2opt,,,,65982015.0,ns,19113600
"pow(2, 31)",pow_std_2opt,,,,68140753.0,ns,19403200
"pow(2, 31)",pow_std_2opt,,,,67302529.0,ns,19692800
"pow(2, 31)",pow_std_2opt,,,,68121206.0,ns,19982400
"pow(2, 31)",pow_std_2opt,,,,69236154.0,ns,20272000
"pow(2, 31)",pow_std_2opt,,,,70187615.0,ns,20561600
"pow(2, 31)",pow_std_2opt,,,,71186087.0,ns,20851200
"pow(2, 31)",pow_std_2opt,,,,72104765.0,ns,21140800
"pow(2, 31)",pow_std_2opt,,,,73052893.0,ns,21430400
"pow(2, 31)",pow_std_2opt,,,,74751643.0,ns,21720000
"pow(2, 31)",pow_std_2opt,,,,75213474.0,ns,22009600
"pow(2, 31)",pow_std_2opt,,,,75930387.0,ns,22299200
"pow(2, 31)",pow_std_2opt,,,,79334865.0,ns,22588800
"pow(2, 31)",pow_std_2opt,,,,78467866.0,ns,22878400
"pow(2, 31)",pow_std_2opt,,,,78942936.0,ns,23168000
"pow(2, 31)",pow_std_2opt,,,,80072784.0,ns,23457600
"pow(2, 31)",pow_std_2opt,,,,81026224.0,ns,23747200
"pow(2, 31)",pow_std_2opt,,,,81872646.0,ns,24036800
"pow(2, 31)",pow_std_2opt,,,,82916914.0,ns,24326400
"pow(2, 31)",pow_std_2opt,,,,85846086.0,ns,24616000
"pow(2, 31)",pow_std_2opt,,,,85211697.0,ns,24905600
"pow(2, 31)",pow_std_2opt,,,,85860515.0,ns,25195200
"pow(2, 31)",pow_std_2opt,,,,87633209.0,ns,25484800
"pow(2, 31)",pow_std_2opt,,,,87761079.0,ns,25774400
"pow(2, 31)",pow_std_2opt,,,,89327088.0,ns,26064000
"pow(2, 31)",pow_std_2opt,,,,90127189.0,ns,26353600
"pow(2, 31)",pow_std_2opt,,,,90872169.0,ns,26643200
"pow(2, 31)",pow_std_2opt,,,,92496450.0,ns,26932800
"pow(2, 31)",pow_std_2opt,,,,93243649.0,ns,27222400
"pow(2, 31)",pow_std_2opt,,,,93759383.0,ns,27512000
"pow(2, 31)",pow_std_2opt,,,,95134733.0,ns,27801600
"pow(2, 31)",pow_std_2opt,,,,95642387.0,ns,28091200
"pow(2, 31)",pow_std_2opt,,,,96793875.0,ns,28380800
"pow(2, 31)",pow_std_2opt,,,,97993378.0,ns,28670400
"pow(2, 31)",pow_std_2opt,,,,98616888.0,ns,28960000
