group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,7,,,1012635.0,ns,243884
"pow(3, 0..18)",pow_alt_012opt,7,,,1900268.0,ns,487768
"pow(3, 0..18)",pow_alt_012opt,7,,,3169106.0,ns,731652
"pow(3, 0..18)",pow_alt_012opt,7,,,4126943.0,ns,975536
"pow(3, 0..18)",pow_alt_012opt,7,,,5003070.0,ns,1219420
"pow(3, 0..18)",pow_alt_012opt,7,,,5991199.0,ns,1463304
"pow(3, 0..18)",pow_alt_012opt,7,,,7151861.0,ns,1707188
"pow(3, 0..18)",pow_alt_012opt,7,,,7754982.0,ns,1951072
"pow(3, 0..18)",pow_alt_012opt,7,,,8869042.0,ns,2194956
"pow(3, 0..18)",pow_alt_012opt,7,,,9752742.0,ns,2438840
"pow(3, 0..18)",pow_alt_012opt,7,,,10569867.0,ns,2682724
"pow(3, 0..18)",pow_alt_012opt,7,,,11613197.0,ns,2926608
"pow(3, 0..18)",pow_alt_012opt,7,,,12419487.0,ns,3170492
"pow(3, 0..18)",pow_alt_012opt,7,,,13424143.0,ns,3414376
"pow(3, 0..18)",pow_alt_012opt,7,,,14696399.0,ns,3658260
"pow(3, 0..18)",pow_alt_012opt,7,,,15706363.0,ns,3902144
"pow(3, 0..18)",pow_alt_012opt,7,,,16308876.0,ns,4146028
"pow(3, 0..18)",pow_alt_012opt,7,,,18262220.0,ns,4389912
"pow(3, 0..18)",pow_alt_012opt,7,,,19176320.0,ns,4633796
"pow(3, 0..18)",pow_alt_012opt,7,,,19563400.0,ns,4877680
"pow(3, 0..18)",pow_alt_012opt,7,,,21318811.0,ns,5121564
"pow(3, 0..18)",pow_alt_012opt,7,,,23632523.0,ns,5365448
"pow(3, 0..18)",pow_alt_012opt,7,,,23983187.0,ns,5609332
"pow(3, 0..18)",pow_alt_012opt,7,,,23441677.0,ns,5853216
"pow(3, 0..18)",pow_alt_012opt,7,,,24497613.0,ns,6097100
"pow(3, 0..18)",pow_alt_012opt,7,,,26135723.0,ns,6340984
"pow(3, 0..18)",pow_alt_012opt,7,,,28617942.0,ns,6584868
"pow(3, 0..18)",pow_alt_012opt,7,,,29092462.0,ns,6828752
"pow(3, 0..18)",pow_alt_012opt,7,,,28836902.0,ns,7072636
"pow(3, 0..18)",pow_alt_012opt,7,,,30095569.0,ns,7316520
"pow(3, 0..18)",pow_alt_012opt,7,,,32440684.0,ns,7560404
"pow(3, 0..18)",pow_alt_012opt,7,,,33417896.0,ns,7804288
"pow(3, 0..18)",pow_alt_012opt,7,,,33088971.0,ns,8048172
"pow(3, 0..18)",pow_alt_012opt,7,,,32538959.0,ns,8292056
"pow(3, 0..18)",pow_alt_012opt,7,,,34204324.0,ns,8535940
"pow(3, 0..18)",pow_alt_012opt,7,,,38275786.0,ns,8779824
"pow(3, 0..18)",pow_alt_012opt,7,,,37778657.0,ns,9023708
"pow(3, 0..18)",pow_alt_012opt,7,,,36564058.0,ns,9267592
"pow(3, 0..18)",pow_alt_012opt,7,,,38655807.0,ns,9511476
"pow(3, 0..18)",pow_alt_012opt,7,,,39636147.0,ns,9755360
"pow(3, 0..18)",pow_alt_012opt,7,,,42457437.0,ns,9999244
"pow(3, 0..18)",pow_alt_012opt,7,,,44009806.0,ns,10243128
"pow(3, 0..18)",pow_alt_012opt,7,,,42510012.0,ns,10487012
"pow(3, 0..18)",pow_alt_012opt,7,,,42091587.0,ns,10730896
"pow(3, 0..18)",pow_alt_012opt,7,,,45460455.0,ns,10974780
"pow(3, 0..18)",pow_alt_012opt,7,,,46327308.0,ns,11218664
"pow(3, 0..18)",pow_alt_012opt,7,,,48071644.0,ns,11462548
"pow(3, 0..18)",pow_alt_012opt,7,,,48528218.0,ns,11706432
"pow(3, 0..18)",pow_alt_012opt,7,,,49860205.0,ns,11950316
"pow(3, 0..18)",pow_alt_012opt,7,,,48326790.0,ns,12194200
"pow(3, 0..18)",pow_alt_012opt,7,,,57048249.0,ns,12438084
"pow(3, 0..18)",pow_alt_012opt,7,,,51416856.0,ns,12681968
"pow(3, 0..18)",pow_alt_012opt,7,,,51764135.0,ns,12925852
"pow(3, 0..18)",pow_alt_012opt,7,,,53338290.0,ns,13169736
"pow(3, 0..18)",pow_alt_012opt,7,,,54391508.0,ns,13413620
"pow(3, 0..18)",pow_alt_012opt,7,,,57199700.0,ns,13657504
"pow(3, 0..18)",pow_alt_012opt,7,,,58080242.0,ns,13901388
"pow(3, 0..18)",pow_alt_012opt,7,,,58392059.0,ns,14145272
"pow(3, 0..18)",pow_alt_012opt,7,,,60531932.0,ns,14389156
"pow(3, 0..18)",pow_alt_012opt,7,,,59908500.0,ns,14633040
"pow(3, 0..18)",pow_alt_012opt,7,,,58896135.0,ns,14876924
"pow(3, 0..18)",pow_alt_012opt,7,,,59468374.0,ns,15120808
