group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,9,,,927422.0,ns,196317
"pow(3, 0..18)",pow_alt_012opt,9,,,1915830.0,ns,392634
"pow(3, 0..18)",pow_alt_012opt,9,,,3110237.0,ns,588951
"pow(3, 0..18)",pow_alt_012opt,9,,,4029298.0,ns,785268
"pow(3, 0..18)",pow_alt_012opt,9,,,4925694.0,ns,981585
"pow(3, 0..18)",pow_alt_012opt,9,,,6682312.0,ns,1177902
"pow(3, 0..18)",pow_alt_012opt,9,,,7268589.0,ns,1374219
"pow(3, 0..18)",pow_alt_012opt,9,,,7736721.0,ns,1570536
"pow(3, 0..18)",pow_alt_012opt,9,,,8715333.0,ns,1766853
"pow(3, 0..18)",pow_alt_012opt,9,,,10852631.0,ns,1963170
"pow(3, 0..18)",pow_alt_012opt,9,,,10689099.0,ns,2159487
"pow(3, 0..18)",pow_alt_012opt,9,,,11630062.0,ns,2355804
"pow(3, 0..18)",pow_alt_012opt,9,,,12713420.0,ns,2552121
"pow(3, 0..18)",pow_alt_012opt,9,,,13433974.0,ns,2748438
"pow(3, 0..18)",pow_alt_012opt,9,,,14428539.0,ns,2944755
"pow(3, 0..18)",pow_alt_012opt,9,,,15435097.0,ns,3141072
"pow(3, 0..18)",pow_alt_012opt,9,,,15783249.0,ns,3337389
"pow(3, 0..18)",pow_alt_012opt,9,,,16883937.0,ns,3533706
"pow(3, 0..18)",pow_alt_012opt,9,,,18026492.0,ns,3730023
"pow(3, 0..18)",pow_alt_012opt,9,,,19095003.0,ns,3926340
"pow(3, 0..18)",pow_alt_012opt,9,,,20848257.0,ns,4122657
"pow(3, 0..18)",pow_alt_012opt,9,,,21555026.0,ns,4318974
"pow(3, 0..18)",pow_alt_012opt,9,,,22235271.0,ns,4515291
"pow(3, 0..18)",pow_alt_012opt,9,,,23067111.0,ns,4711608
"pow(3, 0..18)",pow_alt_012opt,9,,,23926999.0,ns,4907925
"pow(3, 0..18)",pow_alt_012opt,9,,,25315041.0,ns,5104242
"pow(3, 0..18)",pow_alt_012opt,9,,,26547627.0,ns,5300559
"pow(3, 0..18)",pow_alt_012opt,9,,,28765255.0,ns,5496876
"pow(3, 0..18)",pow_alt_012opt,9,,,28674083.0,ns,5693193
"pow(3, 0..18)",pow_alt_012opt,9,,,30466194.0,ns,5889510
"pow(3, 0..18)",pow_alt_012opt,9,,,30847488.0,ns,6085827
"pow(3, 0..18)",pow_alt_012opt,9,,,32861926.0,ns,6282144
"pow(3, 0..18)",pow_alt_012opt,9,,,32201179.0,ns,6478461
"pow(3, 0..18)",pow_alt_012opt,9,,,32238201.0,ns,6674778
"pow(3, 0..18)",pow_alt_012opt,9,,,33740839.0,ns,6871095
"pow(3, 0..18)",pow_alt_012opt,9,,,34504621.0,ns,7067412
"pow(3, 0..18)",pow_alt_012opt,9,,,35571489.0,ns,7263729
"pow(3, 0..18)",pow_alt_012opt,9,,,38168620.0,ns,7460046
"pow(3, 0..18)",pow_alt_012opt,9,,,42611544.0,ns,7656363
"pow(3, 0..18)",pow_alt_012opt,9,,,42241559.0,ns,7852680
"pow(3, 0..18)",pow_alt_012opt,9,,,42566767.0,ns,8048997
"pow(3, 0..18)",pow_alt_012opt,9,,,42968554.0,ns,8245314
"pow(3, 0..18)",pow_alt_012opt,9,,,44190649.0,ns,8441631
"pow(3, 0..18)",pow_alt_012opt,9,,,44171491.0,ns,8637948
"pow(3, 0..18)",pow_alt_012opt,9,,,45008622.0,ns,8834265
"pow(3, 0..18)",pow_alt_012opt,9,,,45385668.0,ns,9030582
"pow(3, 0..18)",pow_alt_012opt,9,,,45548893.0,ns,9226899
"pow(3, 0..18)",pow_alt_012opt,9,,,48427276.0,ns,9423216
"pow(3, 0..18)",pow_alt_012opt,9,,,48383044.0,ns,9619533
"pow(3, 0..18)",pow_alt_012opt,9,,,50962066.0,ns,9815850
"pow(3, 0..18)",pow_alt_012opt,9,,,49711874.0,ns,10012167
"pow(3, 0..18)",pow_alt_012opt,9,,,50978989.0,ns,10208484
"pow(3, 0..18)",pow_alt_012opt,9,,,52508502.0,ns,10404801
"pow(3, 0..18)",pow_alt_012opt,9,,,53929644.0,ns,10601118
"pow(3, 0..18)",pow_alt_012opt,9,,,54146914.0,ns,10797435
"pow(3, 0..18)",pow_alt_012opt,9,,,53786417.0,ns,10993752
"pow(3, 0..18)",pow_alt_012opt,9,,,57216618.0,ns,11190069
"pow(3, 0..18)",pow_alt_012opt,9,,,58239895.0,ns,11386386
"pow(3, 0..18)",pow_alt_012opt,9,,,58208467.0,ns,11582703
"pow(3, 0..18)",pow_alt_012opt,9,,,57618703.0,ns,11779020
"pow(3, 0..18)",pow_alt_012opt,9,,,58619680.0,ns,11975337
"pow(3, 0..18)",pow_alt_012opt,9,,,61533897.0,ns,12171654
"pow(3, 0..18)",pow_alt_012opt,9,,,63400146.0,ns,12367971
"pow(3, 0..18)",pow_alt_012opt,9,,,60726149.0,ns,12564288
"pow(3, 0..18)",pow_alt_012opt,9,,,62686385.0,ns,12760605
"pow(3, 0..18)",pow_alt_012opt,9,,,66223582.0,ns,12956922
"pow(3, 0..18)",pow_alt_012opt,9,,,66841415.0,ns,13153239
"pow(3, 0..18)",pow_alt_012opt,9,,,66600355.0,ns,13349556
"pow(3, 0..18)",pow_alt_012opt,9,,,66567981.0,ns,13545873
"pow(3, 0..18)",pow_alt_012opt,9,,,69419354.0,ns,13742190
"pow(3, 0..18)",pow_alt_012opt,9,,,68912824.0,ns,13938507
"pow(3, 0..18)",pow_alt_012opt,9,,,68967874.0,ns,14134824
"pow(3, 0..18)",pow_alt_012opt,9,,,73310750.0,ns,14331141
"pow(3, 0..18)",pow_alt_012opt,9,,,74195345.0,ns,14527458
"pow(3, 0..18)",pow_alt_012opt,9,,,74370522.0,ns,14723775
"pow(3, 0..18)",pow_alt_012opt,9,,,77040242.0,ns,14920092
"pow(3, 0..18)",pow_alt_012opt,9,,,76275445.0,ns,15116409
"pow(3, 0..18)",pow_alt_012opt,9,,,77902910.0,ns,15312726
"pow(3, 0..18)",pow_alt_012opt,9,,,79896101.0,ns,15509043
