group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,14,,,980841.0,ns,152582
"pow(3, 0..18)",pow_std,14,,,2014707.0,ns,305164
"pow(3, 0..18)",pow_std,14,,,2934448.0,ns,457746
"pow(3, 0..18)",pow_std,14,,,3786959.0,ns,610328
"pow(3, 0..18)",pow_std,14,,,5076510.0,ns,762910
"pow(3, 0..18)",pow_std,14,,,5754004.0,ns,915492
"pow(3, 0..18)",pow_std,14,,,6987105.0,ns,1068074
"pow(3, 0..18)",pow_std,14,,,7944635.0,ns,1220656
"pow(3, 0..18)",pow_std,14,,,9374523.0,ns,1373238
"pow(3, 0..18)",pow_std,14,,,10471848.0,ns,1525820
"pow(3, 0..18)",pow_std,14,,,11691505.0,ns,1678402
"pow(3, 0..18)",pow_std,14,,,11856303.0,ns,1830984
"pow(3, 0..18)",pow_std,14,,,13212099.0,ns,1983566
"pow(3, 0..18)",pow_std,14,,,14211796.0,ns,2136148
"pow(3, 0..18)",pow_std,14,,,14733364.0,ns,2288730
"pow(3, 0..18)",pow_std,14,,,16328048.0,ns,2441312
"pow(3, 0..18)",pow_std,14,,,17605968.0,ns,2593894
"pow(3, 0..18)",pow_std,14,,,18087990.0,ns,2746476
"pow(3, 0..18)",pow_std,14,,,18306696.0,ns,2899058
"pow(3, 0..18)",pow_std,14,,,19276973.0,ns,3051640
"pow(3, 0..18)",pow_std,14,,,21335062.0,ns,3204222
"pow(3, 0..18)",pow_std,14,,,22457703.0,ns,3356804
"pow(3, 0..18)",pow_std,14,,,23378307.0,ns,3509386
"pow(3, 0..18)",pow_std,14,,,24117341.0,ns,3661968
"pow(3, 0..18)",pow_std,14,,,25007225.0,ns,3814550
"pow(3, 0..18)",pow_std,14,,,25912342.0,ns,3967132
"pow(3, 0..18)",pow_std,14,,,26540409.0,ns,4119714
"pow(3, 0..18)",pow_std,14,,,27695960.0,ns,4272296
"pow(3, 0..18)",pow_std,14,,,27511117.0,ns,4424878
"pow(3, 0..18)",pow_std,14,,,28297216.0,ns,4577460
"pow(3, 0..18)",pow_std,14,,,30870628.0,ns,4730042
"pow(3, 0..18)",pow_std,14,,,31827706.0,ns,4882624
"pow(3, 0..18)",pow_std,14,,,33999585.0,ns,5035206
"pow(3, 0..18)",pow_std,14,,,34597137.0,ns,5187788
"pow(3, 0..18)",pow_std,14,,,33442682.0,ns,5340370
"pow(3, 0..18)",pow_std,14,,,35678653.0,ns,5492952
"pow(3, 0..18)",pow_std,14,,,38538946.0,ns,5645534
"pow(3, 0..18)",pow_std,14,,,36485635.0,ns,5798116
"pow(3, 0..18)",pow_std,14,,,37660338.0,ns,5950698
"pow(3, 0..18)",pow_std,14,,,41502215.0,ns,6103280
"pow(3, 0..18)",pow_std,14,,,40887468.0,ns,6255862
"pow(3, 0..18)",pow_std,14,,,41720993.0,ns,6408444
"pow(3, 0..18)",pow_std,14,,,42800288.0,ns,6561026
"pow(3, 0..18)",pow_std,14,,,44230166.0,ns,6713608
"pow(3, 0..18)",pow_std,14,,,42686003.0,ns,6866190
"pow(3, 0..18)",pow_std,14,,,46613703.0,ns,7018772
"pow(3, 0..18)",pow_std,14,,,49448015.0,ns,7171354
"pow(3, 0..18)",pow_std,14,,,48898638.0,ns,7323936
"pow(3, 0..18)",pow_std,14,,,52564812.0,ns,7476518
"pow(3, 0..18)",pow_std,14,,,56015282.0,ns,7629100
"pow(3, 0..18)",pow_std,14,,,57802803.0,ns,7781682
"pow(3, 0..18)",pow_std,14,,,50621110.0,ns,7934264
"pow(3, 0..18)",pow_std,14,,,56641722.0,ns,8086846
"pow(3, 0..18)",pow_std,14,,,54806934.0,ns,8239428
"pow(3, 0..18)",pow_std,14,,,52314118.0,ns,8392010
"pow(3, 0..18)",pow_std,14,,,55192677.0,ns,8544592
"pow(3, 0..18)",pow_std,14,,,56338480.0,ns,8697174
"pow(3, 0..18)",pow_std,14,,,56943395.0,ns,8849756
"pow(3, 0..18)",pow_std,14,,,57808635.0,ns,9002338
"pow(3, 0..18)",pow_std,14,,,61048461.0,ns,9154920
"pow(3, 0..18)",pow_std,14,,,62135705.0,ns,9307502
"pow(3, 0..18)",pow_std,14,,,62368449.0,ns,9460084
"pow(3, 0..18)",pow_std,14,,,61844544.0,ns,9612666
"pow(3, 0..18)",pow_std,14,,,63203674.0,ns,9765248
