group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,3,,,1038160.0,ns,270253
"pow(3, 0..18)",pow_std,3,,,2042387.0,ns,540506
"pow(3, 0..18)",pow_std,3,,,3057578.0,ns,810759
"pow(3, 0..18)",pow_std,3,,,4076139.0,ns,1081012
"pow(3, 0..18)",pow_std,3,,,4850199.0,ns,1351265
"pow(3, 0..18)",pow_std,3,,,6243553.0,ns,1621518
"pow(3, 0..18)",pow_std,3,,,7178910.0,ns,1891771
"pow(3, 0..18)",pow_std,3,,,7874355.0,ns,2162024
"pow(3, 0..18)",pow_std,3,,,8654535.0,ns,2432277
"pow(3, 0..18)",pow_std,3,,,9959693.0,ns,2702530
"pow(3, 0..18)",pow_std,3,,,10333613.0,ns,2972783
"pow(3, 0..18)",pow_std,3,,,11452347.0,ns,3243036
"pow(3, 0..18)",pow_std,3,,,12658398.0,ns,3513289
"pow(3, 0..18)",pow_std,3,,,14199966.0,ns,3783542
"pow(3, 0..18)",pow_std,3,,,14776999.0,ns,4053795
"pow(3, 0..18)",pow_std,3,,,16310215.0,ns,4324048
"pow(3, 0..18)",pow_std,3,,,16813833.0,ns,4594301
"pow(3, 0..18)",pow_std,3,,,18389360.0,ns,4864554
"pow(3, 0..18)",pow_std,3,,,18623133.0,ns,5134807
"pow(3, 0..18)",pow_std,3,,,19877214.0,ns,5405060
"pow(3, 0..18)",pow_std,3,,,20522142.0,ns,5675313
"pow(3, 0..18)",pow_std,3,,,22281614.0,ns,5945566
"pow(3, 0..18)",pow_std,3,,,23437530.0,ns,6215819
"pow(3, 0..18)",pow_std,3,,,24542291.0,ns,6486072
"pow(3, 0..18)",pow_std,3,,,25520044.0,ns,6756325
"pow(3, 0..18)",pow_std,3,,,25922676.0,ns,7026578
"pow(3, 0..18)",pow_std,3,,,26055072.0,ns,7296831
"pow(3, 0..18)",pow_std,3,,,28022408.0,ns,7567084
"pow(3, 0..18)",pow_std,3,,,29013272.0,ns,7837337
"pow(3, 0..18)",pow_std,3,,,29546285.0,ns,8107590
"pow(3, 0..18)",pow_std,3,,,31601833.0,ns,8377843
"pow(3, 0..18)",pow_std,3,,,31066317.0,ns,8648096
"pow(3, 0..18)",pow_std,3,,,32624277.0,ns,8918349
"pow(3, 0..18)",pow_std,3,,,34248431.0,ns,9188602
"pow(3, 0..18)",pow_std,3,,,34519956.0,ns,9458855
"pow(3, 0..18)",pow_std,3,,,35773027.0,ns,9729108
"pow(3, 0..18)",pow_std,3,,,37340509.0,ns,9999361
"pow(3, 0..18)",pow_std,3,,,36760787.0,ns,10269614
"pow(3, 0..18)",pow_std,3,,,39127011.0,ns,10539867
"pow(3, 0..18)",pow_std,3,,,40254773.0,ns,10810120
"pow(3, 0..18)",pow_std,3,,,41266260.0,ns,11080373
"pow(3, 0..18)",pow_std,3,,,43023913.0,ns,11350626
"pow(3, 0..18)",pow_std,3,,,43272791.0,ns,11620879
"pow(3, 0..18)",pow_std,3,,,44323660.0,ns,11891132
"pow(3, 0..18)",pow_std,3,,,44551069.0,ns,12161385
"pow(3, 0..18)",pow_std,3,,,46669052.0,ns,12431638
"pow(3, 0..18)",pow_std,3,,,46807322.0,ns,12701891
"pow(3, 0..18)",pow_std,3,,,47477253.0,ns,12972144
"pow(3, 0..18)",pow_std,3,,,49533284.0,ns,13242397
"pow(3, 0..18)",pow_std,3,,,49101305.0,ns,13512650
"pow(3, 0..18)",pow_std,3,,,51018713.0,ns,13782903
"pow(3, 0..18)",pow_std,3,,,51520304.0,ns,14053156
"pow(3, 0..18)",pow_std,3,,,51071588.0,ns,14323409
"pow(3, 0..18)",pow_std,3,,,53848313.0,ns,14593662
"pow(3, 0..18)",pow_std,3,,,54886354.0,ns,14863915
"pow(3, 0..18)",pow_std,3,,,54728291.0,ns,15134168
"pow(3, 0..18)",pow_std,3,,,56586024.0,ns,15404421
"pow(3, 0..18)",pow_std,3,,,57809587.0,ns,15674674
"pow(3, 0..18)",pow_std,3,,,58318207.0,ns,15944927
"pow(3, 0..18)",pow_std,3,,,59629845.0,ns,16215180
"pow(3, 0..18)",pow_std,3,,,61136820.0,ns,16485433
"pow(3, 0..18)",pow_std,3,,,62764582.0,ns,16755686
"pow(3, 0..18)",pow_std,3,,,61483411.0,ns,17025939
"pow(3, 0..18)",pow_std,3,,,63539079.0,ns,17296192
"pow(3, 0..18)",pow_std,3,,,66363769.0,ns,17566445
"pow(3, 0..18)",pow_std,3,,,66323613.0,ns,17836698
"pow(3, 0..18)",pow_std,3,,,67282742.0,ns,18106951
"pow(3, 0..18)",pow_std,3,,,67903663.0,ns,18377204
"pow(3, 0..18)",pow_std,3,,,67844258.0,ns,18647457
"pow(3, 0..18)",pow_std,3,,,70217180.0,ns,18917710
"pow(3, 0..18)",pow_std,3,,,69739274.0,ns,19187963
