group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 18)",u32::pow,,,,985598.0,ns,191713
"pow(3, 18)",u32::pow,,,,1970920.0,ns,383426
"pow(3, 18)",u32::pow,,,,3182318.0,ns,575139
"pow(3, 18)",u32::pow,,,,4082211.0,ns,766852
"pow(3, 18)",u32::pow,,,,5106527.0,ns,958565
"pow(3, 18)",u32::pow,,,,5978367.0,ns,1150278
"pow(3, 18)",u32::pow,,,,7266177.0,ns,1341991
"pow(3, 18)",u32::pow,,,,8306706.0,ns,1533704
"pow(3, 18)",u32::pow,,,,9249107.0,ns,1725417
"pow(3, 18)",u32::pow,,,,10055148.0,ns,1917130
"pow(3, 18)",u32::pow,,,,10843831.0,ns,2108843
"pow(3, 18)",u32::pow,,,,11849511.0,ns,2300556
"pow(3, 18)",u32::pow,,,,12927722.0,ns,2492269
"pow(3, 18)",u32::pow,,,,13799986.0,ns,2683982
"pow(3, 18)",u32::pow,,,,14786621.0,ns,2875695
"pow(3, 18)",u32::pow,,,,15967138.0,ns,3067408
"pow(3, 18)",u32::pow,,,,17140818.0,ns,3259121
"pow(3, 18)",u32::pow,,,,17742920.0,ns,3450834
"pow(3, 18)",u32::pow,,,,18729542.0,ns,3642547
"pow(3, 18)",u32::pow,,,,19734430.0,ns,3834260
"pow(3, 18)",u32::pow,,,,20701364.0,ns,4025973
"pow(3, 18)",u32::pow,,,,21710058.0,ns,4217686
"pow(3, 18)",u32::pow,,,,22671353.0,ns,4409399
"pow(3, 18)",u32::pow,,,,23677521.0,ns,4601112
"pow(3, 18)",u32::pow,,,,24643579.0,ns,4792825
"pow(3, 18)",u32::pow,,,,25640638.0,ns,4984538
"pow(3, 18)",u32::pow,,,,26656826.0,ns,5176251
"pow(3, 18)",u32::pow,,,,27715075.0,ns,5367964
"pow(3, 18)",u32::pow,,,,28714067.0,ns,5559677
"pow(3, 18)",u32::pow,,,,29846475.0,ns,5751390
"pow(3, 18)",u32::pow,,,,30597537.0,ns,5943103
"pow(3, 18)",u32::pow,,,,31563720.0,ns,6134816
"pow(3, 18)",u32::pow,,,,32540419.0,ns,6326529
"pow(3, 18)",u32::pow,,,,33809813.0,ns,6518242
"pow(3, 18)",u32::pow,,,,34836992.0,ns,6709955
"pow(3, 18)",u32::pow,,,,35783815.0,ns,6901668
"pow(3, 18)",u32::pow,,,,36557372.0,ns,7093381
"pow(3, 18)",u32::pow,,,,37493612.0,ns,7285094
"pow(3, 18)",u32::pow,,,,39147832.0,ns,7476807
"pow(3, 18)",u32::pow,,,,39449428.0,ns,7668520
"pow(3, 18)",u32::pow,,,,40942964.0,ns,7860233
"pow(3, 18)",u32::pow,,,,41736099.0,ns,8051946
"pow(3, 18)",u32::pow,,,,42498062.0,ns,8243659
"pow(3, 18)",u32::pow,,,,43570261.0,ns,8435372
"pow(3, 18)",u32::pow,,,,44427176.0,ns,8627085
"pow(3, 18)",u32::pow,,,,45533754.0,ns,8818798
"pow(3, 18)",u32::pow,,,,46370545.0,ns,9010511
"pow(3, 18)",u32::pow,,,,47478369.0,ns,9202224
"pow(3, 18)",u32::pow,,,,48494638.0,ns,9393937
"pow(3, 18)",u32::pow,,,,49433918.0,ns,9585650
"pow(3, 18)",u32::pow,,,,50272342.0,ns,9777363
"pow(3, 18)",u32::pow,,,,51438619.0,ns,9969076
"pow(3, 18)",u32::pow,,,,52479572.0,ns,10160789
"pow(3, 18)",u32::pow,,,,53514172.0,ns,10352502
"pow(3, 18)",u32::pow,,,,54308833.0,ns,10544215
"pow(3, 18)",u32::pow,,,,55237647.0,ns,10735928
"pow(3, 18)",u32::pow,,,,56448670.0,ns,10927641
"pow(3, 18)",u32::pow,,,,57268924.0,ns,11119354
"pow(3, 18)",u32::pow,,,,58249401.0,ns,11311067
"pow(3, 18)",u32::pow,,,,59913883.0,ns,11502780
"pow(3, 18)",u32::pow,,,,60693105.0,ns,11694493
"pow(3, 18)",u32::pow,,,,61598105.0,ns,11886206
"pow(3, 18)",u32::pow,,,,62417816.0,ns,12077919
"pow(3, 18)",u32::pow,,,,63842057.0,ns,12269632
"pow(3, 18)",u32::pow,,,,64159536.0,ns,12461345
"pow(3, 18)",u32::pow,,,,65339161.0,ns,12653058
"pow(3, 18)",u32::pow,,,,66118721.0,ns,12844771
"pow(3, 18)",u32::pow,,,,67095738.0,ns,13036484
"pow(3, 18)",u32::pow,,,,68133898.0,ns,13228197
"pow(3, 18)",u32::pow,,,,69690092.0,ns,13419910
