group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt,,,,988869.0,ns,233195
"pow(3, 7)",pow_alt,,,,1969138.0,ns,466390
"pow(3, 7)",pow_alt,,,,2957479.0,ns,699585
"pow(3, 7)",pow_alt,,,,3969425.0,ns,932780
"pow(3, 7)",pow_alt,,,,5083824.0,ns,1165975
"pow(3, 7)",pow_alt,,,,6160566.0,ns,1399170
"pow(3, 7)",pow_alt,,,,6952307.0,ns,1632365
"pow(3, 7)",pow_alt,,,,7941246.0,ns,1865560
"pow(3, 7)",pow_alt,,,,8878330.0,ns,2098755
"pow(3, 7)",pow_alt,,,,10434428.0,ns,2331950
"pow(3, 7)",pow_alt,,,,10963072.0,ns,2565145
"pow(3, 7)",pow_alt,,,,11884394.0,ns,2798340
"pow(3, 7)",pow_alt,,,,13023405.0,ns,3031535
"pow(3, 7)",pow_alt,,,,13783185.0,ns,3264730
"pow(3, 7)",pow_alt,,,,14790776.0,ns,3497925
"pow(3, 7)",pow_alt,,,,15869480.0,ns,3731120
"pow(3, 7)",pow_alt,,,,16746831.0,ns,3964315
"pow(3, 7)",pow_alt,,,,17728363.0,ns,4197510
"pow(3, 7)",pow_alt,,,,18721930.0,ns,4430705
"pow(3, 7)",pow_alt,,,,19721071.0,ns,4663900
"pow(3, 7)",pow_alt,,,,20706536.0,ns,4897095
"pow(3, 7)",pow_alt,,,,21735664.0,ns,5130290
"pow(3, 7)",pow_alt,,,,22663799.0,ns,5363485
"pow(3, 7)",pow_alt,,,,23645942.0,ns,5596680
"pow(3, 7)",pow_alt,,,,24632545.0,ns,5829875
"pow(3, 7)",pow_alt,,,,25599086.0,ns,6063070
"pow(3, 7)",pow_alt,,,,26950116.0,ns,6296265
"pow(3, 7)",pow_alt,,,,27763657.0,ns,6529460
"pow(3, 7)",pow_alt,,,,28657389.0,ns,6762655
"pow(3, 7)",pow_alt,,,,29719088.0,ns,6995850
"pow(3, 7)",pow_alt,,,,30515090.0,ns,7229045
"pow(3, 7)",pow_alt,,,,31552475.0,ns,7462240
"pow(3, 7)",pow_alt,,,,32491538.0,ns,7695435
"pow(3, 7)",pow_alt,,,,33569153.0,ns,7928630
