group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",u32::pow,,,,1036801.0,ns,343871
"pow(3, 7)",u32::pow,,,,1951193.0,ns,687742
"pow(3, 7)",u32::pow,,,,3193485.0,ns,1031613
"pow(3, 7)",u32::pow,,,,3926174.0,ns,1375484
"pow(3, 7)",u32::pow,,,,5524782.0,ns,1719355
"pow(3, 7)",u32::pow,,,,6011238.0,ns,2063226
"pow(3, 7)",u32::pow,,,,6925086.0,ns,2407097
"pow(3, 7)",u32::pow,,,,8124901.0,ns,2750968
"pow(3, 7)",u32::pow,,,,8960003.0,ns,3094839
"pow(3, 7)",u32::pow,,,,10179892.0,ns,3438710
"pow(3, 7)",u32::pow,,,,10812237.0,ns,3782581
"pow(3, 7)",u32::pow,,,,11840780.0,ns,4126452
"pow(3, 7)",u32::pow,,,,12763395.0,ns,4470323
"pow(3, 7)",u32::pow,,,,14897371.0,ns,4814194
"pow(3, 7)",u32::pow,,,,14797000.0,ns,5158065
"pow(3, 7)",u32::pow,,,,16081996.0,ns,5501936
"pow(3, 7)",u32::pow,,,,16996304.0,ns,5845807
"pow(3, 7)",u32::pow,,,,17969266.0,ns,6189678
"pow(3, 7)",u32::pow,,,,19161863.0,ns,6533549
"pow(3, 7)",u32::pow,,,,19965795.0,ns,6877420
"pow(3, 7)",u32::pow,,,,21031766.0,ns,7221291
"pow(3, 7)",u32::pow,,,,21655903.0,ns,7565162
"pow(3, 7)",u32::pow,,,,23370468.0,ns,7909033
"pow(3, 7)",u32::pow,,,,24674877.0,ns,8252904
"pow(3, 7)",u32::pow,,,,24461744.0,ns,8596775
"pow(3, 7)",u32::pow,,,,25911393.0,ns,8940646
"pow(3, 7)",u32::pow,,,,26389289.0,ns,9284517
"pow(3, 7)",u32::pow,,,,27414602.0,ns,9628388
"pow(3, 7)",u32::pow,,,,28808598.0,ns,9972259
"pow(3, 7)",u32::pow,,,,29869445.0,ns,10316130
"pow(3, 7)",u32::pow,,,,31665824.0,ns,10660001
"pow(3, 7)",u32::pow,,,,31901913.0,ns,11003872
"pow(3, 7)",u32::pow,,,,32828652.0,ns,11347743
"pow(3, 7)",u32::pow,,,,33888264.0,ns,11691614
"pow(3, 7)",u32::pow,,,,35085474.0,ns,12035485
"pow(3, 7)",u32::pow,,,,36242805.0,ns,12379356
"pow(3, 7)",u32::pow,,,,38072680.0,ns,12723227
"pow(3, 7)",u32::pow,,,,37897999.0,ns,13067098
"pow(3, 7)",u32::pow,,,,38710368.0,ns,13410969
"pow(3, 7)",u32::pow,,,,39861352.0,ns,13754840
"pow(3, 7)",u32::pow,,,,40764427.0,ns,14098711
"pow(3, 7)",u32::pow,,,,42544312.0,ns,14442582
"pow(3, 7)",u32::pow,,,,43616513.0,ns,14786453
