group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(7, 11)",pow_alt_2opt_inline,,,,946060.0,ns,273497
"pow(7, 11)",pow_alt_2opt_inline,,,,1849566.0,ns,546994
"pow(7, 11)",pow_alt_2opt_inline,,,,3301475.0,ns,820491
"pow(7, 11)",pow_alt_2opt_inline,,,,3704906.0,ns,1093988
"pow(7, 11)",pow_alt_2opt_inline,,,,5591075.0,ns,1367485
"pow(7, 11)",pow_alt_2opt_inline,,,,6435232.0,ns,1640982
"pow(7, 11)",pow_alt_2opt_inline,,,,6541486.0,ns,1914479
"pow(7, 11)",pow_alt_2opt_inline,,,,7400558.0,ns,2187976
"pow(7, 11)",pow_alt_2opt_inline,,,,10084095.0,ns,2461473
"pow(7, 11)",pow_alt_2opt_inline,,,,10174587.0,ns,2734970
"pow(7, 11)",pow_alt_2opt_inline,,,,10197772.0,ns,3008467
"pow(7, 11)",pow_alt_2opt_inline,,,,11139945.0,ns,3281964
"pow(7, 11)",pow_alt_2opt_inline,,,,14413568.0,ns,3555461
"pow(7, 11)",pow_alt_2opt_inline,,,,14253120.0,ns,3828958
"pow(7, 11)",pow_alt_2opt_inline,,,,14901730.0,ns,4102455
"pow(7, 11)",pow_alt_2opt_inline,,,,14795389.0,ns,4375952
"pow(7, 11)",pow_alt_2opt_inline,,,,16443854.0,ns,4649449
"pow(7, 11)",pow_alt_2opt_inline,,,,17109701.0,ns,4922946
"pow(7, 11)",pow_alt_2opt_inline,,,,17395620.0,ns,5196443
"pow(7, 11)",pow_alt_2opt_inline,,,,18450000.0,ns,5469940
"pow(7, 11)",pow_alt_2opt_inline,,,,20481878.0,ns,5743437
"pow(7, 11)",pow_alt_2opt_inline,,,,22081528.0,ns,6016934
"pow(7, 11)",pow_alt_2opt_inline,,,,21282674.0,ns,6290431
"pow(7, 11)",pow_alt_2opt_inline,,,,24267170.0,ns,6563928
"pow(7, 11)",pow_alt_2opt_inline,,,,25070323.0,ns,6837425
"pow(7, 11)",pow_alt_2opt_inline,,,,25587364.0,ns,7110922
"pow(7, 11)",pow_alt_2opt_inline,,,,27756434.0,ns,7384419
"pow(7, 11)",pow_alt_2opt_inline,,,,27310675.0,ns,7657916
"pow(7, 11)",pow_alt_2opt_inline,,,,29025759.0,ns,7931413
"pow(7, 11)",pow_alt_2opt_inline,,,,29920640.0,ns,8204910
"pow(7, 11)",pow_alt_2opt_inline,,,,30730448.0,ns,8478407
"pow(7, 11)",pow_alt_2opt_inline,,,,32347428.0,ns,8751904
"pow(7, 11)",pow_alt_2opt_inline,,,,31406936.0,ns,9025401
"pow(7, 11)",pow_alt_2opt_inline,,,,32684079.0,ns,9298898
"pow(7, 11)",pow_alt_2opt_inline,,,,33994713.0,ns,9572395
"pow(7, 11)",pow_alt_2opt_inline,,,,33800931.0,ns,9845892
"pow(7, 11)",pow_alt_2opt_inline,,,,34806081.0,ns,10119389
"pow(7, 11)",pow_alt_2opt_inline,,,,36584854.0,ns,10392886
"pow(7, 11)",pow_alt_2opt_inline,,,,37223746.0,ns,10666383
"pow(7, 11)",pow_alt_2opt_inline,,,,38085111.0,ns,10939880
"pow(7, 11)",pow_alt_2opt_inline,,,,38994684.0,ns,11213377
"pow(7, 11)",pow_alt_2opt_inline,,,,42247573.0,ns,11486874
"pow(7, 11)",pow_alt_2opt_inline,,,,43358282.0,ns,11760371
"pow(7, 11)",pow_alt_2opt_inline,,,,41910761.0,ns,12033868
"pow(7, 11)",pow_alt_2opt_inline,,,,46143680.0,ns,12307365
"pow(7, 11)",pow_alt_2opt_inline,,,,44634435.0,ns,12580862
"pow(7, 11)",pow_alt_2opt_inline,,,,45535610.0,ns,12854359
"pow(7, 11)",pow_alt_2opt_inline,,,,47270581.0,ns,13127856
"pow(7, 11)",pow_alt_2opt_inline,,,,47551394.0,ns,13401353
