group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(1, 31)",pow_alt,,,,1004464.0,ns,359688
"pow(1, 31)",pow_alt,,,,1996204.0,ns,719376
"pow(1, 31)",pow_alt,,,,3008774.0,ns,1079064
"pow(1, 31)",pow_alt,,,,3956391.0,ns,1438752
"pow(1, 31)",pow_alt,,,,5013742.0,ns,1798440
"pow(1, 31)",pow_alt,,,,6025121.0,ns,2158128
"pow(1, 31)",pow_alt,,,,7000881.0,ns,2517816
"pow(1, 31)",pow_alt,,,,7992911.0,ns,2877504
"pow(1, 31)",pow_alt,,,,8976625.0,ns,3237192
"pow(1, 31)",pow_alt,,,,9952836.0,ns,3596880
"pow(1, 31)",pow_alt,,,,10971008.0,ns,3956568
"pow(1, 31)",pow_alt,,,,11955944.0,ns,4316256
"pow(1, 31)",pow_alt,,,,12930160.0,ns,4675944
"pow(1, 31)",pow_alt,,,,13905380.0,ns,5035632
"pow(1, 31)",pow_alt,,,,14958515.0,ns,5395320
"pow(1, 31)",pow_alt,,,,16083927.0,ns,5755008
"pow(1, 31)",pow_alt,,,,16961783.0,ns,6114696
"pow(1, 31)",pow_alt,,,,17889071.0,ns,6474384
"pow(1, 31)",pow_alt,,,,18850203.0,ns,6834072
"pow(1, 31)",pow_alt,,,,19849608.0,ns,7193760
"pow(1, 31)",pow_alt,,,,20825396.0,ns,7553448
"pow(1, 31)",pow_alt,,,,21843016.0,ns,7913136
"pow(1, 31)",pow_alt,,,,22831099.0,ns,8272824
"pow(1, 31)",pow_alt,,,,23821577.0,ns,8632512
"pow(1, 31)",pow_alt,,,,24917854.0,ns,8992200
"pow(1, 31)",pow_alt,,,,25867104.0,ns,9351888
"pow(1, 31)",pow_alt,,,,26871447.0,ns,9711576
"pow(1, 31)",pow_alt,,,,27913212.0,ns,10071264
"pow(1, 31)",pow_alt,,,,28829610.0,ns,10430952
"pow(1, 31)",pow_alt,,,,29763601.0,ns,10790640
"pow(1, 31)",pow_alt,,,,30784645.0,ns,11150328
"pow(1, 31)",pow_alt,,,,31757030.0,ns,11510016
"pow(1, 31)",pow_alt,,,,33252128.0,ns,11869704
"pow(1, 31)",pow_alt,,,,33977467.0,ns,12229392
"pow(1, 31)",pow_alt,,,,34970157.0,ns,12589080
"pow(1, 31)",pow_alt,,,,35984059.0,ns,12948768
"pow(1, 31)",pow_alt,,,,36943970.0,ns,13308456
"pow(1, 31)",pow_alt,,,,37882420.0,ns,13668144
"pow(1, 31)",pow_alt,,,,38855264.0,ns,14027832
"pow(1, 31)",pow_alt,,,,39845721.0,ns,14387520
"pow(1, 31)",pow_alt,,,,40755005.0,ns,14747208
"pow(1, 31)",pow_alt,,,,41795045.0,ns,15106896
"pow(1, 31)",pow_alt,,,,42850888.0,ns,15466584
"pow(1, 31)",pow_alt,,,,43743160.0,ns,15826272
"pow(1, 31)",pow_alt,,,,44681739.0,ns,16185960
"pow(1, 31)",pow_alt,,,,45723225.0,ns,16545648
"pow(1, 31)",pow_alt,,,,46701317.0,ns,16905336
"pow(1, 31)",pow_alt,,,,47806311.0,ns,17265024
"pow(1, 31)",pow_alt,,,,48708623.0,ns,17624712
"pow(1, 31)",pow_alt,,,,49702707.0,ns,17984400
"pow(1, 31)",pow_alt,,,,50710628.0,ns,18344088
"pow(1, 31)",pow_alt,,,,51733636.0,ns,18703776
"pow(1, 31)",pow_alt,,,,52743049.0,ns,19063464
"pow(1, 31)",pow_alt,,,,53602580.0,ns,19423152
"pow(1, 31)",pow_alt,,,,54779188.0,ns,19782840
"pow(1, 31)",pow_alt,,,,55778574.0,ns,20142528
"pow(1, 31)",pow_alt,,,,56638073.0,ns,20502216
"pow(1, 31)",pow_alt,,,,57549032.0,ns,20861904
"pow(1, 31)",pow_alt,,,,58778659.0,ns,21221592
