group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(1, 31)",pow_std_2opt,,,,1010145.0,ns,701925
"pow(1, 31)",pow_std_2opt,,,,2019057.0,ns,1403850
"pow(1, 31)",pow_std_2opt,,,,3008853.0,ns,2105775
"pow(1, 31)",pow_std_2opt,,,,4025900.0,ns,2807700
"pow(1, 31)",pow_std_2opt,,,,5092913.0,ns,3509625
"pow(1, 31)",pow_std_2opt,,,,6044588.0,ns,4211550
"pow(1, 31)",pow_std_2opt,,,,7066644.0,ns,4913475
"pow(1, 31)",pow_std_2opt,,,,8117096.0,ns,5615400
"pow(1, 31)",pow_std_2opt,,,,9111591.0,ns,6317325
"pow(1, 31)",pow_std_2opt,,,,10078564.0,ns,7019250
"pow(1, 31)",pow_std_2opt,,,,11103676.0,ns,7721175
"pow(1, 31)",pow_std_2opt,,,,12124363.0,ns,8423100
"pow(1, 31)",pow_std_2opt,,,,13110350.0,ns,9125025
"pow(1, 31)",pow_std_2opt,,,,14130884.0,ns,9826950
"pow(1, 31)",pow_std_2opt,,,,15088711.0,ns,10528875
"pow(1, 31)",pow_std_2opt,,,,16072878.0,ns,11230800
"pow(1, 31)",pow_std_2opt,,,,17152973.0,ns,11932725
"pow(1, 31)",pow_std_2opt,,,,18155795.0,ns,12634650
"pow(1, 31)",pow_std_2opt,,,,19048617.0,ns,13336575
"pow(1, 31)",pow_std_2opt,,,,20072909.0,ns,14038500
"pow(1, 31)",pow_std_2opt,,,,21095477.0,ns,14740425
"pow(1, 31)",pow_std_2opt,,,,22181776.0,ns,15442350
"pow(1, 31)",pow_std_2opt,,,,23119835.0,ns,16144275
"pow(1, 31)",pow_std_2opt,,,,24132463.0,ns,16846200
"pow(1, 31)",pow_std_2opt,,,,25137630.0,ns,17548125
"pow(1, 31)",pow_std_2opt,,,,26071210.0,ns,18250050
"pow(1, 31)",pow_std_2opt,,,,27106782.0,ns,18951975
"pow(1, 31)",pow_std_2opt,,,,28147705.0,ns,19653900
"pow(1, 31)",pow_std_2opt,,,,29105441.0,ns,20355825
"pow(1, 31)",pow_std_2opt,,,,30152204.0,ns,21057750
"pow(1, 31)",pow_std_2opt,,,,31163753.0,ns,21759675
"pow(1, 31)",pow_std_2opt,,,,32142167.0,ns,22461600
"pow(1, 31)",pow_std_2opt,,,,33173100.0,ns,23163525
"pow(1, 31)",pow_std_2opt,,,,34106040.0,ns,23865450
"pow(1, 31)",pow_std_2opt,,,,35143156.0,ns,24567375
"pow(1, 31)",pow_std_2opt,,,,36189158.0,ns,25269300
"pow(1, 31)",pow_std_2opt,,,,37116788.0,ns,25971225
"pow(1, 31)",pow_std_2opt,,,,38165585.0,ns,26673150
"pow(1, 31)",pow_std_2opt,,,,39084398.0,ns,27375075
"pow(1, 31)",pow_std_2opt,,,,40138385.0,ns,28077000
"pow(1, 31)",pow_std_2opt,,,,41130234.0,ns,28778925
"pow(1, 31)",pow_std_2opt,,,,42163704.0,ns,29480850
"pow(1, 31)",pow_std_2opt,,,,43251125.0,ns,30182775
"pow(1, 31)",pow_std_2opt,,,,44231101.0,ns,30884700
"pow(1, 31)",pow_std_2opt,,,,45196933.0,ns,31586625
"pow(1, 31)",pow_std_2opt,,,,46213640.0,ns,32288550
"pow(1, 31)",pow_std_2opt,,,,47142631.0,ns,32990475
"pow(1, 31)",pow_std_2opt,,,,48172345.0,ns,33692400
"pow(1, 31)",pow_std_2opt,,,,49214238.0,ns,34394325
"pow(1, 31)",pow_std_2opt,,,,50273555.0,ns,35096250
"pow(1, 31)",pow_std_2opt,,,,51162141.0,ns,35798175
"pow(1, 31)",pow_std_2opt,,,,52095851.0,ns,36500100
"pow(1, 31)",pow_std_2opt,,,,53194543.0,ns,37202025
"pow(1, 31)",pow_std_2opt,,,,54245454.0,ns,37903950
"pow(1, 31)",pow_std_2opt,,,,55208290.0,ns,38605875
"pow(1, 31)",pow_std_2opt,,,,56451314.0,ns,39307800
"pow(1, 31)",pow_std_2opt,,,,57504529.0,ns,40009725
"pow(1, 31)",pow_std_2opt,,,,58498394.0,ns,40711650
"pow(1, 31)",pow_std_2opt,,,,59469014.0,ns,41413575
"pow(1, 31)",pow_std_2opt,,,,60469609.0,ns,42115500
"pow(1, 31)",pow_std_2opt,,,,61120980.0,ns,42817425
"pow(1, 31)",pow_std_2opt,,,,62166970.0,ns,43519350
"pow(1, 31)",pow_std_2opt,,,,63087406.0,ns,44221275
"pow(1, 31)",pow_std_2opt,,,,64017342.0,ns,44923200
"pow(1, 31)",pow_std_2opt,,,,65221891.0,ns,45625125
"pow(1, 31)",pow_std_2opt,,,,66111900.0,ns,46327050
"pow(1, 31)",pow_std_2opt,,,,67050259.0,ns,47028975
"pow(1, 31)",pow_std_2opt,,,,67942632.0,ns,47730900
"pow(1, 31)",pow_std_2opt,,,,69040341.0,ns,48432825
"pow(1, 31)",pow_std_2opt,,,,69967309.0,ns,49134750
"pow(1, 31)",pow_std_2opt,,,,71093022.0,ns,49836675
"pow(1, 31)",pow_std_2opt,,,,72036281.0,ns,50538600
"pow(1, 31)",pow_std_2opt,,,,73108561.0,ns,51240525
"pow(1, 31)",pow_std_2opt,,,,74074424.0,ns,51942450
"pow(1, 31)",pow_std_2opt,,,,75029414.0,ns,52644375
"pow(1, 31)",pow_std_2opt,,,,75998441.0,ns,53346300
"pow(1, 31)",pow_std_2opt,,,,77187493.0,ns,54048225
"pow(1, 31)",pow_std_2opt,,,,78039820.0,ns,54750150
"pow(1, 31)",pow_std_2opt,,,,79077938.0,ns,55452075
"pow(1, 31)",pow_std_2opt,,,,80065810.0,ns,56154000
"pow(1, 31)",pow_std_2opt,,,,81017705.0,ns,56855925
"pow(1, 31)",pow_std_2opt,,,,83699382.0,ns,57557850
"pow(1, 31)",pow_std_2opt,,,,77497597.0,ns,58259775
"pow(1, 31)",pow_std_2opt,,,,78381996.0,ns,58961700
"pow(1, 31)",pow_std_2opt,,,,79645408.0,ns,59663625
"pow(1, 31)",pow_std_2opt,,,,80581202.0,ns,60365550
"pow(1, 31)",pow_std_2opt,,,,80767303.0,ns,61067475
"pow(1, 31)",pow_std_2opt,,,,81739156.0,ns,61769400
"pow(1, 31)",pow_std_2opt,,,,82656956.0,ns,62471325
