group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_alt_01opt,,,,994334.0,ns,320213
"pow(2, 31)",pow_alt_01opt,,,,1980333.0,ns,640426
"pow(2, 31)",pow_alt_01opt,,,,2947066.0,ns,960639
"pow(2, 31)",pow_alt_01opt,,,,3963923.0,ns,1280852
"pow(2, 31)",pow_alt_01opt,,,,4937549.0,ns,1601065
"pow(2, 31)",pow_alt_01opt,,,,5920201.0,ns,1921278
"pow(2, 31)",pow_alt_01opt,,,,6946235.0,ns,2241491
"pow(2, 31)",pow_alt_01opt,,,,7905564.0,ns,2561704
"pow(2, 31)",pow_alt_01opt,,,,8906000.0,ns,2881917
"pow(2, 31)",pow_alt_01opt,,,,9893141.0,ns,3202130
"pow(2, 31)",pow_alt_01opt,,,,10872628.0,ns,3522343
"pow(2, 31)",pow_alt_01opt,,,,11859346.0,ns,3842556
"pow(2, 31)",pow_alt_01opt,,,,12852570.0,ns,4162769
"pow(2, 31)",pow_alt_01opt,,,,13840212.0,ns,4482982
"pow(2, 31)",pow_alt_01opt,,,,14824087.0,ns,4803195
"pow(2, 31)",pow_alt_01opt,,,,15827017.0,ns,5123408
"pow(2, 31)",pow_alt_01opt,,,,17185478.0,ns,5443621
"pow(2, 31)",pow_alt_01opt,,,,17751886.0,ns,5763834
"pow(2, 31)",pow_alt_01opt,,,,18738846.0,ns,6084047
"pow(2, 31)",pow_alt_01opt,,,,19717703.0,ns,6404260
"pow(2, 31)",pow_alt_01opt,,,,20692059.0,ns,6724473
"pow(2, 31)",pow_alt_01opt,,,,21694860.0,ns,7044686
"pow(2, 31)",pow_alt_01opt,,,,22686588.0,ns,7364899
"pow(2, 31)",pow_alt_01opt,,,,23726720.0,ns,7685112
"pow(2, 31)",pow_alt_01opt,,,,24628580.0,ns,8005325
"pow(2, 31)",pow_alt_01opt,,,,25692777.0,ns,8325538
"pow(2, 31)",pow_alt_01opt,,,,26649178.0,ns,8645751
"pow(2, 31)",pow_alt_01opt,,,,27597037.0,ns,8965964
"pow(2, 31)",pow_alt_01opt,,,,28607462.0,ns,9286177
"pow(2, 31)",pow_alt_01opt,,,,29644675.0,ns,9606390
"pow(2, 31)",pow_alt_01opt,,,,30620276.0,ns,9926603
"pow(2, 31)",pow_alt_01opt,,,,31550691.0,ns,10246816
"pow(2, 31)",pow_alt_01opt,,,,32615146.0,ns,10567029
"pow(2, 31)",pow_alt_01opt,,,,33579876.0,ns,10887242
"pow(2, 31)",pow_alt_01opt,,,,34524737.0,ns,11207455
"pow(2, 31)",pow_alt_01opt,,,,35613639.0,ns,11527668
"pow(2, 31)",pow_alt_01opt,,,,36488560.0,ns,11847881
"pow(2, 31)",pow_alt_01opt,,,,37371182.0,ns,12168094
"pow(2, 31)",pow_alt_01opt,,,,38357603.0,ns,12488307
"pow(2, 31)",pow_alt_01opt,,,,39447335.0,ns,12808520
"pow(2, 31)",pow_alt_01opt,,,,40440179.0,ns,13128733
"pow(2, 31)",pow_alt_01opt,,,,41433891.0,ns,13448946
"pow(2, 31)",pow_alt_01opt,,,,42358927.0,ns,13769159
"pow(2, 31)",pow_alt_01opt,,,,43326990.0,ns,14089372
"pow(2, 31)",pow_alt_01opt,,,,44425934.0,ns,14409585
"pow(2, 31)",pow_alt_01opt,,,,45474939.0,ns,14729798
"pow(2, 31)",pow_alt_01opt,,,,46491959.0,ns,15050011
"pow(2, 31)",pow_alt_01opt,,,,47379129.0,ns,15370224
"pow(2, 31)",pow_alt_01opt,,,,48224102.0,ns,15690437
"pow(2, 31)",pow_alt_01opt,,,,49269836.0,ns,16010650
"pow(2, 31)",pow_alt_01opt,,,,50432325.0,ns,16330863
"pow(2, 31)",pow_alt_01opt,,,,51235982.0,ns,16651076
"pow(2, 31)",pow_alt_01opt,,,,52333940.0,ns,16971289
"pow(2, 31)",pow_alt_01opt,,,,53366416.0,ns,17291502
"pow(2, 31)",pow_alt_01opt,,,,54280902.0,ns,17611715
"pow(2, 31)",pow_alt_01opt,,,,55292518.0,ns,17931928
"pow(2, 31)",pow_alt_01opt,,,,56418761.0,ns,18252141
"pow(2, 31)",pow_alt_01opt,,,,57335088.0,ns,18572354
"pow(2, 31)",pow_alt_01opt,,,,58095253.0,ns,18892567
"pow(2, 31)",pow_alt_01opt,,,,59144209.0,ns,19212780
"pow(2, 31)",pow_alt_01opt,,,,60213355.0,ns,19532993
"pow(2, 31)",pow_alt_01opt,,,,61110927.0,ns,19853206
"pow(2, 31)",pow_alt_01opt,,,,62140848.0,ns,20173419
"pow(2, 31)",pow_alt_01opt,,,,63308049.0,ns,20493632
"pow(2, 31)",pow_alt_01opt,,,,64281896.0,ns,20813845
"pow(2, 31)",pow_alt_01opt,,,,65222588.0,ns,21134058
"pow(2, 31)",pow_alt_01opt,,,,66050639.0,ns,21454271
"pow(2, 31)",pow_alt_01opt,,,,67256092.0,ns,21774484
"pow(2, 31)",pow_alt_01opt,,,,68131843.0,ns,22094697
"pow(2, 31)",pow_alt_01opt,,,,69313180.0,ns,22414910
"pow(2, 31)",pow_alt_01opt,,,,70130751.0,ns,22735123
"pow(2, 31)",pow_alt_01opt,,,,71229794.0,ns,23055336
"pow(2, 31)",pow_alt_01opt,,,,72137184.0,ns,23375549
"pow(2, 31)",pow_alt_01opt,,,,72873151.0,ns,23695762
"pow(2, 31)",pow_alt_01opt,,,,74052806.0,ns,24015975
"pow(2, 31)",pow_alt_01opt,,,,75810157.0,ns,24336188
"pow(2, 31)",pow_alt_01opt,,,,76680970.0,ns,24656401
"pow(2, 31)",pow_alt_01opt,,,,77387322.0,ns,24976614
"pow(2, 31)",pow_alt_01opt,,,,78286437.0,ns,25296827
"pow(2, 31)",pow_alt_01opt,,,,79284258.0,ns,25617040
"pow(2, 31)",pow_alt_01opt,,,,79953730.0,ns,25937253
"pow(2, 31)",pow_alt_01opt,,,,81004659.0,ns,26257466
"pow(2, 31)",pow_alt_01opt,,,,81934414.0,ns,26577679
"pow(2, 31)",pow_alt_01opt,,,,82707091.0,ns,26897892
"pow(2, 31)",pow_alt_01opt,,,,83929213.0,ns,27218105
"pow(2, 31)",pow_alt_01opt,,,,85107907.0,ns,27538318
"pow(2, 31)",pow_alt_01opt,,,,85799100.0,ns,27858531
"pow(2, 31)",pow_alt_01opt,,,,86750092.0,ns,28178744
"pow(2, 31)",pow_alt_01opt,,,,87894490.0,ns,28498957
"pow(2, 31)",pow_alt_01opt,,,,88789246.0,ns,28819170
"pow(2, 31)",pow_alt_01opt,,,,89677892.0,ns,29139383
"pow(2, 31)",pow_alt_01opt,,,,90698265.0,ns,29459596
"pow(2, 31)",pow_alt_01opt,,,,91740681.0,ns,29779809
"pow(2, 31)",pow_alt_01opt,,,,92688787.0,ns,30100022
"pow(2, 31)",pow_alt_01opt,,,,93579777.0,ns,30420235
"pow(2, 31)",pow_alt_01opt,,,,94744053.0,ns,30740448
"pow(2, 31)",pow_alt_01opt,,,,95912324.0,ns,31060661
"pow(2, 31)",pow_alt_01opt,,,,96916037.0,ns,31380874
