group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_alt_2opt_inline,,,,1004023.0,ns,830206
"pow(2, 31)",pow_alt_2opt_inline,,,,1974843.0,ns,1660412
"pow(2, 31)",pow_alt_2opt_inline,,,,2954139.0,ns,2490618
"pow(2, 31)",pow_alt_2opt_inline,,,,3950147.0,ns,3320824
"pow(2, 31)",pow_alt_2opt_inline,,,,5186747.0,ns,4151030
"pow(2, 31)",pow_alt_2opt_inline,,,,5908809.0,ns,4981236
"pow(2, 31)",pow_alt_2opt_inline,,,,6992823.0,ns,5811442
"pow(2, 31)",pow_alt_2opt_inline,,,,7894241.0,ns,6641648
"pow(2, 31)",pow_alt_2opt_inline,,,,8884107.0,ns,7471854
"pow(2, 31)",pow_alt_2opt_inline,,,,9883343.0,ns,8302060
"pow(2, 31)",pow_alt_2opt_inline,,,,10858559.0,ns,9132266
"pow(2, 31)",pow_alt_2opt_inline,,,,11862983.0,ns,9962472
"pow(2, 31)",pow_alt_2opt_inline,,,,12827292.0,ns,10792678
"pow(2, 31)",pow_alt_2opt_inline,,,,14018237.0,ns,11622884
"pow(2, 31)",pow_alt_2opt_inline,,,,14790651.0,ns,12453090
"pow(2, 31)",pow_alt_2opt_inline,,,,15798032.0,ns,13283296
"pow(2, 31)",pow_alt_2opt_inline,,,,16755306.0,ns,14113502
"pow(2, 31)",pow_alt_2opt_inline,,,,17775389.0,ns,14943708
"pow(2, 31)",pow_alt_2opt_inline,,,,18730780.0,ns,15773914
"pow(2, 31)",pow_alt_2opt_inline,,,,19719554.0,ns,16604120
"pow(2, 31)",pow_alt_2opt_inline,,,,20721962.0,ns,17434326
"pow(2, 31)",pow_alt_2opt_inline,,,,21755272.0,ns,18264532
"pow(2, 31)",pow_alt_2opt_inline,,,,22687067.0,ns,19094738
"pow(2, 31)",pow_alt_2opt_inline,,,,23692484.0,ns,19924944
"pow(2, 31)",pow_alt_2opt_inline,,,,24700673.0,ns,20755150
"pow(2, 31)",pow_alt_2opt_inline,,,,25682084.0,ns,21585356
"pow(2, 31)",pow_alt_2opt_inline,,,,26642105.0,ns,22415562
"pow(2, 31)",pow_alt_2opt_inline,,,,27616179.0,ns,23245768
"pow(2, 31)",pow_alt_2opt_inline,,,,28619441.0,ns,24075974
"pow(2, 31)",pow_alt_2opt_inline,,,,29593587.0,ns,24906180
"pow(2, 31)",pow_alt_2opt_inline,,,,30642344.0,ns,25736386
"pow(2, 31)",pow_alt_2opt_inline,,,,31583468.0,ns,26566592
"pow(2, 31)",pow_alt_2opt_inline,,,,32592000.0,ns,27396798
"pow(2, 31)",pow_alt_2opt_inline,,,,33687766.0,ns,28227004
"pow(2, 31)",pow_alt_2opt_inline,,,,34514884.0,ns,29057210
"pow(2, 31)",pow_alt_2opt_inline,,,,35498269.0,ns,29887416
"pow(2, 31)",pow_alt_2opt_inline,,,,36484457.0,ns,30717622
"pow(2, 31)",pow_alt_2opt_inline,,,,37472691.0,ns,31547828
"pow(2, 31)",pow_alt_2opt_inline,,,,38466864.0,ns,32378034
"pow(2, 31)",pow_alt_2opt_inline,,,,39443797.0,ns,33208240
"pow(2, 31)",pow_alt_2opt_inline,,,,40462516.0,ns,34038446
"pow(2, 31)",pow_alt_2opt_inline,,,,41400244.0,ns,34868652
"pow(2, 31)",pow_alt_2opt_inline,,,,42486763.0,ns,35698858
"pow(2, 31)",pow_alt_2opt_inline,,,,43357334.0,ns,36529064
"pow(2, 31)",pow_alt_2opt_inline,,,,44391823.0,ns,37359270
"pow(2, 31)",pow_alt_2opt_inline,,,,45463313.0,ns,38189476
"pow(2, 31)",pow_alt_2opt_inline,,,,46362970.0,ns,39019682
"pow(2, 31)",pow_alt_2opt_inline,,,,47290749.0,ns,39849888
"pow(2, 31)",pow_alt_2opt_inline,,,,48370134.0,ns,40680094
"pow(2, 31)",pow_alt_2opt_inline,,,,49306720.0,ns,41510300
"pow(2, 31)",pow_alt_2opt_inline,,,,50368499.0,ns,42340506
"pow(2, 31)",pow_alt_2opt_inline,,,,51344241.0,ns,43170712
"pow(2, 31)",pow_alt_2opt_inline,,,,52290423.0,ns,44000918
"pow(2, 31)",pow_alt_2opt_inline,,,,53279780.0,ns,44831124
"pow(2, 31)",pow_alt_2opt_inline,,,,54317895.0,ns,45661330
"pow(2, 31)",pow_alt_2opt_inline,,,,55219725.0,ns,46491536
"pow(2, 31)",pow_alt_2opt_inline,,,,56219841.0,ns,47321742
"pow(2, 31)",pow_alt_2opt_inline,,,,57204088.0,ns,48151948
"pow(2, 31)",pow_alt_2opt_inline,,,,58296717.0,ns,48982154
"pow(2, 31)",pow_alt_2opt_inline,,,,59232148.0,ns,49812360
"pow(2, 31)",pow_alt_2opt_inline,,,,60204413.0,ns,50642566
"pow(2, 31)",pow_alt_2opt_inline,,,,61137622.0,ns,51472772
"pow(2, 31)",pow_alt_2opt_inline,,,,62181640.0,ns,52302978
"pow(2, 31)",pow_alt_2opt_inline,,,,63105461.0,ns,53133184
"pow(2, 31)",pow_alt_2opt_inline,,,,64108711.0,ns,53963390
"pow(2, 31)",pow_alt_2opt_inline,,,,65081697.0,ns,54793596
"pow(2, 31)",pow_alt_2opt_inline,,,,66072223.0,ns,55623802
"pow(2, 31)",pow_alt_2opt_inline,,,,67206653.0,ns,56454008
"pow(2, 31)",pow_alt_2opt_inline,,,,68045052.0,ns,57284214
"pow(2, 31)",pow_alt_2opt_inline,,,,69250494.0,ns,58114420
"pow(2, 31)",pow_alt_2opt_inline,,,,70158957.0,ns,58944626
"pow(2, 31)",pow_alt_2opt_inline,,,,71005123.0,ns,59774832
"pow(2, 31)",pow_alt_2opt_inline,,,,72014696.0,ns,60605038
"pow(2, 31)",pow_alt_2opt_inline,,,,72988692.0,ns,61435244
"pow(2, 31)",pow_alt_2opt_inline,,,,73930608.0,ns,62265450
"pow(2, 31)",pow_alt_2opt_inline,,,,74997770.0,ns,63095656
"pow(2, 31)",pow_alt_2opt_inline,,,,75910611.0,ns,63925862
"pow(2, 31)",pow_alt_2opt_inline,,,,76979203.0,ns,64756068
"pow(2, 31)",pow_alt_2opt_inline,,,,77869533.0,ns,65586274
"pow(2, 31)",pow_alt_2opt_inline,,,,78902459.0,ns,66416480
"pow(2, 31)",pow_alt_2opt_inline,,,,79986956.0,ns,67246686
"pow(2, 31)",pow_alt_2opt_inline,,,,80928098.0,ns,68076892
"pow(2, 31)",pow_alt_2opt_inline,,,,81863562.0,ns,68907098
"pow(2, 31)",pow_alt_2opt_inline,,,,82859940.0,ns,69737304
"pow(2, 31)",pow_alt_2opt_inline,,,,83803109.0,ns,70567510
"pow(2, 31)",pow_alt_2opt_inline,,,,84787664.0,ns,71397716
"pow(2, 31)",pow_alt_2opt_inline,,,,85813026.0,ns,72227922
"pow(2, 31)",pow_alt_2opt_inline,,,,86800227.0,ns,73058128
"pow(2, 31)",pow_alt_2opt_inline,,,,87846891.0,ns,73888334
"pow(2, 31)",pow_alt_2opt_inline,,,,88926286.0,ns,74718540
"pow(2, 31)",pow_alt_2opt_inline,,,,89730481.0,ns,75548746
"pow(2, 31)",pow_alt_2opt_inline,,,,91088252.0,ns,76378952
"pow(2, 31)",pow_alt_2opt_inline,,,,92021981.0,ns,77209158
"pow(2, 31)",pow_alt_2opt_inline,,,,92799647.0,ns,78039364
"pow(2, 31)",pow_alt_2opt_inline,,,,93715505.0,ns,78869570
"pow(2, 31)",pow_alt_2opt_inline,,,,94896229.0,ns,79699776
"pow(2, 31)",pow_alt_2opt_inline,,,,95892318.0,ns,80529982
"pow(2, 31)",pow_alt_2opt_inline,,,,96848520.0,ns,81360188
"pow(2, 31)",pow_alt_2opt_inline,,,,98237779.0,ns,82190394
"pow(2, 31)",pow_alt_2opt_inline,,,,106630289.0,ns,83020600
