group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_std,,,,991630.0,ns,320479
"pow(2, 31)",pow_std,,,,1945738.0,ns,640958
"pow(2, 31)",pow_std,,,,2939853.0,ns,961437
"pow(2, 31)",pow_std,,,,3869314.0,ns,1281916
"pow(2, 31)",pow_std,,,,4880661.0,ns,1602395
"pow(2, 31)",pow_std,,,,5881740.0,ns,1922874
"pow(2, 31)",pow_std,,,,6860765.0,ns,2243353
"pow(2, 31)",pow_std,,,,7849819.0,ns,2563832
"pow(2, 31)",pow_std,,,,8784432.0,ns,2884311
"pow(2, 31)",pow_std,,,,9806007.0,ns,3204790
"pow(2, 31)",pow_std,,,,10777380.0,ns,3525269
"pow(2, 31)",pow_std,,,,12195241.0,ns,3845748
"pow(2, 31)",pow_std,,,,12849306.0,ns,4166227
"pow(2, 31)",pow_std,,,,13683359.0,ns,4486706
"pow(2, 31)",pow_std,,,,14735590.0,ns,4807185
"pow(2, 31)",pow_std,,,,15849372.0,ns,5127664
"pow(2, 31)",pow_std,,,,16804492.0,ns,5448143
"pow(2, 31)",pow_std,,,,17854141.0,ns,5768622
"pow(2, 31)",pow_std,,,,18980595.0,ns,6089101
"pow(2, 31)",pow_std,,,,20070881.0,ns,6409580
"pow(2, 31)",pow_std,,,,20636316.0,ns,6730059
"pow(2, 31)",pow_std,,,,21751659.0,ns,7050538
"pow(2, 31)",pow_std,,,,23216761.0,ns,7371017
"pow(2, 31)",pow_std,,,,23666379.0,ns,7691496
"pow(2, 31)",pow_std,,,,24861023.0,ns,8011975
"pow(2, 31)",pow_std,,,,25787006.0,ns,8332454
"pow(2, 31)",pow_std,,,,26337195.0,ns,8652933
"pow(2, 31)",pow_std,,,,27629190.0,ns,8973412
"pow(2, 31)",pow_std,,,,28662637.0,ns,9293891
"pow(2, 31)",pow_std,,,,29904521.0,ns,9614370
"pow(2, 31)",pow_std,,,,30412377.0,ns,9934849
"pow(2, 31)",pow_std,,,,31365736.0,ns,10255328
"pow(2, 31)",pow_std,,,,32795008.0,ns,10575807
"pow(2, 31)",pow_std,,,,33491403.0,ns,10896286
"pow(2, 31)",pow_std,,,,34532064.0,ns,11216765
"pow(2, 31)",pow_std,,,,35440848.0,ns,11537244
"pow(2, 31)",pow_std,,,,36329944.0,ns,11857723
"pow(2, 31)",pow_std,,,,37257393.0,ns,12178202
"pow(2, 31)",pow_std,,,,38662592.0,ns,12498681
"pow(2, 31)",pow_std,,,,39251212.0,ns,12819160
"pow(2, 31)",pow_std,,,,40133495.0,ns,13139639
"pow(2, 31)",pow_std,,,,41226745.0,ns,13460118
"pow(2, 31)",pow_std,,,,42217985.0,ns,13780597
"pow(2, 31)",pow_std,,,,42999678.0,ns,14101076
"pow(2, 31)",pow_std,,,,44244365.0,ns,14421555
"pow(2, 31)",pow_std,,,,45064531.0,ns,14742034
"pow(2, 31)",pow_std,,,,46688302.0,ns,15062513
"pow(2, 31)",pow_std,,,,47083829.0,ns,15382992
"pow(2, 31)",pow_std,,,,48381064.0,ns,15703471
"pow(2, 31)",pow_std,,,,54424318.0,ns,16023950
"pow(2, 31)",pow_std,,,,50310822.0,ns,16344429
"pow(2, 31)",pow_std,,,,51267116.0,ns,16664908
"pow(2, 31)",pow_std,,,,52562828.0,ns,16985387
"pow(2, 31)",pow_std,,,,53131371.0,ns,17305866
"pow(2, 31)",pow_std,,,,53899667.0,ns,17626345
"pow(2, 31)",pow_std,,,,55846350.0,ns,17946824
"pow(2, 31)",pow_std,,,,55869702.0,ns,18267303
"pow(2, 31)",pow_std,,,,57140308.0,ns,18587782
"pow(2, 31)",pow_std,,,,57654278.0,ns,18908261
"pow(2, 31)",pow_std,,,,59223716.0,ns,19228740
"pow(2, 31)",pow_std,,,,60459364.0,ns,19549219
"pow(2, 31)",pow_std,,,,61397705.0,ns,19869698
"pow(2, 31)",pow_std,,,,63697541.0,ns,20190177
"pow(2, 31)",pow_std,,,,63214810.0,ns,20510656
"pow(2, 31)",pow_std,,,,63830882.0,ns,20831135
"pow(2, 31)",pow_std,,,,65057275.0,ns,21151614
"pow(2, 31)",pow_std,,,,67119362.0,ns,21472093
"pow(2, 31)",pow_std,,,,67253614.0,ns,21792572
"pow(2, 31)",pow_std,,,,67881018.0,ns,22113051
"pow(2, 31)",pow_std,,,,69222857.0,ns,22433530
"pow(2, 31)",pow_std,,,,70519311.0,ns,22754009
"pow(2, 31)",pow_std,,,,70767971.0,ns,23074488
"pow(2, 31)",pow_std,,,,71864748.0,ns,23394967
"pow(2, 31)",pow_std,,,,72956426.0,ns,23715446
"pow(2, 31)",pow_std,,,,73713694.0,ns,24035925
"pow(2, 31)",pow_std,,,,75518217.0,ns,24356404
"pow(2, 31)",pow_std,,,,76486551.0,ns,24676883
"pow(2, 31)",pow_std,,,,77280569.0,ns,24997362
"pow(2, 31)",pow_std,,,,78413966.0,ns,25317841
"pow(2, 31)",pow_std,,,,79860071.0,ns,25638320
"pow(2, 31)",pow_std,,,,81038955.0,ns,25958799
"pow(2, 31)",pow_std,,,,82227525.0,ns,26279278
"pow(2, 31)",pow_std,,,,82781127.0,ns,26599757
"pow(2, 31)",pow_std,,,,83507859.0,ns,26920236
"pow(2, 31)",pow_std,,,,85554158.0,ns,27240715
"pow(2, 31)",pow_std,,,,85733083.0,ns,27561194
"pow(2, 31)",pow_std,,,,86200184.0,ns,27881673
"pow(2, 31)",pow_std,,,,86873484.0,ns,28202152
"pow(2, 31)",pow_std,,,,88301126.0,ns,28522631
"pow(2, 31)",pow_std,,,,89320938.0,ns,28843110
"pow(2, 31)",pow_std,,,,90654322.0,ns,29163589
"pow(2, 31)",pow_std,,,,92644404.0,ns,29484068
"pow(2, 31)",pow_std,,,,92635668.0,ns,29804547
"pow(2, 31)",pow_std,,,,94275179.0,ns,30125026
"pow(2, 31)",pow_std,,,,94868256.0,ns,30445505
"pow(2, 31)",pow_std,,,,96183185.0,ns,30765984
"pow(2, 31)",pow_std,,,,96338588.0,ns,31086463
"pow(2, 31)",pow_std,,,,96931957.0,ns,31406942
"pow(2, 31)",pow_std,,,,98699720.0,ns,31727421
"pow(2, 31)",pow_std,,,,98813235.0,ns,32047900
