group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,10,,,978604.0,ns,488362
"pow(3, 0..18)",pow_alt_012opt,10,,,1958671.0,ns,976724
"pow(3, 0..18)",pow_alt_012opt,10,,,2923209.0,ns,1465086
"pow(3, 0..18)",pow_alt_012opt,10,,,3920998.0,ns,1953448
"pow(3, 0..18)",pow_alt_012opt,10,,,4925432.0,ns,2441810
"pow(3, 0..18)",pow_alt_012opt,10,,,5873568.0,ns,2930172
"pow(3, 0..18)",pow_alt_012opt,10,,,6916242.0,ns,3418534
"pow(3, 0..18)",pow_alt_012opt,10,,,7904214.0,ns,3906896
"pow(3, 0..18)",pow_alt_012opt,10,,,8880183.0,ns,4395258
"pow(3, 0..18)",pow_alt_012opt,10,,,9836816.0,ns,4883620
"pow(3, 0..18)",pow_alt_012opt,10,,,10827322.0,ns,5371982
"pow(3, 0..18)",pow_alt_012opt,10,,,11758347.0,ns,5860344
"pow(3, 0..18)",pow_alt_012opt,10,,,12764283.0,ns,6348706
"pow(3, 0..18)",pow_alt_012opt,10,,,13772852.0,ns,6837068
"pow(3, 0..18)",pow_alt_012opt,10,,,14724225.0,ns,7325430
"pow(3, 0..18)",pow_alt_012opt,10,,,15712239.0,ns,7813792
"pow(3, 0..18)",pow_alt_012opt,10,,,16651266.0,ns,8302154
"pow(3, 0..18)",pow_alt_012opt,10,,,17692679.0,ns,8790516
"pow(3, 0..18)",pow_alt_012opt,10,,,18653439.0,ns,9278878
"pow(3, 0..18)",pow_alt_012opt,10,,,19657031.0,ns,9767240
"pow(3, 0..18)",pow_alt_012opt,10,,,20678626.0,ns,10255602
"pow(3, 0..18)",pow_alt_012opt,10,,,21708296.0,ns,10743964
"pow(3, 0..18)",pow_alt_012opt,10,,,22601739.0,ns,11232326
"pow(3, 0..18)",pow_alt_012opt,10,,,23586945.0,ns,11720688
"pow(3, 0..18)",pow_alt_012opt,10,,,24536344.0,ns,12209050
"pow(3, 0..18)",pow_alt_012opt,10,,,25573469.0,ns,12697412
"pow(3, 0..18)",pow_alt_012opt,10,,,26549648.0,ns,13185774
"pow(3, 0..18)",pow_alt_012opt,10,,,27523774.0,ns,13674136
"pow(3, 0..18)",pow_alt_012opt,10,,,28492199.0,ns,14162498
"pow(3, 0..18)",pow_alt_012opt,10,,,29421710.0,ns,14650860
"pow(3, 0..18)",pow_alt_012opt,10,,,30531211.0,ns,15139222
"pow(3, 0..18)",pow_alt_012opt,10,,,31583264.0,ns,15627584
"pow(3, 0..18)",pow_alt_012opt,10,,,32409672.0,ns,16115946
"pow(3, 0..18)",pow_alt_012opt,10,,,33376462.0,ns,16604308
"pow(3, 0..18)",pow_alt_012opt,10,,,34353092.0,ns,17092670
"pow(3, 0..18)",pow_alt_012opt,10,,,35337318.0,ns,17581032
"pow(3, 0..18)",pow_alt_012opt,10,,,36304440.0,ns,18069394
"pow(3, 0..18)",pow_alt_012opt,10,,,37261243.0,ns,18557756
"pow(3, 0..18)",pow_alt_012opt,10,,,38303988.0,ns,19046118
"pow(3, 0..18)",pow_alt_012opt,10,,,39309052.0,ns,19534480
"pow(3, 0..18)",pow_alt_012opt,10,,,41506262.0,ns,20022842
"pow(3, 0..18)",pow_alt_012opt,10,,,41260008.0,ns,20511204
"pow(3, 0..18)",pow_alt_012opt,10,,,42186343.0,ns,20999566
"pow(3, 0..18)",pow_alt_012opt,10,,,43129751.0,ns,21487928
"pow(3, 0..18)",pow_alt_012opt,10,,,44148512.0,ns,21976290
"pow(3, 0..18)",pow_alt_012opt,10,,,45286114.0,ns,22464652
"pow(3, 0..18)",pow_alt_012opt,10,,,46307559.0,ns,22953014
"pow(3, 0..18)",pow_alt_012opt,10,,,47124057.0,ns,23441376
"pow(3, 0..18)",pow_alt_012opt,10,,,48073536.0,ns,23929738
"pow(3, 0..18)",pow_alt_012opt,10,,,49186143.0,ns,24418100
"pow(3, 0..18)",pow_alt_012opt,10,,,50077092.0,ns,24906462
"pow(3, 0..18)",pow_alt_012opt,10,,,51130086.0,ns,25394824
"pow(3, 0..18)",pow_alt_012opt,10,,,52050651.0,ns,25883186
"pow(3, 0..18)",pow_alt_012opt,10,,,53036810.0,ns,26371548
"pow(3, 0..18)",pow_alt_012opt,10,,,54123649.0,ns,26859910
