group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,15,,,995045.0,ns,485527
"pow(3, 0..18)",pow_alt_012opt,15,,,1992153.0,ns,971054
"pow(3, 0..18)",pow_alt_012opt,15,,,2986406.0,ns,1456581
"pow(3, 0..18)",pow_alt_012opt,15,,,4017309.0,ns,1942108
"pow(3, 0..18)",pow_alt_012opt,15,,,5047270.0,ns,2427635
"pow(3, 0..18)",pow_alt_012opt,15,,,5990357.0,ns,2913162
"pow(3, 0..18)",pow_alt_012opt,15,,,7020938.0,ns,3398689
"pow(3, 0..18)",pow_alt_012opt,15,,,7983834.0,ns,3884216
"pow(3, 0..18)",pow_alt_012opt,15,,,9031958.0,ns,4369743
"pow(3, 0..18)",pow_alt_012opt,15,,,10015723.0,ns,4855270
"pow(3, 0..18)",pow_alt_012opt,15,,,11047727.0,ns,5340797
"pow(3, 0..18)",pow_alt_012opt,15,,,11995783.0,ns,5826324
"pow(3, 0..18)",pow_alt_012opt,15,,,13026475.0,ns,6311851
"pow(3, 0..18)",pow_alt_012opt,15,,,14043212.0,ns,6797378
"pow(3, 0..18)",pow_alt_012opt,15,,,15059465.0,ns,7282905
"pow(3, 0..18)",pow_alt_012opt,15,,,16088814.0,ns,7768432
"pow(3, 0..18)",pow_alt_012opt,15,,,17067519.0,ns,8253959
"pow(3, 0..18)",pow_alt_012opt,15,,,18025405.0,ns,8739486
"pow(3, 0..18)",pow_alt_012opt,15,,,19127131.0,ns,9225013
"pow(3, 0..18)",pow_alt_012opt,15,,,20100304.0,ns,9710540
"pow(3, 0..18)",pow_alt_012opt,15,,,21030317.0,ns,10196067
"pow(3, 0..18)",pow_alt_012opt,15,,,22042373.0,ns,10681594
"pow(3, 0..18)",pow_alt_012opt,15,,,23090589.0,ns,11167121
"pow(3, 0..18)",pow_alt_012opt,15,,,24143513.0,ns,11652648
"pow(3, 0..18)",pow_alt_012opt,15,,,25121033.0,ns,12138175
"pow(3, 0..18)",pow_alt_012opt,15,,,26073299.0,ns,12623702
"pow(3, 0..18)",pow_alt_012opt,15,,,27157001.0,ns,13109229
"pow(3, 0..18)",pow_alt_012opt,15,,,28142387.0,ns,13594756
"pow(3, 0..18)",pow_alt_012opt,15,,,29104851.0,ns,14080283
"pow(3, 0..18)",pow_alt_012opt,15,,,30141064.0,ns,14565810
"pow(3, 0..18)",pow_alt_012opt,15,,,31074511.0,ns,15051337
"pow(3, 0..18)",pow_alt_012opt,15,,,32163625.0,ns,15536864
"pow(3, 0..18)",pow_alt_012opt,15,,,33166573.0,ns,16022391
"pow(3, 0..18)",pow_alt_012opt,15,,,34206665.0,ns,16507918
"pow(3, 0..18)",pow_alt_012opt,15,,,35178615.0,ns,16993445
"pow(3, 0..18)",pow_alt_012opt,15,,,36090262.0,ns,17478972
"pow(3, 0..18)",pow_alt_012opt,15,,,37047769.0,ns,17964499
"pow(3, 0..18)",pow_alt_012opt,15,,,38079110.0,ns,18450026
