group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,10,,,975899.0,ns,442454
"pow(3, 0..18)",pow_std,10,,,1917333.0,ns,884908
"pow(3, 0..18)",pow_std,10,,,2903712.0,ns,1327362
"pow(3, 0..18)",pow_std,10,,,4041756.0,ns,1769816
"pow(3, 0..18)",pow_std,10,,,4946481.0,ns,2212270
"pow(3, 0..18)",pow_std,10,,,5778258.0,ns,2654724
"pow(3, 0..18)",pow_std,10,,,6724972.0,ns,3097178
"pow(3, 0..18)",pow_std,10,,,7685211.0,ns,3539632
"pow(3, 0..18)",pow_std,10,,,8839316.0,ns,3982086
"pow(3, 0..18)",pow_std,10,,,9850762.0,ns,4424540
"pow(3, 0..18)",pow_std,10,,,10518069.0,ns,4866994
"pow(3, 0..18)",pow_std,10,,,11741396.0,ns,5309448
"pow(3, 0..18)",pow_std,10,,,12586457.0,ns,5751902
"pow(3, 0..18)",pow_std,10,,,13975855.0,ns,6194356
"pow(3, 0..18)",pow_std,10,,,14987902.0,ns,6636810
"pow(3, 0..18)",pow_std,10,,,15747844.0,ns,7079264
"pow(3, 0..18)",pow_std,10,,,16890488.0,ns,7521718
"pow(3, 0..18)",pow_std,10,,,18205756.0,ns,7964172
"pow(3, 0..18)",pow_std,10,,,19018297.0,ns,8406626
"pow(3, 0..18)",pow_std,10,,,20192521.0,ns,8849080
"pow(3, 0..18)",pow_std,10,,,21023445.0,ns,9291534
"pow(3, 0..18)",pow_std,10,,,21531803.0,ns,9733988
"pow(3, 0..18)",pow_std,10,,,22945788.0,ns,10176442
"pow(3, 0..18)",pow_std,10,,,23831266.0,ns,10618896
"pow(3, 0..18)",pow_std,10,,,24660008.0,ns,11061350
"pow(3, 0..18)",pow_std,10,,,25402479.0,ns,11503804
"pow(3, 0..18)",pow_std,10,,,26748984.0,ns,11946258
"pow(3, 0..18)",pow_std,10,,,27884314.0,ns,12388712
"pow(3, 0..18)",pow_std,10,,,28496788.0,ns,12831166
"pow(3, 0..18)",pow_std,10,,,29930971.0,ns,13273620
"pow(3, 0..18)",pow_std,10,,,30128222.0,ns,13716074
"pow(3, 0..18)",pow_std,10,,,31957819.0,ns,14158528
"pow(3, 0..18)",pow_std,10,,,32823180.0,ns,14600982
"pow(3, 0..18)",pow_std,10,,,33178431.0,ns,15043436
"pow(3, 0..18)",pow_std,10,,,34487607.0,ns,15485890
"pow(3, 0..18)",pow_std,10,,,35485026.0,ns,15928344
"pow(3, 0..18)",pow_std,10,,,36778372.0,ns,16370798
"pow(3, 0..18)",pow_std,10,,,37184119.0,ns,16813252
"pow(3, 0..18)",pow_std,10,,,38130811.0,ns,17255706
"pow(3, 0..18)",pow_std,10,,,39105117.0,ns,17698160
"pow(3, 0..18)",pow_std,10,,,39940904.0,ns,18140614
"pow(3, 0..18)",pow_std,10,,,41493127.0,ns,18583068
"pow(3, 0..18)",pow_std,10,,,42539418.0,ns,19025522
"pow(3, 0..18)",pow_std,10,,,44346556.0,ns,19467976
"pow(3, 0..18)",pow_std,10,,,44306268.0,ns,19910430
"pow(3, 0..18)",pow_std,10,,,45533189.0,ns,20352884
"pow(3, 0..18)",pow_std,10,,,46244550.0,ns,20795338
"pow(3, 0..18)",pow_std,10,,,47033859.0,ns,21237792
"pow(3, 0..18)",pow_std,10,,,48475364.0,ns,21680246
"pow(3, 0..18)",pow_std,10,,,49504204.0,ns,22122700
"pow(3, 0..18)",pow_std,10,,,50870206.0,ns,22565154
"pow(3, 0..18)",pow_std,10,,,51038824.0,ns,23007608
"pow(3, 0..18)",pow_std,10,,,52435598.0,ns,23450062
"pow(3, 0..18)",pow_std,10,,,53318871.0,ns,23892516
"pow(3, 0..18)",pow_std,10,,,53643643.0,ns,24334970
"pow(3, 0..18)",pow_std,10,,,55367343.0,ns,24777424
"pow(3, 0..18)",pow_std,10,,,55525198.0,ns,25219878
"pow(3, 0..18)",pow_std,10,,,57190909.0,ns,25662332
"pow(3, 0..18)",pow_std,10,,,58076466.0,ns,26104786
"pow(3, 0..18)",pow_std,10,,,59685369.0,ns,26547240
"pow(3, 0..18)",pow_std,10,,,60009187.0,ns,26989694
"pow(3, 0..18)",pow_std,10,,,60331726.0,ns,27432148
"pow(3, 0..18)",pow_std,10,,,63105664.0,ns,27874602
"pow(3, 0..18)",pow_std,10,,,62978042.0,ns,28317056
"pow(3, 0..18)",pow_std,10,,,64224473.0,ns,28759510
"pow(3, 0..18)",pow_std,10,,,65485917.0,ns,29201964
"pow(3, 0..18)",pow_std,10,,,65963930.0,ns,29644418
"pow(3, 0..18)",pow_std,10,,,66296485.0,ns,30086872
"pow(3, 0..18)",pow_std,10,,,66539192.0,ns,30529326
"pow(3, 0..18)",pow_std,10,,,67994356.0,ns,30971780
"pow(3, 0..18)",pow_std,10,,,69761594.0,ns,31414234
"pow(3, 0..18)",pow_std,10,,,71351783.0,ns,31856688
"pow(3, 0..18)",pow_std,10,,,70689222.0,ns,32299142
