group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,17,,,1005164.0,ns,346694
"pow(3, 0..18)",pow_std,17,,,1919658.0,ns,693388
"pow(3, 0..18)",pow_std,17,,,2979002.0,ns,1040082
"pow(3, 0..18)",pow_std,17,,,3926839.0,ns,1386776
"pow(3, 0..18)",pow_std,17,,,4958724.0,ns,1733470
"pow(3, 0..18)",pow_std,17,,,5947437.0,ns,2080164
"pow(3, 0..18)",pow_std,17,,,6930428.0,ns,2426858
"pow(3, 0..18)",pow_std,17,,,7888415.0,ns,2773552
"pow(3, 0..18)",pow_std,17,,,8870353.0,ns,3120246
"pow(3, 0..18)",pow_std,17,,,9862554.0,ns,3466940
"pow(3, 0..18)",pow_std,17,,,10938931.0,ns,3813634
"pow(3, 0..18)",pow_std,17,,,11912235.0,ns,4160328
"pow(3, 0..18)",pow_std,17,,,12891371.0,ns,4507022
"pow(3, 0..18)",pow_std,17,,,13876527.0,ns,4853716
"pow(3, 0..18)",pow_std,17,,,14828149.0,ns,5200410
"pow(3, 0..18)",pow_std,17,,,15869121.0,ns,5547104
"pow(3, 0..18)",pow_std,17,,,16909732.0,ns,5893798
"pow(3, 0..18)",pow_std,17,,,17809007.0,ns,6240492
"pow(3, 0..18)",pow_std,17,,,18755299.0,ns,6587186
"pow(3, 0..18)",pow_std,17,,,19779359.0,ns,6933880
"pow(3, 0..18)",pow_std,17,,,20783590.0,ns,7280574
"pow(3, 0..18)",pow_std,17,,,21870699.0,ns,7627268
"pow(3, 0..18)",pow_std,17,,,22823966.0,ns,7973962
"pow(3, 0..18)",pow_std,17,,,23802428.0,ns,8320656
"pow(3, 0..18)",pow_std,17,,,24877857.0,ns,8667350
"pow(3, 0..18)",pow_std,17,,,25928615.0,ns,9014044
"pow(3, 0..18)",pow_std,17,,,27088562.0,ns,9360738
"pow(3, 0..18)",pow_std,17,,,27953911.0,ns,9707432
"pow(3, 0..18)",pow_std,17,,,28938026.0,ns,10054126
"pow(3, 0..18)",pow_std,17,,,29835787.0,ns,10400820
"pow(3, 0..18)",pow_std,17,,,31012786.0,ns,10747514
"pow(3, 0..18)",pow_std,17,,,32002269.0,ns,11094208
"pow(3, 0..18)",pow_std,17,,,32868231.0,ns,11440902
"pow(3, 0..18)",pow_std,17,,,34024911.0,ns,11787596
"pow(3, 0..18)",pow_std,17,,,34815290.0,ns,12134290
"pow(3, 0..18)",pow_std,17,,,35920112.0,ns,12480984
"pow(3, 0..18)",pow_std,17,,,36889166.0,ns,12827678
"pow(3, 0..18)",pow_std,17,,,37781619.0,ns,13174372
"pow(3, 0..18)",pow_std,17,,,38853780.0,ns,13521066
"pow(3, 0..18)",pow_std,17,,,39835609.0,ns,13867760
"pow(3, 0..18)",pow_std,17,,,40900806.0,ns,14214454
"pow(3, 0..18)",pow_std,17,,,41920299.0,ns,14561148
"pow(3, 0..18)",pow_std,17,,,42902918.0,ns,14907842
"pow(3, 0..18)",pow_std,17,,,43780122.0,ns,15254536
"pow(3, 0..18)",pow_std,17,,,44723209.0,ns,15601230
"pow(3, 0..18)",pow_std,17,,,45774109.0,ns,15947924
"pow(3, 0..18)",pow_std,17,,,46741832.0,ns,16294618
"pow(3, 0..18)",pow_std,17,,,47699617.0,ns,16641312
"pow(3, 0..18)",pow_std,17,,,48662823.0,ns,16988006
"pow(3, 0..18)",pow_std,17,,,49717157.0,ns,17334700
"pow(3, 0..18)",pow_std,17,,,50624128.0,ns,17681394
"pow(3, 0..18)",pow_std,17,,,51567293.0,ns,18028088
"pow(3, 0..18)",pow_std,17,,,52673880.0,ns,18374782
"pow(3, 0..18)",pow_std,17,,,53515125.0,ns,18721476
"pow(3, 0..18)",pow_std,17,,,54655885.0,ns,19068170
