group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 18)",pow_alt_inline,,,,991590.0,ns,382575
"pow(3, 18)",pow_alt_inline,,,,1980493.0,ns,765150
"pow(3, 18)",pow_alt_inline,,,,2954378.0,ns,1147725
"pow(3, 18)",pow_alt_inline,,,,3947852.0,ns,1530300
"pow(3, 18)",pow_alt_inline,,,,4946554.0,ns,1912875
"pow(3, 18)",pow_alt_inline,,,,5940286.0,ns,2295450
"pow(3, 18)",pow_alt_inline,,,,6908703.0,ns,2678025
"pow(3, 18)",pow_alt_inline,,,,7949915.0,ns,3060600
"pow(3, 18)",pow_alt_inline,,,,8916055.0,ns,3443175
"pow(3, 18)",pow_alt_inline,,,,9906603.0,ns,3825750
"pow(3, 18)",pow_alt_inline,,,,10862967.0,ns,4208325
"pow(3, 18)",pow_alt_inline,,,,11896605.0,ns,4590900
"pow(3, 18)",pow_alt_inline,,,,12877333.0,ns,4973475
"pow(3, 18)",pow_alt_inline,,,,13859044.0,ns,5356050
"pow(3, 18)",pow_alt_inline,,,,14814975.0,ns,5738625
"pow(3, 18)",pow_alt_inline,,,,15830960.0,ns,6121200
"pow(3, 18)",pow_alt_inline,,,,16788847.0,ns,6503775
"pow(3, 18)",pow_alt_inline,,,,17794771.0,ns,6886350
"pow(3, 18)",pow_alt_inline,,,,18736848.0,ns,7268925
"pow(3, 18)",pow_alt_inline,,,,19768181.0,ns,7651500
"pow(3, 18)",pow_alt_inline,,,,20824934.0,ns,8034075
"pow(3, 18)",pow_alt_inline,,,,21769004.0,ns,8416650
"pow(3, 18)",pow_alt_inline,,,,22750534.0,ns,8799225
"pow(3, 18)",pow_alt_inline,,,,23671680.0,ns,9181800
"pow(3, 18)",pow_alt_inline,,,,24741907.0,ns,9564375
"pow(3, 18)",pow_alt_inline,,,,25651752.0,ns,9946950
"pow(3, 18)",pow_alt_inline,,,,26739803.0,ns,10329525
"pow(3, 18)",pow_alt_inline,,,,27681549.0,ns,10712100
"pow(3, 18)",pow_alt_inline,,,,28660654.0,ns,11094675
"pow(3, 18)",pow_alt_inline,,,,29702558.0,ns,11477250
"pow(3, 18)",pow_alt_inline,,,,30671464.0,ns,11859825
"pow(3, 18)",pow_alt_inline,,,,31615583.0,ns,12242400
"pow(3, 18)",pow_alt_inline,,,,32619055.0,ns,12624975
"pow(3, 18)",pow_alt_inline,,,,33601397.0,ns,13007550
"pow(3, 18)",pow_alt_inline,,,,34590861.0,ns,13390125
"pow(3, 18)",pow_alt_inline,,,,35544550.0,ns,13772700
"pow(3, 18)",pow_alt_inline,,,,36571024.0,ns,14155275
"pow(3, 18)",pow_alt_inline,,,,37508892.0,ns,14537850
"pow(3, 18)",pow_alt_inline,,,,38549112.0,ns,14920425
"pow(3, 18)",pow_alt_inline,,,,39515204.0,ns,15303000
"pow(3, 18)",pow_alt_inline,,,,40550275.0,ns,15685575
"pow(3, 18)",pow_alt_inline,,,,41496959.0,ns,16068150
"pow(3, 18)",pow_alt_inline,,,,42498027.0,ns,16450725
"pow(3, 18)",pow_alt_inline,,,,43464538.0,ns,16833300
"pow(3, 18)",pow_alt_inline,,,,44428915.0,ns,17215875
"pow(3, 18)",pow_alt_inline,,,,45414765.0,ns,17598450
"pow(3, 18)",pow_alt_inline,,,,46418125.0,ns,17981025
"pow(3, 18)",pow_alt_inline,,,,47429201.0,ns,18363600
"pow(3, 18)",pow_alt_inline,,,,48498427.0,ns,18746175
"pow(3, 18)",pow_alt_inline,,,,49509673.0,ns,19128750
"pow(3, 18)",pow_alt_inline,,,,50386015.0,ns,19511325
"pow(3, 18)",pow_alt_inline,,,,51352266.0,ns,19893900
"pow(3, 18)",pow_alt_inline,,,,52418605.0,ns,20276475
"pow(3, 18)",pow_alt_inline,,,,53405256.0,ns,20659050
"pow(3, 18)",pow_alt_inline,,,,54367028.0,ns,21041625
"pow(3, 18)",pow_alt_inline,,,,55407420.0,ns,21424200
"pow(3, 18)",pow_alt_inline,,,,56341460.0,ns,21806775
"pow(3, 18)",pow_alt_inline,,,,57283997.0,ns,22189350
"pow(3, 18)",pow_alt_inline,,,,58262832.0,ns,22571925
"pow(3, 18)",pow_alt_inline,,,,59586517.0,ns,22954500
"pow(3, 18)",pow_alt_inline,,,,60264695.0,ns,23337075
"pow(3, 18)",pow_alt_inline,,,,61227670.0,ns,23719650
"pow(3, 18)",pow_alt_inline,,,,62310261.0,ns,24102225
"pow(3, 18)",pow_alt_inline,,,,63189209.0,ns,24484800
"pow(3, 18)",pow_alt_inline,,,,64224609.0,ns,24867375
"pow(3, 18)",pow_alt_inline,,,,65237689.0,ns,25249950
"pow(3, 18)",pow_alt_inline,,,,66344466.0,ns,25632525
"pow(3, 18)",pow_alt_inline,,,,67244441.0,ns,26015100
"pow(3, 18)",pow_alt_inline,,,,68227786.0,ns,26397675
"pow(3, 18)",pow_alt_inline,,,,69175142.0,ns,26780250
"pow(3, 18)",pow_alt_inline,,,,70076680.0,ns,27162825
"pow(3, 18)",pow_alt_inline,,,,71824695.0,ns,27545400
"pow(3, 18)",pow_alt_inline,,,,72265434.0,ns,27927975
"pow(3, 18)",pow_alt_inline,,,,73143992.0,ns,28310550
"pow(3, 18)",pow_alt_inline,,,,74373991.0,ns,28693125
"pow(3, 18)",pow_alt_inline,,,,75074881.0,ns,29075700
"pow(3, 18)",pow_alt_inline,,,,76151512.0,ns,29458275
"pow(3, 18)",pow_alt_inline,,,,77038142.0,ns,29840850
"pow(3, 18)",pow_alt_inline,,,,78093831.0,ns,30223425
"pow(3, 18)",pow_alt_inline,,,,79073369.0,ns,30606000
"pow(3, 18)",pow_alt_inline,,,,80199830.0,ns,30988575
"pow(3, 18)",pow_alt_inline,,,,81135676.0,ns,31371150
"pow(3, 18)",pow_alt_inline,,,,82044309.0,ns,31753725
"pow(3, 18)",pow_alt_inline,,,,82923826.0,ns,32136300
"pow(3, 18)",pow_alt_inline,,,,84438521.0,ns,32518875
"pow(3, 18)",pow_alt_inline,,,,84922083.0,ns,32901450
"pow(3, 18)",pow_alt_inline,,,,85988152.0,ns,33284025
"pow(3, 18)",pow_alt_inline,,,,86970984.0,ns,33666600
"pow(3, 18)",pow_alt_inline,,,,87939590.0,ns,34049175
"pow(3, 18)",pow_alt_inline,,,,88838535.0,ns,34431750
"pow(3, 18)",pow_alt_inline,,,,89947967.0,ns,34814325
"pow(3, 18)",pow_alt_inline,,,,90963210.0,ns,35196900
"pow(3, 18)",pow_alt_inline,,,,91974986.0,ns,35579475
"pow(3, 18)",pow_alt_inline,,,,92850809.0,ns,35962050
"pow(3, 18)",pow_alt_inline,,,,93987650.0,ns,36344625
"pow(3, 18)",pow_alt_inline,,,,94833455.0,ns,36727200
"pow(3, 18)",pow_alt_inline,,,,95966120.0,ns,37109775
"pow(3, 18)",pow_alt_inline,,,,96802846.0,ns,37492350
"pow(3, 18)",pow_alt_inline,,,,97821437.0,ns,37874925
"pow(3, 18)",pow_alt_inline,,,,98774192.0,ns,38257500
