group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 18)",pow_std,,,,987492.0,ns,320050
"pow(3, 18)",pow_std,,,,1941821.0,ns,640100
"pow(3, 18)",pow_std,,,,2914374.0,ns,960150
"pow(3, 18)",pow_std,,,,3962931.0,ns,1280200
"pow(3, 18)",pow_std,,,,4904224.0,ns,1600250
"pow(3, 18)",pow_std,,,,6002436.0,ns,1920300
"pow(3, 18)",pow_std,,,,6804176.0,ns,2240350
"pow(3, 18)",pow_std,,,,7803221.0,ns,2560400
"pow(3, 18)",pow_std,,,,8925324.0,ns,2880450
"pow(3, 18)",pow_std,,,,9933956.0,ns,3200500
"pow(3, 18)",pow_std,,,,11012330.0,ns,3520550
"pow(3, 18)",pow_std,,,,12053131.0,ns,3840600
"pow(3, 18)",pow_std,,,,12847809.0,ns,4160650
"pow(3, 18)",pow_std,,,,13746402.0,ns,4480700
"pow(3, 18)",pow_std,,,,14964741.0,ns,4800750
"pow(3, 18)",pow_std,,,,15929649.0,ns,5120800
"pow(3, 18)",pow_std,,,,16889990.0,ns,5440850
"pow(3, 18)",pow_std,,,,17911775.0,ns,5760900
"pow(3, 18)",pow_std,,,,18985601.0,ns,6080950
"pow(3, 18)",pow_std,,,,19596060.0,ns,6401000
"pow(3, 18)",pow_std,,,,20989478.0,ns,6721050
"pow(3, 18)",pow_std,,,,21660332.0,ns,7041100
"pow(3, 18)",pow_std,,,,22884439.0,ns,7361150
"pow(3, 18)",pow_std,,,,23878503.0,ns,7681200
"pow(3, 18)",pow_std,,,,24437027.0,ns,8001250
"pow(3, 18)",pow_std,,,,25781189.0,ns,8321300
"pow(3, 18)",pow_std,,,,26763442.0,ns,8641350
"pow(3, 18)",pow_std,,,,27730104.0,ns,8961400
"pow(3, 18)",pow_std,,,,28592280.0,ns,9281450
"pow(3, 18)",pow_std,,,,29790679.0,ns,9601500
"pow(3, 18)",pow_std,,,,30842731.0,ns,9921550
"pow(3, 18)",pow_std,,,,31930313.0,ns,10241600
"pow(3, 18)",pow_std,,,,32557964.0,ns,10561650
"pow(3, 18)",pow_std,,,,33580253.0,ns,10881700
"pow(3, 18)",pow_std,,,,34641383.0,ns,11201750
"pow(3, 18)",pow_std,,,,35481756.0,ns,11521800
"pow(3, 18)",pow_std,,,,36835097.0,ns,11841850
"pow(3, 18)",pow_std,,,,37774158.0,ns,12161900
"pow(3, 18)",pow_std,,,,38618339.0,ns,12481950
"pow(3, 18)",pow_std,,,,39478882.0,ns,12802000
"pow(3, 18)",pow_std,,,,40380731.0,ns,13122050
"pow(3, 18)",pow_std,,,,41425170.0,ns,13442100
"pow(3, 18)",pow_std,,,,42263761.0,ns,13762150
"pow(3, 18)",pow_std,,,,43541311.0,ns,14082200
"pow(3, 18)",pow_std,,,,44497611.0,ns,14402250
"pow(3, 18)",pow_std,,,,45659143.0,ns,14722300
"pow(3, 18)",pow_std,,,,46054186.0,ns,15042350
"pow(3, 18)",pow_std,,,,47386518.0,ns,15362400
"pow(3, 18)",pow_std,,,,48131644.0,ns,15682450
"pow(3, 18)",pow_std,,,,49572158.0,ns,16002500
"pow(3, 18)",pow_std,,,,50454141.0,ns,16322550
"pow(3, 18)",pow_std,,,,50956607.0,ns,16642600
"pow(3, 18)",pow_std,,,,52224278.0,ns,16962650
"pow(3, 18)",pow_std,,,,53187894.0,ns,17282700
"pow(3, 18)",pow_std,,,,54257812.0,ns,17602750
"pow(3, 18)",pow_std,,,,55640496.0,ns,17922800
"pow(3, 18)",pow_std,,,,56065069.0,ns,18242850
"pow(3, 18)",pow_std,,,,57116289.0,ns,18562900
"pow(3, 18)",pow_std,,,,58456416.0,ns,18882950
"pow(3, 18)",pow_std,,,,59279468.0,ns,19203000
"pow(3, 18)",pow_std,,,,60287688.0,ns,19523050
"pow(3, 18)",pow_std,,,,62128077.0,ns,19843100
"pow(3, 18)",pow_std,,,,63075073.0,ns,20163150
"pow(3, 18)",pow_std,,,,64082793.0,ns,20483200
"pow(3, 18)",pow_std,,,,64538482.0,ns,20803250
"pow(3, 18)",pow_std,,,,65117894.0,ns,21123300
"pow(3, 18)",pow_std,,,,67077497.0,ns,21443350
"pow(3, 18)",pow_std,,,,68092211.0,ns,21763400
"pow(3, 18)",pow_std,,,,70736284.0,ns,22083450
"pow(3, 18)",pow_std,,,,66614174.0,ns,22403500
"pow(3, 18)",pow_std,,,,68807609.0,ns,22723550
"pow(3, 18)",pow_std,,,,68859877.0,ns,23043600
"pow(3, 18)",pow_std,,,,70242123.0,ns,23363650
"pow(3, 18)",pow_std,,,,70380043.0,ns,23683700
"pow(3, 18)",pow_std,,,,71092856.0,ns,24003750
"pow(3, 18)",pow_std,,,,72489530.0,ns,24323800
"pow(3, 18)",pow_std,,,,73271995.0,ns,24643850
"pow(3, 18)",pow_std,,,,73710100.0,ns,24963900
"pow(3, 18)",pow_std,,,,74792651.0,ns,25283950
"pow(3, 18)",pow_std,,,,75757470.0,ns,25604000
"pow(3, 18)",pow_std,,,,76460235.0,ns,25924050
"pow(3, 18)",pow_std,,,,77701394.0,ns,26244100
"pow(3, 18)",pow_std,,,,77835698.0,ns,26564150
"pow(3, 18)",pow_std,,,,79102495.0,ns,26884200
"pow(3, 18)",pow_std,,,,80319029.0,ns,27204250
"pow(3, 18)",pow_std,,,,81220437.0,ns,27524300
"pow(3, 18)",pow_std,,,,82707481.0,ns,27844350
"pow(3, 18)",pow_std,,,,82939188.0,ns,28164400
"pow(3, 18)",pow_std,,,,84144429.0,ns,28484450
"pow(3, 18)",pow_std,,,,84645013.0,ns,28804500
"pow(3, 18)",pow_std,,,,86291728.0,ns,29124550
"pow(3, 18)",pow_std,,,,87104610.0,ns,29444600
"pow(3, 18)",pow_std,,,,87743354.0,ns,29764650
"pow(3, 18)",pow_std,,,,88424026.0,ns,30084700
"pow(3, 18)",pow_std,,,,90459545.0,ns,30404750
"pow(3, 18)",pow_std,,,,90572816.0,ns,30724800
"pow(3, 18)",pow_std,,,,91367977.0,ns,31044850
"pow(3, 18)",pow_std,,,,92714776.0,ns,31364900
"pow(3, 18)",pow_std,,,,94252945.0,ns,31684950
"pow(3, 18)",pow_std,,,,95105271.0,ns,32005000
