group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 18)",pow_std_2opt,,,,1020865.0,ns,328727
"pow(3, 18)",pow_std_2opt,,,,1937041.0,ns,657454
"pow(3, 18)",pow_std_2opt,,,,2916918.0,ns,986181
"pow(3, 18)",pow_std_2opt,,,,3887509.0,ns,1314908
"pow(3, 18)",pow_std_2opt,,,,5208638.0,ns,1643635
"pow(3, 18)",pow_std_2opt,,,,5918487.0,ns,1972362
"pow(3, 18)",pow_std_2opt,,,,6977222.0,ns,2301089
"pow(3, 18)",pow_std_2opt,,,,7917094.0,ns,2629816
"pow(3, 18)",pow_std_2opt,,,,8827821.0,ns,2958543
"pow(3, 18)",pow_std_2opt,,,,9929638.0,ns,3287270
"pow(3, 18)",pow_std_2opt,,,,10720699.0,ns,3615997
"pow(3, 18)",pow_std_2opt,,,,12007486.0,ns,3944724
"pow(3, 18)",pow_std_2opt,,,,12620721.0,ns,4273451
"pow(3, 18)",pow_std_2opt,,,,13853935.0,ns,4602178
"pow(3, 18)",pow_std_2opt,,,,14803726.0,ns,4930905
"pow(3, 18)",pow_std_2opt,,,,15690448.0,ns,5259632
"pow(3, 18)",pow_std_2opt,,,,16578331.0,ns,5588359
"pow(3, 18)",pow_std_2opt,,,,17467509.0,ns,5917086
"pow(3, 18)",pow_std_2opt,,,,18605061.0,ns,6245813
"pow(3, 18)",pow_std_2opt,,,,19585139.0,ns,6574540
"pow(3, 18)",pow_std_2opt,,,,20789500.0,ns,6903267
"pow(3, 18)",pow_std_2opt,,,,21667334.0,ns,7231994
"pow(3, 18)",pow_std_2opt,,,,22276243.0,ns,7560721
"pow(3, 18)",pow_std_2opt,,,,23596180.0,ns,7889448
"pow(3, 18)",pow_std_2opt,,,,24738795.0,ns,8218175
"pow(3, 18)",pow_std_2opt,,,,25454734.0,ns,8546902
"pow(3, 18)",pow_std_2opt,,,,26703818.0,ns,8875629
"pow(3, 18)",pow_std_2opt,,,,27304652.0,ns,9204356
"pow(3, 18)",pow_std_2opt,,,,28718486.0,ns,9533083
"pow(3, 18)",pow_std_2opt,,,,29439416.0,ns,9861810
"pow(3, 18)",pow_std_2opt,,,,30927821.0,ns,10190537
"pow(3, 18)",pow_std_2opt,,,,37087493.0,ns,10519264
"pow(3, 18)",pow_std_2opt,,,,33885517.0,ns,10847991
"pow(3, 18)",pow_std_2opt,,,,35234911.0,ns,11176718
"pow(3, 18)",pow_std_2opt,,,,35961028.0,ns,11505445
"pow(3, 18)",pow_std_2opt,,,,37244470.0,ns,11834172
"pow(3, 18)",pow_std_2opt,,,,38234666.0,ns,12162899
"pow(3, 18)",pow_std_2opt,,,,39192100.0,ns,12491626
"pow(3, 18)",pow_std_2opt,,,,40666771.0,ns,12820353
"pow(3, 18)",pow_std_2opt,,,,40925708.0,ns,13149080
"pow(3, 18)",pow_std_2opt,,,,42125169.0,ns,13477807
"pow(3, 18)",pow_std_2opt,,,,43256782.0,ns,13806534
"pow(3, 18)",pow_std_2opt,,,,44691517.0,ns,14135261
"pow(3, 18)",pow_std_2opt,,,,45392659.0,ns,14463988
"pow(3, 18)",pow_std_2opt,,,,45788826.0,ns,14792715
"pow(3, 18)",pow_std_2opt,,,,46779693.0,ns,15121442
"pow(3, 18)",pow_std_2opt,,,,48044607.0,ns,15450169
"pow(3, 18)",pow_std_2opt,,,,49343958.0,ns,15778896
"pow(3, 18)",pow_std_2opt,,,,50043625.0,ns,16107623
"pow(3, 18)",pow_std_2opt,,,,51027359.0,ns,16436350
"pow(3, 18)",pow_std_2opt,,,,51888424.0,ns,16765077
"pow(3, 18)",pow_std_2opt,,,,53155001.0,ns,17093804
"pow(3, 18)",pow_std_2opt,,,,54439512.0,ns,17422531
"pow(3, 18)",pow_std_2opt,,,,55476657.0,ns,17751258
"pow(3, 18)",pow_std_2opt,,,,55952094.0,ns,18079985
"pow(3, 18)",pow_std_2opt,,,,56888219.0,ns,18408712
"pow(3, 18)",pow_std_2opt,,,,57953787.0,ns,18737439
"pow(3, 18)",pow_std_2opt,,,,59790359.0,ns,19066166
"pow(3, 18)",pow_std_2opt,,,,60757673.0,ns,19394893
"pow(3, 18)",pow_std_2opt,,,,61518788.0,ns,19723620
"pow(3, 18)",pow_std_2opt,,,,62355484.0,ns,20052347
"pow(3, 18)",pow_std_2opt,,,,63652550.0,ns,20381074
"pow(3, 18)",pow_std_2opt,,,,64373670.0,ns,20709801
"pow(3, 18)",pow_std_2opt,,,,64965394.0,ns,21038528
"pow(3, 18)",pow_std_2opt,,,,65739834.0,ns,21367255
"pow(3, 18)",pow_std_2opt,,,,67546010.0,ns,21695982
"pow(3, 18)",pow_std_2opt,,,,68163724.0,ns,22024709
"pow(3, 18)",pow_std_2opt,,,,69437255.0,ns,22353436
"pow(3, 18)",pow_std_2opt,,,,70238324.0,ns,22682163
"pow(3, 18)",pow_std_2opt,,,,72063505.0,ns,23010890
"pow(3, 18)",pow_std_2opt,,,,72676652.0,ns,23339617
"pow(3, 18)",pow_std_2opt,,,,73208633.0,ns,23668344
"pow(3, 18)",pow_std_2opt,,,,75259219.0,ns,23997071
"pow(3, 18)",pow_std_2opt,,,,75954850.0,ns,24325798
"pow(3, 18)",pow_std_2opt,,,,77314203.0,ns,24654525
"pow(3, 18)",pow_std_2opt,,,,78847614.0,ns,24983252
"pow(3, 18)",pow_std_2opt,,,,78558688.0,ns,25311979
"pow(3, 18)",pow_std_2opt,,,,80022950.0,ns,25640706
"pow(3, 18)",pow_std_2opt,,,,80517210.0,ns,25969433
"pow(3, 18)",pow_std_2opt,,,,81946334.0,ns,26298160
"pow(3, 18)",pow_std_2opt,,,,83598859.0,ns,26626887
"pow(3, 18)",pow_std_2opt,,,,84358522.0,ns,26955614
"pow(3, 18)",pow_std_2opt,,,,85483262.0,ns,27284341
"pow(3, 18)",pow_std_2opt,,,,86377968.0,ns,27613068
"pow(3, 18)",pow_std_2opt,,,,87831007.0,ns,27941795
"pow(3, 18)",pow_std_2opt,,,,87393011.0,ns,28270522
"pow(3, 18)",pow_std_2opt,,,,89018817.0,ns,28599249
"pow(3, 18)",pow_std_2opt,,,,90906815.0,ns,28927976
"pow(3, 18)",pow_std_2opt,,,,91384827.0,ns,29256703
"pow(3, 18)",pow_std_2opt,,,,95751288.0,ns,29585430
"pow(3, 18)",pow_std_2opt,,,,93781895.0,ns,29914157
"pow(3, 18)",pow_std_2opt,,,,95895519.0,ns,30242884
"pow(3, 18)",pow_std_2opt,,,,95422678.0,ns,30571611
"pow(3, 18)",pow_std_2opt,,,,96946241.0,ns,30900338
"pow(3, 18)",pow_std_2opt,,,,105359038.0,ns,31229065
"pow(3, 18)",pow_std_2opt,,,,98119121.0,ns,31557792
"pow(3, 18)",pow_std_2opt,,,,99556761.0,ns,31886519
"pow(3, 18)",pow_std_2opt,,,,100786249.0,ns,32215246
"pow(3, 18)",pow_std_2opt,,,,102260438.0,ns,32543973
"pow(3, 18)",pow_std_2opt,,,,102789034.0,ns,32872700
