group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 18)",u32::pow,,,,1012087.0,ns,333946
"pow(3, 18)",u32::pow,,,,2029244.0,ns,667892
"pow(3, 18)",u32::pow,,,,3023930.0,ns,1001838
"pow(3, 18)",u32::pow,,,,4012053.0,ns,1335784
"pow(3, 18)",u32::pow,,,,4967313.0,ns,1669730
"pow(3, 18)",u32::pow,,,,6009106.0,ns,2003676
"pow(3, 18)",u32::pow,,,,7025743.0,ns,2337622
"pow(3, 18)",u32::pow,,,,7912464.0,ns,2671568
"pow(3, 18)",u32::pow,,,,8916498.0,ns,3005514
"pow(3, 18)",u32::pow,,,,9758545.0,ns,3339460
"pow(3, 18)",u32::pow,,,,11095094.0,ns,3673406
"pow(3, 18)",u32::pow,,,,12085500.0,ns,4007352
"pow(3, 18)",u32::pow,,,,12760834.0,ns,4341298
"pow(3, 18)",u32::pow,,,,14058079.0,ns,4675244
"pow(3, 18)",u32::pow,,,,14910827.0,ns,5009190
"pow(3, 18)",u32::pow,,,,16029294.0,ns,5343136
"pow(3, 18)",u32::pow,,,,16579303.0,ns,5677082
"pow(3, 18)",u32::pow,,,,17674676.0,ns,6011028
"pow(3, 18)",u32::pow,,,,18572508.0,ns,6344974
"pow(3, 18)",u32::pow,,,,20011561.0,ns,6678920
"pow(3, 18)",u32::pow,,,,20643232.0,ns,7012866
"pow(3, 18)",u32::pow,,,,21774094.0,ns,7346812
"pow(3, 18)",u32::pow,,,,22516624.0,ns,7680758
"pow(3, 18)",u32::pow,,,,23923955.0,ns,8014704
"pow(3, 18)",u32::pow,,,,24329330.0,ns,8348650
"pow(3, 18)",u32::pow,,,,25627706.0,ns,8682596
"pow(3, 18)",u32::pow,,,,26841386.0,ns,9016542
"pow(3, 18)",u32::pow,,,,27702918.0,ns,9350488
"pow(3, 18)",u32::pow,,,,28360658.0,ns,9684434
"pow(3, 18)",u32::pow,,,,29428442.0,ns,10018380
"pow(3, 18)",u32::pow,,,,31198979.0,ns,10352326
"pow(3, 18)",u32::pow,,,,31934475.0,ns,10686272
"pow(3, 18)",u32::pow,,,,32663350.0,ns,11020218
"pow(3, 18)",u32::pow,,,,33770877.0,ns,11354164
"pow(3, 18)",u32::pow,,,,34888644.0,ns,11688110
"pow(3, 18)",u32::pow,,,,35669937.0,ns,12022056
"pow(3, 18)",u32::pow,,,,36576996.0,ns,12356002
"pow(3, 18)",u32::pow,,,,37429254.0,ns,12689948
"pow(3, 18)",u32::pow,,,,38733251.0,ns,13023894
"pow(3, 18)",u32::pow,,,,39423791.0,ns,13357840
"pow(3, 18)",u32::pow,,,,40608155.0,ns,13691786
