group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt,,,,990317.0,ns,552793
"pow(3, 7)",pow_alt,,,,1984270.0,ns,1105586
"pow(3, 7)",pow_alt,,,,2953417.0,ns,1658379
"pow(3, 7)",pow_alt,,,,3919968.0,ns,2211172
"pow(3, 7)",pow_alt,,,,4950139.0,ns,2763965
"pow(3, 7)",pow_alt,,,,5953010.0,ns,3316758
"pow(3, 7)",pow_alt,,,,6899474.0,ns,3869551
"pow(3, 7)",pow_alt,,,,7916559.0,ns,4422344
"pow(3, 7)",pow_alt,,,,8909072.0,ns,4975137
"pow(3, 7)",pow_alt,,,,9901060.0,ns,5527930
"pow(3, 7)",pow_alt,,,,10873704.0,ns,6080723
"pow(3, 7)",pow_alt,,,,11812102.0,ns,6633516
"pow(3, 7)",pow_alt,,,,12814260.0,ns,7186309
"pow(3, 7)",pow_alt,,,,13826549.0,ns,7739102
"pow(3, 7)",pow_alt,,,,14757974.0,ns,8291895
"pow(3, 7)",pow_alt,,,,15741699.0,ns,8844688
"pow(3, 7)",pow_alt,,,,16760729.0,ns,9397481
"pow(3, 7)",pow_alt,,,,17793125.0,ns,9950274
"pow(3, 7)",pow_alt,,,,18742403.0,ns,10503067
"pow(3, 7)",pow_alt,,,,19674861.0,ns,11055860
"pow(3, 7)",pow_alt,,,,20705031.0,ns,11608653
"pow(3, 7)",pow_alt,,,,21694698.0,ns,12161446
"pow(3, 7)",pow_alt,,,,22611126.0,ns,12714239
"pow(3, 7)",pow_alt,,,,23633753.0,ns,13267032
"pow(3, 7)",pow_alt,,,,24601625.0,ns,13819825
"pow(3, 7)",pow_alt,,,,25659832.0,ns,14372618
"pow(3, 7)",pow_alt,,,,26723665.0,ns,14925411
"pow(3, 7)",pow_alt,,,,27728200.0,ns,15478204
"pow(3, 7)",pow_alt,,,,28830376.0,ns,16030997
"pow(3, 7)",pow_alt,,,,29533711.0,ns,16583790
"pow(3, 7)",pow_alt,,,,30775743.0,ns,17136583
"pow(3, 7)",pow_alt,,,,31529984.0,ns,17689376
"pow(3, 7)",pow_alt,,,,32549716.0,ns,18242169
"pow(3, 7)",pow_alt,,,,33545423.0,ns,18794962
"pow(3, 7)",pow_alt,,,,34459355.0,ns,19347755
"pow(3, 7)",pow_alt,,,,35383136.0,ns,19900548
"pow(3, 7)",pow_alt,,,,36624877.0,ns,20453341
"pow(3, 7)",pow_alt,,,,37469027.0,ns,21006134
"pow(3, 7)",pow_alt,,,,38524938.0,ns,21558927
"pow(3, 7)",pow_alt,,,,39742783.0,ns,22111720
"pow(3, 7)",pow_alt,,,,40987407.0,ns,22664513
"pow(3, 7)",pow_alt,,,,41684852.0,ns,23217306
"pow(3, 7)",pow_alt,,,,42696660.0,ns,23770099
"pow(3, 7)",pow_alt,,,,43555478.0,ns,24322892
"pow(3, 7)",pow_alt,,,,44786369.0,ns,24875685
"pow(3, 7)",pow_alt,,,,45535850.0,ns,25428478
"pow(3, 7)",pow_alt,,,,46626556.0,ns,25981271
"pow(3, 7)",pow_alt,,,,47483432.0,ns,26534064
"pow(3, 7)",pow_alt,,,,48497582.0,ns,27086857
"pow(3, 7)",pow_alt,,,,49489963.0,ns,27639650
"pow(3, 7)",pow_alt,,,,50472064.0,ns,28192443
"pow(3, 7)",pow_alt,,,,51494371.0,ns,28745236
"pow(3, 7)",pow_alt,,,,52373748.0,ns,29298029
"pow(3, 7)",pow_alt,,,,53296587.0,ns,29850822
"pow(3, 7)",pow_alt,,,,54503352.0,ns,30403615
"pow(3, 7)",pow_alt,,,,55559732.0,ns,30956408
"pow(3, 7)",pow_alt,,,,56532937.0,ns,31509201
"pow(3, 7)",pow_alt,,,,57382188.0,ns,32061994
"pow(3, 7)",pow_alt,,,,58448806.0,ns,32614787
"pow(3, 7)",pow_alt,,,,59182491.0,ns,33167580
"pow(3, 7)",pow_alt,,,,60049102.0,ns,33720373
"pow(3, 7)",pow_alt,,,,61273893.0,ns,34273166
"pow(3, 7)",pow_alt,,,,62195919.0,ns,34825959
"pow(3, 7)",pow_alt,,,,63086798.0,ns,35378752
"pow(3, 7)",pow_alt,,,,64084059.0,ns,35931545
"pow(3, 7)",pow_alt,,,,65137654.0,ns,36484338
"pow(3, 7)",pow_alt,,,,66186871.0,ns,37037131
"pow(3, 7)",pow_alt,,,,67018448.0,ns,37589924
"pow(3, 7)",pow_alt,,,,68355128.0,ns,38142717
"pow(3, 7)",pow_alt,,,,69103058.0,ns,38695510
"pow(3, 7)",pow_alt,,,,70349466.0,ns,39248303
"pow(3, 7)",pow_alt,,,,71054495.0,ns,39801096
"pow(3, 7)",pow_alt,,,,72030615.0,ns,40353889
"pow(3, 7)",pow_alt,,,,73102766.0,ns,40906682
"pow(3, 7)",pow_alt,,,,73825827.0,ns,41459475
"pow(3, 7)",pow_alt,,,,74946080.0,ns,42012268
"pow(3, 7)",pow_alt,,,,76029391.0,ns,42565061
"pow(3, 7)",pow_alt,,,,76919960.0,ns,43117854
"pow(3, 7)",pow_alt,,,,77964859.0,ns,43670647
"pow(3, 7)",pow_alt,,,,78823708.0,ns,44223440
"pow(3, 7)",pow_alt,,,,79942595.0,ns,44776233
"pow(3, 7)",pow_alt,,,,80758613.0,ns,45329026
"pow(3, 7)",pow_alt,,,,82172508.0,ns,45881819
"pow(3, 7)",pow_alt,,,,83243439.0,ns,46434612
"pow(3, 7)",pow_alt,,,,84162439.0,ns,46987405
"pow(3, 7)",pow_alt,,,,85014715.0,ns,47540198
"pow(3, 7)",pow_alt,,,,85789775.0,ns,48092991
"pow(3, 7)",pow_alt,,,,86731521.0,ns,48645784
"pow(3, 7)",pow_alt,,,,87796860.0,ns,49198577
"pow(3, 7)",pow_alt,,,,88599292.0,ns,49751370
"pow(3, 7)",pow_alt,,,,89699474.0,ns,50304163
"pow(3, 7)",pow_alt,,,,90806482.0,ns,50856956
"pow(3, 7)",pow_alt,,,,91673685.0,ns,51409749
"pow(3, 7)",pow_alt,,,,92777586.0,ns,51962542
"pow(3, 7)",pow_alt,,,,94262173.0,ns,52515335
"pow(3, 7)",pow_alt,,,,94997241.0,ns,53068128
"pow(3, 7)",pow_alt,,,,95818176.0,ns,53620921
"pow(3, 7)",pow_alt,,,,96725497.0,ns,54173714
"pow(3, 7)",pow_alt,,,,97569206.0,ns,54726507
"pow(3, 7)",pow_alt,,,,98509469.0,ns,55279300
