group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt_012opt,,,,933450.0,ns,444977
"pow(3, 7)",pow_alt_012opt,,,,1868261.0,ns,889954
"pow(3, 7)",pow_alt_012opt,,,,2806790.0,ns,1334931
"pow(3, 7)",pow_alt_012opt,,,,3743705.0,ns,1779908
"pow(3, 7)",pow_alt_012opt,,,,4704397.0,ns,2224885
"pow(3, 7)",pow_alt_012opt,,,,5587922.0,ns,2669862
"pow(3, 7)",pow_alt_012opt,,,,6552008.0,ns,3114839
"pow(3, 7)",pow_alt_012opt,,,,7495937.0,ns,3559816
"pow(3, 7)",pow_alt_012opt,,,,8473430.0,ns,4004793
"pow(3, 7)",pow_alt_012opt,,,,9338680.0,ns,4449770
"pow(3, 7)",pow_alt_012opt,,,,10264545.0,ns,4894747
"pow(3, 7)",pow_alt_012opt,,,,11325574.0,ns,5339724
"pow(3, 7)",pow_alt_012opt,,,,12218888.0,ns,5784701
"pow(3, 7)",pow_alt_012opt,,,,13130246.0,ns,6229678
"pow(3, 7)",pow_alt_012opt,,,,14104903.0,ns,6674655
"pow(3, 7)",pow_alt_012opt,,,,15015629.0,ns,7119632
"pow(3, 7)",pow_alt_012opt,,,,15942826.0,ns,7564609
"pow(3, 7)",pow_alt_012opt,,,,16824549.0,ns,8009586
"pow(3, 7)",pow_alt_012opt,,,,17770791.0,ns,8454563
"pow(3, 7)",pow_alt_012opt,,,,18711275.0,ns,8899540
"pow(3, 7)",pow_alt_012opt,,,,19663628.0,ns,9344517
"pow(3, 7)",pow_alt_012opt,,,,20556491.0,ns,9789494
"pow(3, 7)",pow_alt_012opt,,,,21523124.0,ns,10234471
"pow(3, 7)",pow_alt_012opt,,,,22451793.0,ns,10679448
"pow(3, 7)",pow_alt_012opt,,,,23294322.0,ns,11124425
"pow(3, 7)",pow_alt_012opt,,,,24426365.0,ns,11569402
"pow(3, 7)",pow_alt_012opt,,,,25409177.0,ns,12014379
"pow(3, 7)",pow_alt_012opt,,,,26125115.0,ns,12459356
"pow(3, 7)",pow_alt_012opt,,,,27112326.0,ns,12904333
"pow(3, 7)",pow_alt_012opt,,,,28002676.0,ns,13349310
"pow(3, 7)",pow_alt_012opt,,,,28856253.0,ns,13794287
"pow(3, 7)",pow_alt_012opt,,,,29871598.0,ns,14239264
"pow(3, 7)",pow_alt_012opt,,,,30825655.0,ns,14684241
"pow(3, 7)",pow_alt_012opt,,,,31701106.0,ns,15129218
"pow(3, 7)",pow_alt_012opt,,,,32704175.0,ns,15574195
"pow(3, 7)",pow_alt_012opt,,,,33576900.0,ns,16019172
"pow(3, 7)",pow_alt_012opt,,,,34513626.0,ns,16464149
"pow(3, 7)",pow_alt_012opt,,,,35426876.0,ns,16909126
"pow(3, 7)",pow_alt_012opt,,,,36351991.0,ns,17354103
"pow(3, 7)",pow_alt_012opt,,,,37344932.0,ns,17799080
"pow(3, 7)",pow_alt_012opt,,,,38260237.0,ns,18244057
"pow(3, 7)",pow_alt_012opt,,,,39176744.0,ns,18689034
"pow(3, 7)",pow_alt_012opt,,,,40038818.0,ns,19134011
"pow(3, 7)",pow_alt_012opt,,,,41093067.0,ns,19578988
"pow(3, 7)",pow_alt_012opt,,,,42017166.0,ns,20023965
"pow(3, 7)",pow_alt_012opt,,,,42894742.0,ns,20468942
"pow(3, 7)",pow_alt_012opt,,,,43798925.0,ns,20913919
"pow(3, 7)",pow_alt_012opt,,,,44870464.0,ns,21358896
"pow(3, 7)",pow_alt_012opt,,,,45844331.0,ns,21803873
"pow(3, 7)",pow_alt_012opt,,,,46621194.0,ns,22248850
"pow(3, 7)",pow_alt_012opt,,,,47565973.0,ns,22693827
"pow(3, 7)",pow_alt_012opt,,,,48616284.0,ns,23138804
"pow(3, 7)",pow_alt_012opt,,,,49564020.0,ns,23583781
"pow(3, 7)",pow_alt_012opt,,,,50457073.0,ns,24028758
"pow(3, 7)",pow_alt_012opt,,,,51395212.0,ns,24473735
"pow(3, 7)",pow_alt_012opt,,,,52203043.0,ns,24918712
"pow(3, 7)",pow_alt_012opt,,,,53242192.0,ns,25363689
"pow(3, 7)",pow_alt_012opt,,,,54190750.0,ns,25808666
"pow(3, 7)",pow_alt_012opt,,,,55075487.0,ns,26253643
"pow(3, 7)",pow_alt_012opt,,,,56080262.0,ns,26698620
"pow(3, 7)",pow_alt_012opt,,,,57016114.0,ns,27143597
"pow(3, 7)",pow_alt_012opt,,,,57879040.0,ns,27588574
"pow(3, 7)",pow_alt_012opt,,,,58780700.0,ns,28033551
"pow(3, 7)",pow_alt_012opt,,,,59793279.0,ns,28478528
"pow(3, 7)",pow_alt_012opt,,,,62761552.0,ns,28923505
"pow(3, 7)",pow_alt_012opt,,,,61718197.0,ns,29368482
"pow(3, 7)",pow_alt_012opt,,,,62915002.0,ns,29813459
"pow(3, 7)",pow_alt_012opt,,,,63573942.0,ns,30258436
"pow(3, 7)",pow_alt_012opt,,,,64636346.0,ns,30703413
"pow(3, 7)",pow_alt_012opt,,,,65381179.0,ns,31148390
"pow(3, 7)",pow_alt_012opt,,,,66311192.0,ns,31593367
"pow(3, 7)",pow_alt_012opt,,,,67308661.0,ns,32038344
"pow(3, 7)",pow_alt_012opt,,,,68173622.0,ns,32483321
"pow(3, 7)",pow_alt_012opt,,,,69116008.0,ns,32928298
"pow(3, 7)",pow_alt_012opt,,,,70034751.0,ns,33373275
"pow(3, 7)",pow_alt_012opt,,,,71067255.0,ns,33818252
"pow(3, 7)",pow_alt_012opt,,,,71870029.0,ns,34263229
"pow(3, 7)",pow_alt_012opt,,,,72793229.0,ns,34708206
"pow(3, 7)",pow_alt_012opt,,,,73952343.0,ns,35153183
"pow(3, 7)",pow_alt_012opt,,,,74659374.0,ns,35598160
"pow(3, 7)",pow_alt_012opt,,,,75718512.0,ns,36043137
"pow(3, 7)",pow_alt_012opt,,,,76632553.0,ns,36488114
"pow(3, 7)",pow_alt_012opt,,,,77373240.0,ns,36933091
"pow(3, 7)",pow_alt_012opt,,,,78230197.0,ns,37378068
"pow(3, 7)",pow_alt_012opt,,,,82616471.0,ns,37823045
"pow(3, 7)",pow_alt_012opt,,,,80076415.0,ns,38268022
"pow(3, 7)",pow_alt_012opt,,,,80961022.0,ns,38712999
"pow(3, 7)",pow_alt_012opt,,,,81907836.0,ns,39157976
"pow(3, 7)",pow_alt_012opt,,,,82850782.0,ns,39602953
"pow(3, 7)",pow_alt_012opt,,,,83723468.0,ns,40047930
"pow(3, 7)",pow_alt_012opt,,,,84629536.0,ns,40492907
"pow(3, 7)",pow_alt_012opt,,,,85629109.0,ns,40937884
"pow(3, 7)",pow_alt_012opt,,,,90352011.0,ns,41382861
"pow(3, 7)",pow_alt_012opt,,,,87638235.0,ns,41827838
"pow(3, 7)",pow_alt_012opt,,,,88491694.0,ns,42272815
"pow(3, 7)",pow_alt_012opt,,,,89338141.0,ns,42717792
"pow(3, 7)",pow_alt_012opt,,,,90306575.0,ns,43162769
"pow(3, 7)",pow_alt_012opt,,,,91238711.0,ns,43607746
"pow(3, 7)",pow_alt_012opt,,,,92158094.0,ns,44052723
"pow(3, 7)",pow_alt_012opt,,,,93015600.0,ns,44497700
