group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt_2opt_inline,,,,993132.0,ns,592986
"pow(3, 7)",pow_alt_2opt_inline,,,,1973118.0,ns,1185972
"pow(3, 7)",pow_alt_2opt_inline,,,,2969908.0,ns,1778958
"pow(3, 7)",pow_alt_2opt_inline,,,,3979590.0,ns,2371944
"pow(3, 7)",pow_alt_2opt_inline,,,,5055648.0,ns,2964930
"pow(3, 7)",pow_alt_2opt_inline,,,,5952567.0,ns,3557916
"pow(3, 7)",pow_alt_2opt_inline,,,,7048585.0,ns,4150902
"pow(3, 7)",pow_alt_2opt_inline,,,,8061693.0,ns,4743888
"pow(3, 7)",pow_alt_2opt_inline,,,,9040258.0,ns,5336874
"pow(3, 7)",pow_alt_2opt_inline,,,,9983004.0,ns,5929860
"pow(3, 7)",pow_alt_2opt_inline,,,,10922524.0,ns,6522846
"pow(3, 7)",pow_alt_2opt_inline,,,,11929112.0,ns,7115832
"pow(3, 7)",pow_alt_2opt_inline,,,,12829158.0,ns,7708818
"pow(3, 7)",pow_alt_2opt_inline,,,,13793215.0,ns,8301804
"pow(3, 7)",pow_alt_2opt_inline,,,,14817575.0,ns,8894790
"pow(3, 7)",pow_alt_2opt_inline,,,,16004382.0,ns,9487776
"pow(3, 7)",pow_alt_2opt_inline,,,,16926370.0,ns,10080762
"pow(3, 7)",pow_alt_2opt_inline,,,,17865919.0,ns,10673748
"pow(3, 7)",pow_alt_2opt_inline,,,,18774453.0,ns,11266734
"pow(3, 7)",pow_alt_2opt_inline,,,,19739431.0,ns,11859720
"pow(3, 7)",pow_alt_2opt_inline,,,,20707855.0,ns,12452706
"pow(3, 7)",pow_alt_2opt_inline,,,,21807389.0,ns,13045692
"pow(3, 7)",pow_alt_2opt_inline,,,,22655667.0,ns,13638678
"pow(3, 7)",pow_alt_2opt_inline,,,,23659649.0,ns,14231664
"pow(3, 7)",pow_alt_2opt_inline,,,,24657540.0,ns,14824650
"pow(3, 7)",pow_alt_2opt_inline,,,,25615014.0,ns,15417636
"pow(3, 7)",pow_alt_2opt_inline,,,,26723012.0,ns,16010622
"pow(3, 7)",pow_alt_2opt_inline,,,,27664686.0,ns,16603608
"pow(3, 7)",pow_alt_2opt_inline,,,,28552580.0,ns,17196594
"pow(3, 7)",pow_alt_2opt_inline,,,,29581719.0,ns,17789580
"pow(3, 7)",pow_alt_2opt_inline,,,,30646836.0,ns,18382566
"pow(3, 7)",pow_alt_2opt_inline,,,,31597048.0,ns,18975552
"pow(3, 7)",pow_alt_2opt_inline,,,,32544084.0,ns,19568538
"pow(3, 7)",pow_alt_2opt_inline,,,,33556600.0,ns,20161524
"pow(3, 7)",pow_alt_2opt_inline,,,,34492975.0,ns,20754510
"pow(3, 7)",pow_alt_2opt_inline,,,,35574806.0,ns,21347496
"pow(3, 7)",pow_alt_2opt_inline,,,,36545713.0,ns,21940482
"pow(3, 7)",pow_alt_2opt_inline,,,,37435911.0,ns,22533468
"pow(3, 7)",pow_alt_2opt_inline,,,,38448761.0,ns,23126454
"pow(3, 7)",pow_alt_2opt_inline,,,,39468211.0,ns,23719440
"pow(3, 7)",pow_alt_2opt_inline,,,,40573385.0,ns,24312426
"pow(3, 7)",pow_alt_2opt_inline,,,,41602314.0,ns,24905412
"pow(3, 7)",pow_alt_2opt_inline,,,,42564305.0,ns,25498398
"pow(3, 7)",pow_alt_2opt_inline,,,,43372440.0,ns,26091384
"pow(3, 7)",pow_alt_2opt_inline,,,,44553815.0,ns,26684370
"pow(3, 7)",pow_alt_2opt_inline,,,,45444975.0,ns,27277356
"pow(3, 7)",pow_alt_2opt_inline,,,,46363456.0,ns,27870342
"pow(3, 7)",pow_alt_2opt_inline,,,,47473038.0,ns,28463328
"pow(3, 7)",pow_alt_2opt_inline,,,,48414983.0,ns,29056314
"pow(3, 7)",pow_alt_2opt_inline,,,,49387676.0,ns,29649300
"pow(3, 7)",pow_alt_2opt_inline,,,,50291399.0,ns,30242286
"pow(3, 7)",pow_alt_2opt_inline,,,,51356978.0,ns,30835272
"pow(3, 7)",pow_alt_2opt_inline,,,,52337244.0,ns,31428258
"pow(3, 7)",pow_alt_2opt_inline,,,,53415106.0,ns,32021244
"pow(3, 7)",pow_alt_2opt_inline,,,,54256181.0,ns,32614230
"pow(3, 7)",pow_alt_2opt_inline,,,,55526375.0,ns,33207216
"pow(3, 7)",pow_alt_2opt_inline,,,,56301506.0,ns,33800202
"pow(3, 7)",pow_alt_2opt_inline,,,,57202554.0,ns,34393188
