group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt_inline,,,,1070838.0,ns,630607
"pow(3, 7)",pow_alt_inline,,,,2065822.0,ns,1261214
"pow(3, 7)",pow_alt_inline,,,,2986358.0,ns,1891821
"pow(3, 7)",pow_alt_inline,,,,3987545.0,ns,2522428
"pow(3, 7)",pow_alt_inline,,,,4980436.0,ns,3153035
"pow(3, 7)",pow_alt_inline,,,,5960063.0,ns,3783642
"pow(3, 7)",pow_alt_inline,,,,6947453.0,ns,4414249
"pow(3, 7)",pow_alt_inline,,,,7923031.0,ns,5044856
"pow(3, 7)",pow_alt_inline,,,,8938496.0,ns,5675463
"pow(3, 7)",pow_alt_inline,,,,9874059.0,ns,6306070
"pow(3, 7)",pow_alt_inline,,,,10872140.0,ns,6936677
"pow(3, 7)",pow_alt_inline,,,,11912110.0,ns,7567284
"pow(3, 7)",pow_alt_inline,,,,12829038.0,ns,8197891
"pow(3, 7)",pow_alt_inline,,,,13820145.0,ns,8828498
"pow(3, 7)",pow_alt_inline,,,,14874183.0,ns,9459105
"pow(3, 7)",pow_alt_inline,,,,15812380.0,ns,10089712
"pow(3, 7)",pow_alt_inline,,,,16773582.0,ns,10720319
"pow(3, 7)",pow_alt_inline,,,,17900795.0,ns,11350926
"pow(3, 7)",pow_alt_inline,,,,18821641.0,ns,11981533
"pow(3, 7)",pow_alt_inline,,,,19961880.0,ns,12612140
"pow(3, 7)",pow_alt_inline,,,,20772287.0,ns,13242747
"pow(3, 7)",pow_alt_inline,,,,21732338.0,ns,13873354
"pow(3, 7)",pow_alt_inline,,,,22704649.0,ns,14503961
"pow(3, 7)",pow_alt_inline,,,,23701598.0,ns,15134568
"pow(3, 7)",pow_alt_inline,,,,24652481.0,ns,15765175
"pow(3, 7)",pow_alt_inline,,,,25737655.0,ns,16395782
"pow(3, 7)",pow_alt_inline,,,,26668371.0,ns,17026389
"pow(3, 7)",pow_alt_inline,,,,27650430.0,ns,17656996
"pow(3, 7)",pow_alt_inline,,,,28689508.0,ns,18287603
"pow(3, 7)",pow_alt_inline,,,,29660529.0,ns,18918210
"pow(3, 7)",pow_alt_inline,,,,30608896.0,ns,19548817
"pow(3, 7)",pow_alt_inline,,,,31563154.0,ns,20179424
"pow(3, 7)",pow_alt_inline,,,,32700068.0,ns,20810031
"pow(3, 7)",pow_alt_inline,,,,33546332.0,ns,21440638
"pow(3, 7)",pow_alt_inline,,,,34712729.0,ns,22071245
"pow(3, 7)",pow_alt_inline,,,,35636021.0,ns,22701852
"pow(3, 7)",pow_alt_inline,,,,36594936.0,ns,23332459
"pow(3, 7)",pow_alt_inline,,,,37577869.0,ns,23963066
"pow(3, 7)",pow_alt_inline,,,,38501029.0,ns,24593673
"pow(3, 7)",pow_alt_inline,,,,39624137.0,ns,25224280
"pow(3, 7)",pow_alt_inline,,,,40496279.0,ns,25854887
"pow(3, 7)",pow_alt_inline,,,,41500833.0,ns,26485494
"pow(3, 7)",pow_alt_inline,,,,42535592.0,ns,27116101
"pow(3, 7)",pow_alt_inline,,,,43516201.0,ns,27746708
"pow(3, 7)",pow_alt_inline,,,,44394607.0,ns,28377315
"pow(3, 7)",pow_alt_inline,,,,45493486.0,ns,29007922
"pow(3, 7)",pow_alt_inline,,,,46404194.0,ns,29638529
"pow(3, 7)",pow_alt_inline,,,,47420831.0,ns,30269136
