group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",u32::pow,,,,988403.0,ns,539058
"pow(3, 7)",u32::pow,,,,1924077.0,ns,1078116
"pow(3, 7)",u32::pow,,,,2930372.0,ns,1617174
"pow(3, 7)",u32::pow,,,,3945174.0,ns,2156232
"pow(3, 7)",u32::pow,,,,4941364.0,ns,2695290
"pow(3, 7)",u32::pow,,,,5950143.0,ns,3234348
"pow(3, 7)",u32::pow,,,,6867733.0,ns,3773406
"pow(3, 7)",u32::pow,,,,7855416.0,ns,4312464
"pow(3, 7)",u32::pow,,,,9017334.0,ns,4851522
"pow(3, 7)",u32::pow,,,,10036946.0,ns,5390580
"pow(3, 7)",u32::pow,,,,10721676.0,ns,5929638
"pow(3, 7)",u32::pow,,,,11892854.0,ns,6468696
"pow(3, 7)",u32::pow,,,,12608343.0,ns,7007754
"pow(3, 7)",u32::pow,,,,13586977.0,ns,7546812
"pow(3, 7)",u32::pow,,,,14947699.0,ns,8085870
"pow(3, 7)",u32::pow,,,,15888053.0,ns,8624928
"pow(3, 7)",u32::pow,,,,16715562.0,ns,9163986
"pow(3, 7)",u32::pow,,,,17794887.0,ns,9703044
"pow(3, 7)",u32::pow,,,,18863600.0,ns,10242102
"pow(3, 7)",u32::pow,,,,19836614.0,ns,10781160
"pow(3, 7)",u32::pow,,,,20667099.0,ns,11320218
"pow(3, 7)",u32::pow,,,,21689387.0,ns,11859276
"pow(3, 7)",u32::pow,,,,22730198.0,ns,12398334
"pow(3, 7)",u32::pow,,,,23354625.0,ns,12937392
"pow(3, 7)",u32::pow,,,,24845325.0,ns,13476450
"pow(3, 7)",u32::pow,,,,25696648.0,ns,14015508
"pow(3, 7)",u32::pow,,,,26410945.0,ns,14554566
"pow(3, 7)",u32::pow,,,,27107849.0,ns,15093624
"pow(3, 7)",u32::pow,,,,28251783.0,ns,15632682
"pow(3, 7)",u32::pow,,,,29490098.0,ns,16171740
"pow(3, 7)",u32::pow,,,,30096150.0,ns,16710798
"pow(3, 7)",u32::pow,,,,31591427.0,ns,17249856
"pow(3, 7)",u32::pow,,,,32653469.0,ns,17788914
"pow(3, 7)",u32::pow,,,,33523418.0,ns,18327972
"pow(3, 7)",u32::pow,,,,34374764.0,ns,18867030
"pow(3, 7)",u32::pow,,,,35211139.0,ns,19406088
"pow(3, 7)",u32::pow,,,,36144499.0,ns,19945146
"pow(3, 7)",u32::pow,,,,37946866.0,ns,20484204
"pow(3, 7)",u32::pow,,,,37985187.0,ns,21023262
"pow(3, 7)",u32::pow,,,,39274628.0,ns,21562320
"pow(3, 7)",u32::pow,,,,40556243.0,ns,22101378
"pow(3, 7)",u32::pow,,,,41325593.0,ns,22640436
"pow(3, 7)",u32::pow,,,,42329645.0,ns,23179494
"pow(3, 7)",u32::pow,,,,42780214.0,ns,23718552
"pow(3, 7)",u32::pow,,,,43955710.0,ns,24257610
"pow(3, 7)",u32::pow,,,,45713433.0,ns,24796668
"pow(3, 7)",u32::pow,,,,46017035.0,ns,25335726
"pow(3, 7)",u32::pow,,,,47218509.0,ns,25874784
"pow(3, 7)",u32::pow,,,,47984113.0,ns,26413842
"pow(3, 7)",u32::pow,,,,49553269.0,ns,26952900
"pow(3, 7)",u32::pow,,,,49943284.0,ns,27491958
"pow(3, 7)",u32::pow,,,,51452308.0,ns,28031016
"pow(3, 7)",u32::pow,,,,52113405.0,ns,28570074
"pow(3, 7)",u32::pow,,,,53284641.0,ns,29109132
"pow(3, 7)",u32::pow,,,,54183105.0,ns,29648190
"pow(3, 7)",u32::pow,,,,54775470.0,ns,30187248
"pow(3, 7)",u32::pow,,,,56310475.0,ns,30726306
"pow(3, 7)",u32::pow,,,,57545812.0,ns,31265364
"pow(3, 7)",u32::pow,,,,57839275.0,ns,31804422
"pow(3, 7)",u32::pow,,,,59053813.0,ns,32343480
"pow(3, 7)",u32::pow,,,,59754304.0,ns,32882538
"pow(3, 7)",u32::pow,,,,61146829.0,ns,33421596
"pow(3, 7)",u32::pow,,,,61120399.0,ns,33960654
"pow(3, 7)",u32::pow,,,,63133813.0,ns,34499712
"pow(3, 7)",u32::pow,,,,63264049.0,ns,35038770
"pow(3, 7)",u32::pow,,,,64582054.0,ns,35577828
"pow(3, 7)",u32::pow,,,,66004853.0,ns,36116886
"pow(3, 7)",u32::pow,,,,66749116.0,ns,36655944
"pow(3, 7)",u32::pow,,,,68374791.0,ns,37195002
"pow(3, 7)",u32::pow,,,,68679995.0,ns,37734060
"pow(3, 7)",u32::pow,,,,69928759.0,ns,38273118
"pow(3, 7)",u32::pow,,,,70564747.0,ns,38812176
"pow(3, 7)",u32::pow,,,,71703785.0,ns,39351234
"pow(3, 7)",u32::pow,,,,73063667.0,ns,39890292
"pow(3, 7)",u32::pow,,,,72886002.0,ns,40429350
"pow(3, 7)",u32::pow,,,,74155895.0,ns,40968408
"pow(3, 7)",u32::pow,,,,75808601.0,ns,41507466
"pow(3, 7)",u32::pow,,,,76210688.0,ns,42046524
"pow(3, 7)",u32::pow,,,,77580109.0,ns,42585582
"pow(3, 7)",u32::pow,,,,78390976.0,ns,43124640
"pow(3, 7)",u32::pow,,,,79970614.0,ns,43663698
"pow(3, 7)",u32::pow,,,,81372937.0,ns,44202756
"pow(3, 7)",u32::pow,,,,81256909.0,ns,44741814
"pow(3, 7)",u32::pow,,,,82921976.0,ns,45280872
"pow(3, 7)",u32::pow,,,,83460070.0,ns,45819930
"pow(3, 7)",u32::pow,,,,85163671.0,ns,46358988
"pow(3, 7)",u32::pow,,,,85718627.0,ns,46898046
"pow(3, 7)",u32::pow,,,,87131880.0,ns,47437104
"pow(3, 7)",u32::pow,,,,87423199.0,ns,47976162
"pow(3, 7)",u32::pow,,,,89295749.0,ns,48515220
"pow(3, 7)",u32::pow,,,,88708302.0,ns,49054278
"pow(3, 7)",u32::pow,,,,90901163.0,ns,49593336
"pow(3, 7)",u32::pow,,,,90905272.0,ns,50132394
"pow(3, 7)",u32::pow,,,,92189602.0,ns,50671452
"pow(3, 7)",u32::pow,,,,93199756.0,ns,51210510
"pow(3, 7)",u32::pow,,,,94687019.0,ns,51749568
"pow(3, 7)",u32::pow,,,,94995950.0,ns,52288626
"pow(3, 7)",u32::pow,,,,96328823.0,ns,52827684
