group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_alt_inline,,,,1008532.0,ns,250205
"pow(0, 31)",pow_alt_inline,,,,1929232.0,ns,500410
"pow(0, 31)",pow_alt_inline,,,,2926246.0,ns,750615
"pow(0, 31)",pow_alt_inline,,,,3859577.0,ns,1000820
"pow(0, 31)",pow_alt_inline,,,,4826796.0,ns,1251025
"pow(0, 31)",pow_alt_inline,,,,5788844.0,ns,1501230
"pow(0, 31)",pow_alt_inline,,,,6928326.0,ns,1751435
"pow(0, 31)",pow_alt_inline,,,,8076938.0,ns,2001640
"pow(0, 31)",pow_alt_inline,,,,8702630.0,ns,2251845
"pow(0, 31)",pow_alt_inline,,,,9843535.0,ns,2502050
"pow(0, 31)",pow_alt_inline,,,,11034180.0,ns,2752255
"pow(0, 31)",pow_alt_inline,,,,11578873.0,ns,3002460
"pow(0, 31)",pow_alt_inline,,,,12603586.0,ns,3252665
"pow(0, 31)",pow_alt_inline,,,,13508510.0,ns,3502870
"pow(0, 31)",pow_alt_inline,,,,14476774.0,ns,3753075
"pow(0, 31)",pow_alt_inline,,,,15438259.0,ns,4003280
"pow(0, 31)",pow_alt_inline,,,,16402657.0,ns,4253485
"pow(0, 31)",pow_alt_inline,,,,16946429.0,ns,4503690
"pow(0, 31)",pow_alt_inline,,,,18236301.0,ns,4753895
"pow(0, 31)",pow_alt_inline,,,,18612927.0,ns,5004100
"pow(0, 31)",pow_alt_inline,,,,19813543.0,ns,5254305
"pow(0, 31)",pow_alt_inline,,,,22478142.0,ns,5504510
"pow(0, 31)",pow_alt_inline,,,,21857522.0,ns,5754715
"pow(0, 31)",pow_alt_inline,,,,24073828.0,ns,6004920
"pow(0, 31)",pow_alt_inline,,,,25157406.0,ns,6255125
"pow(0, 31)",pow_alt_inline,,,,23537595.0,ns,6505330
"pow(0, 31)",pow_alt_inline,,,,25093191.0,ns,6755535
"pow(0, 31)",pow_alt_inline,,,,27534201.0,ns,7005740
"pow(0, 31)",pow_alt_inline,,,,28240686.0,ns,7255945
"pow(0, 31)",pow_alt_inline,,,,29032110.0,ns,7506150
"pow(0, 31)",pow_alt_inline,,,,30267426.0,ns,7756355
"pow(0, 31)",pow_alt_inline,,,,31377531.0,ns,8006560
"pow(0, 31)",pow_alt_inline,,,,32840345.0,ns,8256765
"pow(0, 31)",pow_alt_inline,,,,33534471.0,ns,8506970
"pow(0, 31)",pow_alt_inline,,,,34448847.0,ns,8757175
"pow(0, 31)",pow_alt_inline,,,,35259097.0,ns,9007380
"pow(0, 31)",pow_alt_inline,,,,36004022.0,ns,9257585
"pow(0, 31)",pow_alt_inline,,,,37493827.0,ns,9507790
"pow(0, 31)",pow_alt_inline,,,,39506443.0,ns,9757995
"pow(0, 31)",pow_alt_inline,,,,39520034.0,ns,10008200
"pow(0, 31)",pow_alt_inline,,,,41913038.0,ns,10258405
"pow(0, 31)",pow_alt_inline,,,,42727033.0,ns,10508610
"pow(0, 31)",pow_alt_inline,,,,42665617.0,ns,10758815
