group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(0, 31)",pow_std,,,,1008133.0,ns,227302
"pow(0, 31)",pow_std,,,,2011933.0,ns,454604
"pow(0, 31)",pow_std,,,,2970754.0,ns,681906
"pow(0, 31)",pow_std,,,,3954799.0,ns,909208
"pow(0, 31)",pow_std,,,,4932771.0,ns,1136510
"pow(0, 31)",pow_std,,,,5920696.0,ns,1363812
"pow(0, 31)",pow_std,,,,6857928.0,ns,1591114
"pow(0, 31)",pow_std,,,,7862403.0,ns,1818416
"pow(0, 31)",pow_std,,,,8800995.0,ns,2045718
"pow(0, 31)",pow_std,,,,9914611.0,ns,2273020
"pow(0, 31)",pow_std,,,,10930323.0,ns,2500322
"pow(0, 31)",pow_std,,,,11803275.0,ns,2727624
"pow(0, 31)",pow_std,,,,12825724.0,ns,2954926
"pow(0, 31)",pow_std,,,,13776479.0,ns,3182228
"pow(0, 31)",pow_std,,,,14766727.0,ns,3409530
"pow(0, 31)",pow_std,,,,16063337.0,ns,3636832
"pow(0, 31)",pow_std,,,,16734617.0,ns,3864134
"pow(0, 31)",pow_std,,,,17720254.0,ns,4091436
"pow(0, 31)",pow_std,,,,18597174.0,ns,4318738
"pow(0, 31)",pow_std,,,,19566211.0,ns,4546040
"pow(0, 31)",pow_std,,,,20986657.0,ns,4773342
"pow(0, 31)",pow_std,,,,21975374.0,ns,5000644
"pow(0, 31)",pow_std,,,,22642694.0,ns,5227946
"pow(0, 31)",pow_std,,,,23664542.0,ns,5455248
"pow(0, 31)",pow_std,,,,24643471.0,ns,5682550
"pow(0, 31)",pow_std,,,,25597265.0,ns,5909852
"pow(0, 31)",pow_std,,,,26488110.0,ns,6137154
"pow(0, 31)",pow_std,,,,27510213.0,ns,6364456
"pow(0, 31)",pow_std,,,,28592330.0,ns,6591758
"pow(0, 31)",pow_std,,,,29535433.0,ns,6819060
"pow(0, 31)",pow_std,,,,31044923.0,ns,7046362
"pow(0, 31)",pow_std,,,,31761937.0,ns,7273664
"pow(0, 31)",pow_std,,,,32448565.0,ns,7500966
"pow(0, 31)",pow_std,,,,33549146.0,ns,7728268
"pow(0, 31)",pow_std,,,,34967938.0,ns,7955570
"pow(0, 31)",pow_std,,,,35836206.0,ns,8182872
"pow(0, 31)",pow_std,,,,36568789.0,ns,8410174
"pow(0, 31)",pow_std,,,,37294445.0,ns,8637476
"pow(0, 31)",pow_std,,,,38691610.0,ns,8864778
