group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(1, 31)",pow_std,,,,999945.0,ns,228413
"pow(1, 31)",pow_std,,,,2011139.0,ns,456826
"pow(1, 31)",pow_std,,,,2996626.0,ns,685239
"pow(1, 31)",pow_std,,,,4002512.0,ns,913652
"pow(1, 31)",pow_std,,,,4999017.0,ns,1142065
"pow(1, 31)",pow_std,,,,5833987.0,ns,1370478
"pow(1, 31)",pow_std,,,,6986403.0,ns,1598891
"pow(1, 31)",pow_std,,,,7825588.0,ns,1827304
"pow(1, 31)",pow_std,,,,8835372.0,ns,2055717
"pow(1, 31)",pow_std,,,,9893614.0,ns,2284130
"pow(1, 31)",pow_std,,,,11012802.0,ns,2512543
"pow(1, 31)",pow_std,,,,11798926.0,ns,2740956
"pow(1, 31)",pow_std,,,,12956584.0,ns,2969369
"pow(1, 31)",pow_std,,,,13804674.0,ns,3197782
"pow(1, 31)",pow_std,,,,15452705.0,ns,3426195
"pow(1, 31)",pow_std,,,,15775960.0,ns,3654608
"pow(1, 31)",pow_std,,,,16811517.0,ns,3883021
"pow(1, 31)",pow_std,,,,17780616.0,ns,4111434
"pow(1, 31)",pow_std,,,,18955304.0,ns,4339847
"pow(1, 31)",pow_std,,,,19824081.0,ns,4568260
"pow(1, 31)",pow_std,,,,20834526.0,ns,4796673
"pow(1, 31)",pow_std,,,,21775756.0,ns,5025086
"pow(1, 31)",pow_std,,,,22809526.0,ns,5253499
"pow(1, 31)",pow_std,,,,23766313.0,ns,5481912
"pow(1, 31)",pow_std,,,,24634936.0,ns,5710325
"pow(1, 31)",pow_std,,,,25944562.0,ns,5938738
"pow(1, 31)",pow_std,,,,26695567.0,ns,6167151
"pow(1, 31)",pow_std,,,,27632077.0,ns,6395564
"pow(1, 31)",pow_std,,,,28728042.0,ns,6623977
"pow(1, 31)",pow_std,,,,29703805.0,ns,6852390
"pow(1, 31)",pow_std,,,,30629540.0,ns,7080803
"pow(1, 31)",pow_std,,,,31872432.0,ns,7309216
"pow(1, 31)",pow_std,,,,32450848.0,ns,7537629
"pow(1, 31)",pow_std,,,,33703023.0,ns,7766042
"pow(1, 31)",pow_std,,,,34620595.0,ns,7994455
"pow(1, 31)",pow_std,,,,35537915.0,ns,8222868
"pow(1, 31)",pow_std,,,,36648429.0,ns,8451281
"pow(1, 31)",pow_std,,,,37621018.0,ns,8679694
"pow(1, 31)",pow_std,,,,38588889.0,ns,8908107
"pow(1, 31)",pow_std,,,,40093338.0,ns,9136520
"pow(1, 31)",pow_std,,,,40846706.0,ns,9364933
"pow(1, 31)",pow_std,,,,42710805.0,ns,9593346
"pow(1, 31)",pow_std,,,,53949548.0,ns,9821759
"pow(1, 31)",pow_std,,,,47873341.0,ns,10050172
"pow(1, 31)",pow_std,,,,45695507.0,ns,10278585
"pow(1, 31)",pow_std,,,,46683516.0,ns,10506998
"pow(1, 31)",pow_std,,,,48388603.0,ns,10735411
"pow(1, 31)",pow_std,,,,49915194.0,ns,10963824
"pow(1, 31)",pow_std,,,,51443331.0,ns,11192237
"pow(1, 31)",pow_std,,,,51734442.0,ns,11420650
"pow(1, 31)",pow_std,,,,51057237.0,ns,11649063
"pow(1, 31)",pow_std,,,,51845793.0,ns,11877476
"pow(1, 31)",pow_std,,,,52339631.0,ns,12105889
"pow(1, 31)",pow_std,,,,53465091.0,ns,12334302
"pow(1, 31)",pow_std,,,,54401256.0,ns,12562715
"pow(1, 31)",pow_std,,,,55452230.0,ns,12791128
"pow(1, 31)",pow_std,,,,56246478.0,ns,13019541
"pow(1, 31)",pow_std,,,,57157487.0,ns,13247954
"pow(1, 31)",pow_std,,,,58427463.0,ns,13476367
"pow(1, 31)",pow_std,,,,59265504.0,ns,13704780
"pow(1, 31)",pow_std,,,,60204293.0,ns,13933193
"pow(1, 31)",pow_std,,,,62480308.0,ns,14161606
"pow(1, 31)",pow_std,,,,62496948.0,ns,14390019
"pow(1, 31)",pow_std,,,,63303552.0,ns,14618432
"pow(1, 31)",pow_std,,,,64231718.0,ns,14846845
"pow(1, 31)",pow_std,,,,65254405.0,ns,15075258
"pow(1, 31)",pow_std,,,,66547731.0,ns,15303671
"pow(1, 31)",pow_std,,,,67135628.0,ns,15532084
"pow(1, 31)",pow_std,,,,68227255.0,ns,15760497
"pow(1, 31)",pow_std,,,,69584314.0,ns,15988910
"pow(1, 31)",pow_std,,,,70398111.0,ns,16217323
"pow(1, 31)",pow_std,,,,71351174.0,ns,16445736
"pow(1, 31)",pow_std,,,,72305688.0,ns,16674149
"pow(1, 31)",pow_std,,,,73214710.0,ns,16902562
"pow(1, 31)",pow_std,,,,74104668.0,ns,17130975
"pow(1, 31)",pow_std,,,,75396432.0,ns,17359388
"pow(1, 31)",pow_std,,,,80831807.0,ns,17587801
"pow(1, 31)",pow_std,,,,76940142.0,ns,17816214
"pow(1, 31)",pow_std,,,,78728803.0,ns,18044627
"pow(1, 31)",pow_std,,,,79246287.0,ns,18273040
"pow(1, 31)",pow_std,,,,80052324.0,ns,18501453
"pow(1, 31)",pow_std,,,,81016146.0,ns,18729866
"pow(1, 31)",pow_std,,,,83848186.0,ns,18958279
"pow(1, 31)",pow_std,,,,83027072.0,ns,19186692
"pow(1, 31)",pow_std,,,,84533243.0,ns,19415105
"pow(1, 31)",pow_std,,,,85124479.0,ns,19643518
"pow(1, 31)",pow_std,,,,86123166.0,ns,19871931
"pow(1, 31)",pow_std,,,,86986862.0,ns,20100344
"pow(1, 31)",pow_std,,,,89477292.0,ns,20328757
"pow(1, 31)",pow_std,,,,88587678.0,ns,20557170
"pow(1, 31)",pow_std,,,,90027743.0,ns,20785583
"pow(1, 31)",pow_std,,,,91199152.0,ns,21013996
"pow(1, 31)",pow_std,,,,92035036.0,ns,21242409
"pow(1, 31)",pow_std,,,,92786490.0,ns,21470822
"pow(1, 31)",pow_std,,,,93976440.0,ns,21699235
"pow(1, 31)",pow_std,,,,95050324.0,ns,21927648
"pow(1, 31)",pow_std,,,,95894005.0,ns,22156061
"pow(1, 31)",pow_std,,,,96862098.0,ns,22384474
"pow(1, 31)",pow_std,,,,98202821.0,ns,22612887
"pow(1, 31)",pow_std,,,,99455739.0,ns,22841300
