group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(2, 31)",pow_std_2opt,,,,1044726.0,ns,547915
"pow(2, 31)",pow_std_2opt,,,,1973045.0,ns,1095830
"pow(2, 31)",pow_std_2opt,,,,2958438.0,ns,1643745
"pow(2, 31)",pow_std_2opt,,,,3944138.0,ns,2191660
"pow(2, 31)",pow_std_2opt,,,,4929886.0,ns,2739575
"pow(2, 31)",pow_std_2opt,,,,5915560.0,ns,3287490
"pow(2, 31)",pow_std_2opt,,,,6922797.0,ns,3835405
"pow(2, 31)",pow_std_2opt,,,,7888266.0,ns,4383320
"pow(2, 31)",pow_std_2opt,,,,8937576.0,ns,4931235
"pow(2, 31)",pow_std_2opt,,,,9860909.0,ns,5479150
"pow(2, 31)",pow_std_2opt,,,,10853725.0,ns,6027065
"pow(2, 31)",pow_std_2opt,,,,11872981.0,ns,6574980
"pow(2, 31)",pow_std_2opt,,,,12825353.0,ns,7122895
"pow(2, 31)",pow_std_2opt,,,,13813375.0,ns,7670810
"pow(2, 31)",pow_std_2opt,,,,14790802.0,ns,8218725
"pow(2, 31)",pow_std_2opt,,,,15796695.0,ns,8766640
"pow(2, 31)",pow_std_2opt,,,,16801860.0,ns,9314555
"pow(2, 31)",pow_std_2opt,,,,17787132.0,ns,9862470
"pow(2, 31)",pow_std_2opt,,,,18734833.0,ns,10410385
"pow(2, 31)",pow_std_2opt,,,,19721113.0,ns,10958300
"pow(2, 31)",pow_std_2opt,,,,20751447.0,ns,11506215
"pow(2, 31)",pow_std_2opt,,,,21697006.0,ns,12054130
"pow(2, 31)",pow_std_2opt,,,,23158531.0,ns,12602045
"pow(2, 31)",pow_std_2opt,,,,23733734.0,ns,13149960
"pow(2, 31)",pow_std_2opt,,,,24650538.0,ns,13697875
"pow(2, 31)",pow_std_2opt,,,,25688029.0,ns,14245790
"pow(2, 31)",pow_std_2opt,,,,26623155.0,ns,14793705
"pow(2, 31)",pow_std_2opt,,,,27607599.0,ns,15341620
"pow(2, 31)",pow_std_2opt,,,,28596323.0,ns,15889535
"pow(2, 31)",pow_std_2opt,,,,29603630.0,ns,16437450
"pow(2, 31)",pow_std_2opt,,,,30641033.0,ns,16985365
"pow(2, 31)",pow_std_2opt,,,,31553089.0,ns,17533280
"pow(2, 31)",pow_std_2opt,,,,33136834.0,ns,18081195
"pow(2, 31)",pow_std_2opt,,,,33645404.0,ns,18629110
"pow(2, 31)",pow_std_2opt,,,,34818689.0,ns,19177025
"pow(2, 31)",pow_std_2opt,,,,35758850.0,ns,19724940
"pow(2, 31)",pow_std_2opt,,,,36485681.0,ns,20272855
"pow(2, 31)",pow_std_2opt,,,,37516038.0,ns,20820770
"pow(2, 31)",pow_std_2opt,,,,39084429.0,ns,21368685
"pow(2, 31)",pow_std_2opt,,,,39500312.0,ns,21916600
"pow(2, 31)",pow_std_2opt,,,,41058293.0,ns,22464515
"pow(2, 31)",pow_std_2opt,,,,42278163.0,ns,23012430
"pow(2, 31)",pow_std_2opt,,,,43138712.0,ns,23560345
"pow(2, 31)",pow_std_2opt,,,,44688002.0,ns,24108260
"pow(2, 31)",pow_std_2opt,,,,44417445.0,ns,24656175
"pow(2, 31)",pow_std_2opt,,,,45528631.0,ns,25204090
"pow(2, 31)",pow_std_2opt,,,,46345718.0,ns,25752005
"pow(2, 31)",pow_std_2opt,,,,47383400.0,ns,26299920
"pow(2, 31)",pow_std_2opt,,,,48315268.0,ns,26847835
"pow(2, 31)",pow_std_2opt,,,,50284062.0,ns,27395750
"pow(2, 31)",pow_std_2opt,,,,50536027.0,ns,27943665
"pow(2, 31)",pow_std_2opt,,,,52061931.0,ns,28491580
"pow(2, 31)",pow_std_2opt,,,,52393684.0,ns,29039495
"pow(2, 31)",pow_std_2opt,,,,53319009.0,ns,29587410
"pow(2, 31)",pow_std_2opt,,,,54269310.0,ns,30135325
"pow(2, 31)",pow_std_2opt,,,,56442787.0,ns,30683240
"pow(2, 31)",pow_std_2opt,,,,57110097.0,ns,31231155
"pow(2, 31)",pow_std_2opt,,,,58715008.0,ns,31779070
"pow(2, 31)",pow_std_2opt,,,,58753120.0,ns,32326985
"pow(2, 31)",pow_std_2opt,,,,59582165.0,ns,32874900
"pow(2, 31)",pow_std_2opt,,,,60225981.0,ns,33422815
"pow(2, 31)",pow_std_2opt,,,,61414046.0,ns,33970730
"pow(2, 31)",pow_std_2opt,,,,62143500.0,ns,34518645
"pow(2, 31)",pow_std_2opt,,,,63160029.0,ns,35066560
"pow(2, 31)",pow_std_2opt,,,,64139591.0,ns,35614475
"pow(2, 31)",pow_std_2opt,,,,65105546.0,ns,36162390
"pow(2, 31)",pow_std_2opt,,,,66462936.0,ns,36710305
"pow(2, 31)",pow_std_2opt,,,,67550346.0,ns,37258220
"pow(2, 31)",pow_std_2opt,,,,68082210.0,ns,37806135
"pow(2, 31)",pow_std_2opt,,,,69021535.0,ns,38354050
"pow(2, 31)",pow_std_2opt,,,,71567280.0,ns,38901965
"pow(2, 31)",pow_std_2opt,,,,71439596.0,ns,39449880
"pow(2, 31)",pow_std_2opt,,,,71989686.0,ns,39997795
"pow(2, 31)",pow_std_2opt,,,,72965537.0,ns,40545710
"pow(2, 31)",pow_std_2opt,,,,74026927.0,ns,41093625
"pow(2, 31)",pow_std_2opt,,,,75337182.0,ns,41641540
"pow(2, 31)",pow_std_2opt,,,,75976619.0,ns,42189455
"pow(2, 31)",pow_std_2opt,,,,76934995.0,ns,42737370
"pow(2, 31)",pow_std_2opt,,,,78007174.0,ns,43285285
"pow(2, 31)",pow_std_2opt,,,,79542152.0,ns,43833200
"pow(2, 31)",pow_std_2opt,,,,81633199.0,ns,44381115
"pow(2, 31)",pow_std_2opt,,,,80966816.0,ns,44929030
"pow(2, 31)",pow_std_2opt,,,,81844312.0,ns,45476945
"pow(2, 31)",pow_std_2opt,,,,83195746.0,ns,46024860
"pow(2, 31)",pow_std_2opt,,,,84323463.0,ns,46572775
"pow(2, 31)",pow_std_2opt,,,,84833994.0,ns,47120690
"pow(2, 31)",pow_std_2opt,,,,85920613.0,ns,47668605
