group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,4,,,1004758.0,ns,402996
"pow(3, 0..18)",pow_alt_012opt,4,,,2069828.0,ns,805992
"pow(3, 0..18)",pow_alt_012opt,4,,,2953242.0,ns,1208988
"pow(3, 0..18)",pow_alt_012opt,4,,,3937029.0,ns,1611984
"pow(3, 0..18)",pow_alt_012opt,4,,,4921141.0,ns,2014980
"pow(3, 0..18)",pow_alt_012opt,4,,,5904887.0,ns,2417976
"pow(3, 0..18)",pow_alt_012opt,4,,,6952876.0,ns,2820972
"pow(3, 0..18)",pow_alt_012opt,4,,,7934993.0,ns,3223968
"pow(3, 0..18)",pow_alt_012opt,4,,,8865588.0,ns,3626964
"pow(3, 0..18)",pow_alt_012opt,4,,,9863811.0,ns,4029960
"pow(3, 0..18)",pow_alt_012opt,4,,,10825940.0,ns,4432956
"pow(3, 0..18)",pow_alt_012opt,4,,,11894981.0,ns,4835952
"pow(3, 0..18)",pow_alt_012opt,4,,,12796207.0,ns,5238948
"pow(3, 0..18)",pow_alt_012opt,4,,,13784700.0,ns,5641944
"pow(3, 0..18)",pow_alt_012opt,4,,,14763962.0,ns,6044940
"pow(3, 0..18)",pow_alt_012opt,4,,,15756266.0,ns,6447936
"pow(3, 0..18)",pow_alt_012opt,4,,,17261355.0,ns,6850932
"pow(3, 0..18)",pow_alt_012opt,4,,,17798071.0,ns,7253928
"pow(3, 0..18)",pow_alt_012opt,4,,,18920773.0,ns,7656924
"pow(3, 0..18)",pow_alt_012opt,4,,,19685007.0,ns,8059920
"pow(3, 0..18)",pow_alt_012opt,4,,,20738252.0,ns,8462916
"pow(3, 0..18)",pow_alt_012opt,4,,,22118968.0,ns,8865912
"pow(3, 0..18)",pow_alt_012opt,4,,,22645325.0,ns,9268908
"pow(3, 0..18)",pow_alt_012opt,4,,,23672883.0,ns,9671904
"pow(3, 0..18)",pow_alt_012opt,4,,,24626411.0,ns,10074900
"pow(3, 0..18)",pow_alt_012opt,4,,,25655892.0,ns,10477896
"pow(3, 0..18)",pow_alt_012opt,4,,,26584131.0,ns,10880892
"pow(3, 0..18)",pow_alt_012opt,4,,,27565682.0,ns,11283888
"pow(3, 0..18)",pow_alt_012opt,4,,,28543922.0,ns,11686884
"pow(3, 0..18)",pow_alt_012opt,4,,,29530359.0,ns,12089880
"pow(3, 0..18)",pow_alt_012opt,4,,,30520921.0,ns,12492876
"pow(3, 0..18)",pow_alt_012opt,4,,,32440191.0,ns,12895872
"pow(3, 0..18)",pow_alt_012opt,4,,,33120459.0,ns,13298868
"pow(3, 0..18)",pow_alt_012opt,4,,,33660235.0,ns,13701864
"pow(3, 0..18)",pow_alt_012opt,4,,,34549439.0,ns,14104860
"pow(3, 0..18)",pow_alt_012opt,4,,,35465222.0,ns,14507856
"pow(3, 0..18)",pow_alt_012opt,4,,,36445592.0,ns,14910852
"pow(3, 0..18)",pow_alt_012opt,4,,,37409577.0,ns,15313848
"pow(3, 0..18)",pow_alt_012opt,4,,,38438404.0,ns,15716844
"pow(3, 0..18)",pow_alt_012opt,4,,,39416841.0,ns,16119840
"pow(3, 0..18)",pow_alt_012opt,4,,,40625402.0,ns,16522836
"pow(3, 0..18)",pow_alt_012opt,4,,,41363821.0,ns,16925832
"pow(3, 0..18)",pow_alt_012opt,4,,,42323314.0,ns,17328828
"pow(3, 0..18)",pow_alt_012opt,4,,,43352628.0,ns,17731824
"pow(3, 0..18)",pow_alt_012opt,4,,,44843122.0,ns,18134820
"pow(3, 0..18)",pow_alt_012opt,4,,,45422673.0,ns,18537816
"pow(3, 0..18)",pow_alt_012opt,4,,,46360683.0,ns,18940812
"pow(3, 0..18)",pow_alt_012opt,4,,,47660037.0,ns,19343808
