group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_alt_012opt,6,,,1035136.0,ns,402236
"pow(3, 0..18)",pow_alt_012opt,6,,,2089755.0,ns,804472
"pow(3, 0..18)",pow_alt_012opt,6,,,2971584.0,ns,1206708
"pow(3, 0..18)",pow_alt_012opt,6,,,4141313.0,ns,1608944
"pow(3, 0..18)",pow_alt_012opt,6,,,5177538.0,ns,2011180
"pow(3, 0..18)",pow_alt_012opt,6,,,6211223.0,ns,2413416
"pow(3, 0..18)",pow_alt_012opt,6,,,7280299.0,ns,2815652
"pow(3, 0..18)",pow_alt_012opt,6,,,7960540.0,ns,3217888
"pow(3, 0..18)",pow_alt_012opt,6,,,9051957.0,ns,3620124
"pow(3, 0..18)",pow_alt_012opt,6,,,9825183.0,ns,4022360
"pow(3, 0..18)",pow_alt_012opt,6,,,11040330.0,ns,4424596
"pow(3, 0..18)",pow_alt_012opt,6,,,11990425.0,ns,4826832
"pow(3, 0..18)",pow_alt_012opt,6,,,12773038.0,ns,5229068
"pow(3, 0..18)",pow_alt_012opt,6,,,13752829.0,ns,5631304
"pow(3, 0..18)",pow_alt_012opt,6,,,14736120.0,ns,6033540
"pow(3, 0..18)",pow_alt_012opt,6,,,15726978.0,ns,6435776
"pow(3, 0..18)",pow_alt_012opt,6,,,16700239.0,ns,6838012
"pow(3, 0..18)",pow_alt_012opt,6,,,17736610.0,ns,7240248
"pow(3, 0..18)",pow_alt_012opt,6,,,18685134.0,ns,7642484
"pow(3, 0..18)",pow_alt_012opt,6,,,19647654.0,ns,8044720
"pow(3, 0..18)",pow_alt_012opt,6,,,20642448.0,ns,8446956
"pow(3, 0..18)",pow_alt_012opt,6,,,22645545.0,ns,8849192
"pow(3, 0..18)",pow_alt_012opt,6,,,23462815.0,ns,9251428
"pow(3, 0..18)",pow_alt_012opt,6,,,24129588.0,ns,9653664
"pow(3, 0..18)",pow_alt_012opt,6,,,24751099.0,ns,10055900
"pow(3, 0..18)",pow_alt_012opt,6,,,25742565.0,ns,10458136
"pow(3, 0..18)",pow_alt_012opt,6,,,26975088.0,ns,10860372
"pow(3, 0..18)",pow_alt_012opt,6,,,27689092.0,ns,11262608
"pow(3, 0..18)",pow_alt_012opt,6,,,28651359.0,ns,11664844
"pow(3, 0..18)",pow_alt_012opt,6,,,29471046.0,ns,12067080
"pow(3, 0..18)",pow_alt_012opt,6,,,30561918.0,ns,12469316
"pow(3, 0..18)",pow_alt_012opt,6,,,31681508.0,ns,12871552
"pow(3, 0..18)",pow_alt_012opt,6,,,32554054.0,ns,13273788
"pow(3, 0..18)",pow_alt_012opt,6,,,33641537.0,ns,13676024
"pow(3, 0..18)",pow_alt_012opt,6,,,35049864.0,ns,14078260
"pow(3, 0..18)",pow_alt_012opt,6,,,35627993.0,ns,14480496
"pow(3, 0..18)",pow_alt_012opt,6,,,36411321.0,ns,14882732
"pow(3, 0..18)",pow_alt_012opt,6,,,37336818.0,ns,15284968
"pow(3, 0..18)",pow_alt_012opt,6,,,38312179.0,ns,15687204
"pow(3, 0..18)",pow_alt_012opt,6,,,39520702.0,ns,16089440
"pow(3, 0..18)",pow_alt_012opt,6,,,40387350.0,ns,16491676
"pow(3, 0..18)",pow_alt_012opt,6,,,41525029.0,ns,16893912
"pow(3, 0..18)",pow_alt_012opt,6,,,43402255.0,ns,17296148
"pow(3, 0..18)",pow_alt_012opt,6,,,43224898.0,ns,17698384
"pow(3, 0..18)",pow_alt_012opt,6,,,44730762.0,ns,18100620
"pow(3, 0..18)",pow_alt_012opt,6,,,46519666.0,ns,18502856
"pow(3, 0..18)",pow_alt_012opt,6,,,46734152.0,ns,18905092
"pow(3, 0..18)",pow_alt_012opt,6,,,48134031.0,ns,19307328
"pow(3, 0..18)",pow_alt_012opt,6,,,49505133.0,ns,19709564
"pow(3, 0..18)",pow_alt_012opt,6,,,50752637.0,ns,20111800
"pow(3, 0..18)",pow_alt_012opt,6,,,52081288.0,ns,20514036
"pow(3, 0..18)",pow_alt_012opt,6,,,52811437.0,ns,20916272
"pow(3, 0..18)",pow_alt_012opt,6,,,52595263.0,ns,21318508
"pow(3, 0..18)",pow_alt_012opt,6,,,53322676.0,ns,21720744
"pow(3, 0..18)",pow_alt_012opt,6,,,54121896.0,ns,22122980
"pow(3, 0..18)",pow_alt_012opt,6,,,55473505.0,ns,22525216
"pow(3, 0..18)",pow_alt_012opt,6,,,56718267.0,ns,22927452
"pow(3, 0..18)",pow_alt_012opt,6,,,57657621.0,ns,23329688
"pow(3, 0..18)",pow_alt_012opt,6,,,60372640.0,ns,23731924
"pow(3, 0..18)",pow_alt_012opt,6,,,62961978.0,ns,24134160
