group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,1,,,1390070.0,ns,547387
"pow(3, 0..18)",pow_std,1,,,2443982.0,ns,1094774
"pow(3, 0..18)",pow_std,1,,,3496679.0,ns,1642161
"pow(3, 0..18)",pow_std,1,,,4060990.0,ns,2189548
"pow(3, 0..18)",pow_std,1,,,5029833.0,ns,2736935
"pow(3, 0..18)",pow_std,1,,,6007852.0,ns,3284322
"pow(3, 0..18)",pow_std,1,,,6965569.0,ns,3831709
"pow(3, 0..18)",pow_std,1,,,8010907.0,ns,4379096
"pow(3, 0..18)",pow_std,1,,,9306767.0,ns,4926483
"pow(3, 0..18)",pow_std,1,,,9923694.0,ns,5473870
"pow(3, 0..18)",pow_std,1,,,10856335.0,ns,6021257
"pow(3, 0..18)",pow_std,1,,,11968012.0,ns,6568644
"pow(3, 0..18)",pow_std,1,,,12814491.0,ns,7116031
"pow(3, 0..18)",pow_std,1,,,13791853.0,ns,7663418
"pow(3, 0..18)",pow_std,1,,,14782433.0,ns,8210805
"pow(3, 0..18)",pow_std,1,,,15785405.0,ns,8758192
"pow(3, 0..18)",pow_std,1,,,16746121.0,ns,9305579
"pow(3, 0..18)",pow_std,1,,,17732124.0,ns,9852966
"pow(3, 0..18)",pow_std,1,,,18737201.0,ns,10400353
"pow(3, 0..18)",pow_std,1,,,19702524.0,ns,10947740
"pow(3, 0..18)",pow_std,1,,,20713063.0,ns,11495127
"pow(3, 0..18)",pow_std,1,,,21671164.0,ns,12042514
"pow(3, 0..18)",pow_std,1,,,22657568.0,ns,12589901
"pow(3, 0..18)",pow_std,1,,,23641994.0,ns,13137288
"pow(3, 0..18)",pow_std,1,,,24693567.0,ns,13684675
"pow(3, 0..18)",pow_std,1,,,25999539.0,ns,14232062
"pow(3, 0..18)",pow_std,1,,,26812947.0,ns,14779449
"pow(3, 0..18)",pow_std,1,,,27582436.0,ns,15326836
"pow(3, 0..18)",pow_std,1,,,29211739.0,ns,15874223
"pow(3, 0..18)",pow_std,1,,,29608315.0,ns,16421610
"pow(3, 0..18)",pow_std,1,,,30634361.0,ns,16968997
"pow(3, 0..18)",pow_std,1,,,31559999.0,ns,17516384
"pow(3, 0..18)",pow_std,1,,,32566381.0,ns,18063771
"pow(3, 0..18)",pow_std,1,,,33533919.0,ns,18611158
"pow(3, 0..18)",pow_std,1,,,34481672.0,ns,19158545
"pow(3, 0..18)",pow_std,1,,,35486719.0,ns,19705932
"pow(3, 0..18)",pow_std,1,,,36518560.0,ns,20253319
"pow(3, 0..18)",pow_std,1,,,37559804.0,ns,20800706
"pow(3, 0..18)",pow_std,1,,,38446294.0,ns,21348093
"pow(3, 0..18)",pow_std,1,,,39442043.0,ns,21895480
"pow(3, 0..18)",pow_std,1,,,40414731.0,ns,22442867
"pow(3, 0..18)",pow_std,1,,,41375345.0,ns,22990254
"pow(3, 0..18)",pow_std,1,,,42413843.0,ns,23537641
"pow(3, 0..18)",pow_std,1,,,43957188.0,ns,24085028
"pow(3, 0..18)",pow_std,1,,,44978284.0,ns,24632415
"pow(3, 0..18)",pow_std,1,,,45380242.0,ns,25179802
"pow(3, 0..18)",pow_std,1,,,46308156.0,ns,25727189
"pow(3, 0..18)",pow_std,1,,,47303252.0,ns,26274576
"pow(3, 0..18)",pow_std,1,,,48288250.0,ns,26821963
"pow(3, 0..18)",pow_std,1,,,49338543.0,ns,27369350
"pow(3, 0..18)",pow_std,1,,,50324926.0,ns,27916737
"pow(3, 0..18)",pow_std,1,,,51253845.0,ns,28464124
"pow(3, 0..18)",pow_std,1,,,52211928.0,ns,29011511
"pow(3, 0..18)",pow_std,1,,,54643052.0,ns,29558898
"pow(3, 0..18)",pow_std,1,,,54235172.0,ns,30106285
"pow(3, 0..18)",pow_std,1,,,55939791.0,ns,30653672
"pow(3, 0..18)",pow_std,1,,,56157157.0,ns,31201059
"pow(3, 0..18)",pow_std,1,,,57256673.0,ns,31748446
"pow(3, 0..18)",pow_std,1,,,58228933.0,ns,32295833
"pow(3, 0..18)",pow_std,1,,,59185822.0,ns,32843220
"pow(3, 0..18)",pow_std,1,,,60112091.0,ns,33390607
"pow(3, 0..18)",pow_std,1,,,61188631.0,ns,33937994
"pow(3, 0..18)",pow_std,1,,,62245856.0,ns,34485381
"pow(3, 0..18)",pow_std,1,,,63309199.0,ns,35032768
"pow(3, 0..18)",pow_std,1,,,64208289.0,ns,35580155
"pow(3, 0..18)",pow_std,1,,,65645943.0,ns,36127542
"pow(3, 0..18)",pow_std,1,,,66108527.0,ns,36674929
"pow(3, 0..18)",pow_std,1,,,67095561.0,ns,37222316
"pow(3, 0..18)",pow_std,1,,,68013449.0,ns,37769703
"pow(3, 0..18)",pow_std,1,,,69430429.0,ns,38317090
"pow(3, 0..18)",pow_std,1,,,70652734.0,ns,38864477
"pow(3, 0..18)",pow_std,1,,,70987438.0,ns,39411864
"pow(3, 0..18)",pow_std,1,,,72005646.0,ns,39959251
"pow(3, 0..18)",pow_std,1,,,73247608.0,ns,40506638
"pow(3, 0..18)",pow_std,1,,,74446398.0,ns,41054025
"pow(3, 0..18)",pow_std,1,,,74887949.0,ns,41601412
"pow(3, 0..18)",pow_std,1,,,75992969.0,ns,42148799
"pow(3, 0..18)",pow_std,1,,,77185711.0,ns,42696186
"pow(3, 0..18)",pow_std,1,,,78168619.0,ns,43243573
"pow(3, 0..18)",pow_std,1,,,78825851.0,ns,43790960
"pow(3, 0..18)",pow_std,1,,,79797813.0,ns,44338347
"pow(3, 0..18)",pow_std,1,,,81541504.0,ns,44885734
"pow(3, 0..18)",pow_std,1,,,82620529.0,ns,45433121
"pow(3, 0..18)",pow_std,1,,,82874019.0,ns,45980508
