group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 0..18)",pow_std,15,,,1000383.0,ns,293347
"pow(3, 0..18)",pow_std,15,,,2022133.0,ns,586694
"pow(3, 0..18)",pow_std,15,,,2940327.0,ns,880041
"pow(3, 0..18)",pow_std,15,,,3921677.0,ns,1173388
"pow(3, 0..18)",pow_std,15,,,4903047.0,ns,1466735
"pow(3, 0..18)",pow_std,15,,,5901379.0,ns,1760082
"pow(3, 0..18)",pow_std,15,,,6863241.0,ns,2053429
"pow(3, 0..18)",pow_std,15,,,8132530.0,ns,2346776
"pow(3, 0..18)",pow_std,15,,,8824178.0,ns,2640123
"pow(3, 0..18)",pow_std,15,,,9869381.0,ns,2933470
"pow(3, 0..18)",pow_std,15,,,10824595.0,ns,3226817
"pow(3, 0..18)",pow_std,15,,,11765213.0,ns,3520164
"pow(3, 0..18)",pow_std,15,,,12784628.0,ns,3813511
"pow(3, 0..18)",pow_std,15,,,13765135.0,ns,4106858
"pow(3, 0..18)",pow_std,15,,,14752484.0,ns,4400205
"pow(3, 0..18)",pow_std,15,,,15705097.0,ns,4693552
"pow(3, 0..18)",pow_std,15,,,16667853.0,ns,4986899
"pow(3, 0..18)",pow_std,15,,,17725893.0,ns,5280246
"pow(3, 0..18)",pow_std,15,,,18771917.0,ns,5573593
"pow(3, 0..18)",pow_std,15,,,19616060.0,ns,5866940
"pow(3, 0..18)",pow_std,15,,,20760974.0,ns,6160287
"pow(3, 0..18)",pow_std,15,,,21588817.0,ns,6453634
"pow(3, 0..18)",pow_std,15,,,22549705.0,ns,6746981
"pow(3, 0..18)",pow_std,15,,,23529885.0,ns,7040328
"pow(3, 0..18)",pow_std,15,,,24531714.0,ns,7333675
"pow(3, 0..18)",pow_std,15,,,25535367.0,ns,7627022
"pow(3, 0..18)",pow_std,15,,,26471719.0,ns,7920369
"pow(3, 0..18)",pow_std,15,,,27459003.0,ns,8213716
"pow(3, 0..18)",pow_std,15,,,29865982.0,ns,8507063
"pow(3, 0..18)",pow_std,15,,,29644851.0,ns,8800410
"pow(3, 0..18)",pow_std,15,,,30824864.0,ns,9093757
"pow(3, 0..18)",pow_std,15,,,31403029.0,ns,9387104
"pow(3, 0..18)",pow_std,15,,,32399717.0,ns,9680451
"pow(3, 0..18)",pow_std,15,,,33385169.0,ns,9973798
"pow(3, 0..18)",pow_std,15,,,34590720.0,ns,10267145
"pow(3, 0..18)",pow_std,15,,,35392878.0,ns,10560492
"pow(3, 0..18)",pow_std,15,,,36321778.0,ns,10853839
"pow(3, 0..18)",pow_std,15,,,37505518.0,ns,11147186
"pow(3, 0..18)",pow_std,15,,,38288783.0,ns,11440533
"pow(3, 0..18)",pow_std,15,,,39256713.0,ns,11733880
"pow(3, 0..18)",pow_std,15,,,40252036.0,ns,12027227
"pow(3, 0..18)",pow_std,15,,,41235725.0,ns,12320574
"pow(3, 0..18)",pow_std,15,,,42485594.0,ns,12613921
"pow(3, 0..18)",pow_std,15,,,43264700.0,ns,12907268
"pow(3, 0..18)",pow_std,15,,,44160089.0,ns,13200615
"pow(3, 0..18)",pow_std,15,,,45291468.0,ns,13493962
"pow(3, 0..18)",pow_std,15,,,46546615.0,ns,13787309
"pow(3, 0..18)",pow_std,15,,,47120835.0,ns,14080656
"pow(3, 0..18)",pow_std,15,,,48527019.0,ns,14374003
"pow(3, 0..18)",pow_std,15,,,49413484.0,ns,14667350
"pow(3, 0..18)",pow_std,15,,,50041101.0,ns,14960697
"pow(3, 0..18)",pow_std,15,,,51038733.0,ns,15254044
"pow(3, 0..18)",pow_std,15,,,52530402.0,ns,15547391
"pow(3, 0..18)",pow_std,15,,,53235879.0,ns,15840738
"pow(3, 0..18)",pow_std,15,,,57041102.0,ns,16134085
"pow(3, 0..18)",pow_std,15,,,55050247.0,ns,16427432
"pow(3, 0..18)",pow_std,15,,,55888604.0,ns,16720779
"pow(3, 0..18)",pow_std,15,,,56978133.0,ns,17014126
"pow(3, 0..18)",pow_std,15,,,58254315.0,ns,17307473
"pow(3, 0..18)",pow_std,15,,,58856314.0,ns,17600820
"pow(3, 0..18)",pow_std,15,,,60081326.0,ns,17894167
"pow(3, 0..18)",pow_std,15,,,60813507.0,ns,18187514
"pow(3, 0..18)",pow_std,15,,,61911632.0,ns,18480861
"pow(3, 0..18)",pow_std,15,,,62791124.0,ns,18774208
"pow(3, 0..18)",pow_std,15,,,63843368.0,ns,19067555
"pow(3, 0..18)",pow_std,15,,,65217554.0,ns,19360902
"pow(3, 0..18)",pow_std,15,,,65951858.0,ns,19654249
"pow(3, 0..18)",pow_std,15,,,66688595.0,ns,19947596
"pow(3, 0..18)",pow_std,15,,,67674790.0,ns,20240943
"pow(3, 0..18)",pow_std,15,,,69650237.0,ns,20534290
"pow(3, 0..18)",pow_std,15,,,69723500.0,ns,20827637
"pow(3, 0..18)",pow_std,15,,,70684334.0,ns,21120984
"pow(3, 0..18)",pow_std,15,,,71599351.0,ns,21414331
"pow(3, 0..18)",pow_std,15,,,72876306.0,ns,21707678
"pow(3, 0..18)",pow_std,15,,,73581632.0,ns,22001025
"pow(3, 0..18)",pow_std,15,,,74575885.0,ns,22294372
"pow(3, 0..18)",pow_std,15,,,75496512.0,ns,22587719
"pow(3, 0..18)",pow_std,15,,,76841529.0,ns,22881066
"pow(3, 0..18)",pow_std,15,,,77549885.0,ns,23174413
"pow(3, 0..18)",pow_std,15,,,79098569.0,ns,23467760
"pow(3, 0..18)",pow_std,15,,,79551175.0,ns,23761107
"pow(3, 0..18)",pow_std,15,,,80413704.0,ns,24054454
"pow(3, 0..18)",pow_std,15,,,83780104.0,ns,24347801
"pow(3, 0..18)",pow_std,15,,,82490475.0,ns,24641148
"pow(3, 0..18)",pow_std,15,,,83477326.0,ns,24934495
"pow(3, 0..18)",pow_std,15,,,85068733.0,ns,25227842
"pow(3, 0..18)",pow_std,15,,,85581099.0,ns,25521189
"pow(3, 0..18)",pow_std,15,,,86315046.0,ns,25814536
"pow(3, 0..18)",pow_std,15,,,87420632.0,ns,26107883
"pow(3, 0..18)",pow_std,15,,,88375020.0,ns,26401230
"pow(3, 0..18)",pow_std,15,,,89496784.0,ns,26694577
"pow(3, 0..18)",pow_std,15,,,90267013.0,ns,26987924
"pow(3, 0..18)",pow_std,15,,,91521889.0,ns,27281271
"pow(3, 0..18)",pow_std,15,,,92193826.0,ns,27574618
"pow(3, 0..18)",pow_std,15,,,94242428.0,ns,27867965
"pow(3, 0..18)",pow_std,15,,,94318090.0,ns,28161312
"pow(3, 0..18)",pow_std,15,,,95225863.0,ns,28454659
"pow(3, 0..18)",pow_std,15,,,96418322.0,ns,28748006
"pow(3, 0..18)",pow_std,15,,,97407445.0,ns,29041353
"pow(3, 0..18)",pow_std,15,,,98121240.0,ns,29334700
