group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 18)",u32::pow,,,,1004012.0,ns,239328
"pow(3, 18)",u32::pow,,,,2010473.0,ns,478656
"pow(3, 18)",u32::pow,,,,2952477.0,ns,717984
"pow(3, 18)",u32::pow,,,,3938474.0,ns,957312
"pow(3, 18)",u32::pow,,,,4923944.0,ns,1196640
"pow(3, 18)",u32::pow,,,,5906136.0,ns,1435968
"pow(3, 18)",u32::pow,,,,6891831.0,ns,1675296
"pow(3, 18)",u32::pow,,,,7876816.0,ns,1914624
"pow(3, 18)",u32::pow,,,,8860691.0,ns,2153952
"pow(3, 18)",u32::pow,,,,9845324.0,ns,2393280
"pow(3, 18)",u32::pow,,,,10828066.0,ns,2632608
"pow(3, 18)",u32::pow,,,,11833028.0,ns,2871936
"pow(3, 18)",u32::pow,,,,12842107.0,ns,3111264
"pow(3, 18)",u32::pow,,,,13783634.0,ns,3350592
"pow(3, 18)",u32::pow,,,,14773233.0,ns,3589920
"pow(3, 18)",u32::pow,,,,15751203.0,ns,3829248
"pow(3, 18)",u32::pow,,,,16743885.0,ns,4068576
"pow(3, 18)",u32::pow,,,,17720617.0,ns,4307904
"pow(3, 18)",u32::pow,,,,19017447.0,ns,4547232
"pow(3, 18)",u32::pow,,,,19858757.0,ns,4786560
"pow(3, 18)",u32::pow,,,,20721704.0,ns,5025888
"pow(3, 18)",u32::pow,,,,21658641.0,ns,5265216
"pow(3, 18)",u32::pow,,,,22642986.0,ns,5504544
"pow(3, 18)",u32::pow,,,,23649474.0,ns,5743872
"pow(3, 18)",u32::pow,,,,24611792.0,ns,5983200
"pow(3, 18)",u32::pow,,,,25633258.0,ns,6222528
"pow(3, 18)",u32::pow,,,,26587603.0,ns,6461856
"pow(3, 18)",u32::pow,,,,27628537.0,ns,6701184
"pow(3, 18)",u32::pow,,,,28653857.0,ns,6940512
"pow(3, 18)",u32::pow,,,,29637048.0,ns,7179840
"pow(3, 18)",u32::pow,,,,30538488.0,ns,7419168
"pow(3, 18)",u32::pow,,,,31657079.0,ns,7658496
"pow(3, 18)",u32::pow,,,,32487091.0,ns,7897824
"pow(3, 18)",u32::pow,,,,33514939.0,ns,8137152
"pow(3, 18)",u32::pow,,,,34867041.0,ns,8376480
"pow(3, 18)",u32::pow,,,,35441711.0,ns,8615808
"pow(3, 18)",u32::pow,,,,36469035.0,ns,8855136
"pow(3, 18)",u32::pow,,,,37433049.0,ns,9094464
"pow(3, 18)",u32::pow,,,,38395984.0,ns,9333792
"pow(3, 18)",u32::pow,,,,39559577.0,ns,9573120
"pow(3, 18)",u32::pow,,,,40457551.0,ns,9812448
"pow(3, 18)",u32::pow,,,,41441891.0,ns,10051776
"pow(3, 18)",u32::pow,,,,42351890.0,ns,10291104
"pow(3, 18)",u32::pow,,,,43380233.0,ns,10530432
"pow(3, 18)",u32::pow,,,,44320362.0,ns,10769760
"pow(3, 18)",u32::pow,,,,45286648.0,ns,11009088
"pow(3, 18)",u32::pow,,,,46362451.0,ns,11248416
"pow(3, 18)",u32::pow,,,,47254182.0,ns,11487744
"pow(3, 18)",u32::pow,,,,49003990.0,ns,11727072
"pow(3, 18)",u32::pow,,,,49907544.0,ns,11966400
"pow(3, 18)",u32::pow,,,,50207859.0,ns,12205728
"pow(3, 18)",u32::pow,,,,51246644.0,ns,12445056
"pow(3, 18)",u32::pow,,,,52218586.0,ns,12684384
"pow(3, 18)",u32::pow,,,,53333679.0,ns,12923712
"pow(3, 18)",u32::pow,,,,54302476.0,ns,13163040
"pow(3, 18)",u32::pow,,,,55284536.0,ns,13402368
"pow(3, 18)",u32::pow,,,,56692571.0,ns,13641696
"pow(3, 18)",u32::pow,,,,57102118.0,ns,13881024
"pow(3, 18)",u32::pow,,,,58163916.0,ns,14120352
"pow(3, 18)",u32::pow,,,,59075537.0,ns,14359680
"pow(3, 18)",u32::pow,,,,61182892.0,ns,14599008
"pow(3, 18)",u32::pow,,,,61991063.0,ns,14838336
