group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt,,,,1007112.0,ns,377540
"pow(3, 7)",pow_alt,,,,2068502.0,ns,755080
"pow(3, 7)",pow_alt,,,,3203827.0,ns,1132620
"pow(3, 7)",pow_alt,,,,4270626.0,ns,1510160
"pow(3, 7)",pow_alt,,,,5168479.0,ns,1887700
"pow(3, 7)",pow_alt,,,,5855894.0,ns,2265240
"pow(3, 7)",pow_alt,,,,6928131.0,ns,2642780
"pow(3, 7)",pow_alt,,,,8032004.0,ns,3020320
"pow(3, 7)",pow_alt,,,,8958602.0,ns,3397860
"pow(3, 7)",pow_alt,,,,9952608.0,ns,3775400
"pow(3, 7)",pow_alt,,,,10854612.0,ns,4152940
"pow(3, 7)",pow_alt,,,,11801024.0,ns,4530480
"pow(3, 7)",pow_alt,,,,12861136.0,ns,4908020
"pow(3, 7)",pow_alt,,,,14041647.0,ns,5285560
"pow(3, 7)",pow_alt,,,,14845191.0,ns,5663100
"pow(3, 7)",pow_alt,,,,15741835.0,ns,6040640
"pow(3, 7)",pow_alt,,,,17470572.0,ns,6418180
"pow(3, 7)",pow_alt,,,,17810061.0,ns,6795720
"pow(3, 7)",pow_alt,,,,18776785.0,ns,7173260
"pow(3, 7)",pow_alt,,,,19766981.0,ns,7550800
"pow(3, 7)",pow_alt,,,,20759223.0,ns,7928340
"pow(3, 7)",pow_alt,,,,24402509.0,ns,8305880
"pow(3, 7)",pow_alt,,,,23016529.0,ns,8683420
"pow(3, 7)",pow_alt,,,,23664509.0,ns,9060960
"pow(3, 7)",pow_alt,,,,25005503.0,ns,9438500
"pow(3, 7)",pow_alt,,,,25932744.0,ns,9816040
"pow(3, 7)",pow_alt,,,,26617578.0,ns,10193580
"pow(3, 7)",pow_alt,,,,27869192.0,ns,10571120
"pow(3, 7)",pow_alt,,,,29151337.0,ns,10948660
"pow(3, 7)",pow_alt,,,,31232113.0,ns,11326200
"pow(3, 7)",pow_alt,,,,30742081.0,ns,11703740
"pow(3, 7)",pow_alt,,,,31654101.0,ns,12081280
"pow(3, 7)",pow_alt,,,,33320088.0,ns,12458820
"pow(3, 7)",pow_alt,,,,33862333.0,ns,12836360
"pow(3, 7)",pow_alt,,,,34722025.0,ns,13213900
"pow(3, 7)",pow_alt,,,,35615863.0,ns,13591440
"pow(3, 7)",pow_alt,,,,36543372.0,ns,13968980
"pow(3, 7)",pow_alt,,,,37512716.0,ns,14346520
"pow(3, 7)",pow_alt,,,,38574563.0,ns,14724060
"pow(3, 7)",pow_alt,,,,39529830.0,ns,15101600
"pow(3, 7)",pow_alt,,,,40525898.0,ns,15479140
"pow(3, 7)",pow_alt,,,,41551449.0,ns,15856680
"pow(3, 7)",pow_alt,,,,42601122.0,ns,16234220
"pow(3, 7)",pow_alt,,,,43460493.0,ns,16611760
"pow(3, 7)",pow_alt,,,,44623894.0,ns,16989300
"pow(3, 7)",pow_alt,,,,45416958.0,ns,17366840
"pow(3, 7)",pow_alt,,,,46407019.0,ns,17744380
"pow(3, 7)",pow_alt,,,,47604590.0,ns,18121920
"pow(3, 7)",pow_alt,,,,48935861.0,ns,18499460
"pow(3, 7)",pow_alt,,,,52792162.0,ns,18877000
"pow(3, 7)",pow_alt,,,,52510864.0,ns,19254540
"pow(3, 7)",pow_alt,,,,52251846.0,ns,19632080
"pow(3, 7)",pow_alt,,,,52461609.0,ns,20009620
"pow(3, 7)",pow_alt,,,,55431468.0,ns,20387160
"pow(3, 7)",pow_alt,,,,55424323.0,ns,20764700
"pow(3, 7)",pow_alt,,,,55466829.0,ns,21142240
"pow(3, 7)",pow_alt,,,,56372899.0,ns,21519780
"pow(3, 7)",pow_alt,,,,57980979.0,ns,21897320
