group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt_2opt_inline,,,,1007458.0,ns,377387
"pow(3, 7)",pow_alt_2opt_inline,,,,2500550.0,ns,754774
"pow(3, 7)",pow_alt_2opt_inline,,,,3203717.0,ns,1132161
"pow(3, 7)",pow_alt_2opt_inline,,,,3946470.0,ns,1509548
"pow(3, 7)",pow_alt_2opt_inline,,,,4898186.0,ns,1886935
"pow(3, 7)",pow_alt_2opt_inline,,,,5847824.0,ns,2264322
"pow(3, 7)",pow_alt_2opt_inline,,,,6883508.0,ns,2641709
"pow(3, 7)",pow_alt_2opt_inline,,,,7827282.0,ns,3019096
"pow(3, 7)",pow_alt_2opt_inline,,,,8816606.0,ns,3396483
"pow(3, 7)",pow_alt_2opt_inline,,,,9769815.0,ns,3773870
"pow(3, 7)",pow_alt_2opt_inline,,,,10675270.0,ns,4151257
"pow(3, 7)",pow_alt_2opt_inline,,,,11685796.0,ns,4528644
"pow(3, 7)",pow_alt_2opt_inline,,,,12617659.0,ns,4906031
"pow(3, 7)",pow_alt_2opt_inline,,,,13587153.0,ns,5283418
"pow(3, 7)",pow_alt_2opt_inline,,,,14559212.0,ns,5660805
"pow(3, 7)",pow_alt_2opt_inline,,,,15527222.0,ns,6038192
"pow(3, 7)",pow_alt_2opt_inline,,,,16525256.0,ns,6415579
"pow(3, 7)",pow_alt_2opt_inline,,,,17497364.0,ns,6792966
"pow(3, 7)",pow_alt_2opt_inline,,,,18450578.0,ns,7170353
"pow(3, 7)",pow_alt_2opt_inline,,,,19417495.0,ns,7547740
"pow(3, 7)",pow_alt_2opt_inline,,,,20381390.0,ns,7925127
"pow(3, 7)",pow_alt_2opt_inline,,,,21375262.0,ns,8302514
"pow(3, 7)",pow_alt_2opt_inline,,,,22481071.0,ns,8679901
"pow(3, 7)",pow_alt_2opt_inline,,,,23319682.0,ns,9057288
"pow(3, 7)",pow_alt_2opt_inline,,,,27833982.0,ns,9434675
"pow(3, 7)",pow_alt_2opt_inline,,,,25968033.0,ns,9812062
"pow(3, 7)",pow_alt_2opt_inline,,,,27370144.0,ns,10189449
"pow(3, 7)",pow_alt_2opt_inline,,,,27276540.0,ns,10566836
"pow(3, 7)",pow_alt_2opt_inline,,,,32715884.0,ns,10944223
"pow(3, 7)",pow_alt_2opt_inline,,,,47304241.0,ns,11321610
"pow(3, 7)",pow_alt_2opt_inline,,,,31037166.0,ns,11698997
"pow(3, 7)",pow_alt_2opt_inline,,,,31720556.0,ns,12076384
"pow(3, 7)",pow_alt_2opt_inline,,,,32539597.0,ns,12453771
"pow(3, 7)",pow_alt_2opt_inline,,,,33002721.0,ns,12831158
"pow(3, 7)",pow_alt_2opt_inline,,,,34059411.0,ns,13208545
"pow(3, 7)",pow_alt_2opt_inline,,,,34573817.0,ns,13585932
"pow(3, 7)",pow_alt_2opt_inline,,,,36460408.0,ns,13963319
"pow(3, 7)",pow_alt_2opt_inline,,,,37066567.0,ns,14340706
"pow(3, 7)",pow_alt_2opt_inline,,,,37900966.0,ns,14718093
"pow(3, 7)",pow_alt_2opt_inline,,,,38899833.0,ns,15095480
"pow(3, 7)",pow_alt_2opt_inline,,,,39807988.0,ns,15472867
"pow(3, 7)",pow_alt_2opt_inline,,,,40753935.0,ns,15850254
"pow(3, 7)",pow_alt_2opt_inline,,,,41778708.0,ns,16227641
"pow(3, 7)",pow_alt_2opt_inline,,,,42743030.0,ns,16605028
"pow(3, 7)",pow_alt_2opt_inline,,,,43848444.0,ns,16982415
"pow(3, 7)",pow_alt_2opt_inline,,,,44653464.0,ns,17359802
"pow(3, 7)",pow_alt_2opt_inline,,,,45607827.0,ns,17737189
"pow(3, 7)",pow_alt_2opt_inline,,,,46594435.0,ns,18114576
"pow(3, 7)",pow_alt_2opt_inline,,,,47672832.0,ns,18491963
"pow(3, 7)",pow_alt_2opt_inline,,,,48079390.0,ns,18869350
"pow(3, 7)",pow_alt_2opt_inline,,,,49486643.0,ns,19246737
"pow(3, 7)",pow_alt_2opt_inline,,,,50499523.0,ns,19624124
"pow(3, 7)",pow_alt_2opt_inline,,,,51429165.0,ns,20001511
"pow(3, 7)",pow_alt_2opt_inline,,,,52395730.0,ns,20378898
"pow(3, 7)",pow_alt_2opt_inline,,,,53020506.0,ns,20756285
"pow(3, 7)",pow_alt_2opt_inline,,,,54625593.0,ns,21133672
"pow(3, 7)",pow_alt_2opt_inline,,,,54917431.0,ns,21511059
"pow(3, 7)",pow_alt_2opt_inline,,,,56151846.0,ns,21888446
"pow(3, 7)",pow_alt_2opt_inline,,,,58950587.0,ns,22265833
