group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(3, 7)",pow_alt_inline,,,,1023233.0,ns,426169
"pow(3, 7)",pow_alt_inline,,,,2020189.0,ns,852338
"pow(3, 7)",pow_alt_inline,,,,2991776.0,ns,1278507
"pow(3, 7)",pow_alt_inline,,,,3982142.0,ns,1704676
"pow(3, 7)",pow_alt_inline,,,,4959359.0,ns,2130845
"pow(3, 7)",pow_alt_inline,,,,5936755.0,ns,2557014
"pow(3, 7)",pow_alt_inline,,,,7019693.0,ns,2983183
"pow(3, 7)",pow_alt_inline,,,,8041368.0,ns,3409352
"pow(3, 7)",pow_alt_inline,,,,8984053.0,ns,3835521
"pow(3, 7)",pow_alt_inline,,,,9942104.0,ns,4261690
"pow(3, 7)",pow_alt_inline,,,,10854064.0,ns,4687859
"pow(3, 7)",pow_alt_inline,,,,11852294.0,ns,5114028
"pow(3, 7)",pow_alt_inline,,,,12825629.0,ns,5540197
"pow(3, 7)",pow_alt_inline,,,,13822492.0,ns,5966366
"pow(3, 7)",pow_alt_inline,,,,15897151.0,ns,6392535
"pow(3, 7)",pow_alt_inline,,,,16464046.0,ns,6818704
"pow(3, 7)",pow_alt_inline,,,,16853903.0,ns,7244873
"pow(3, 7)",pow_alt_inline,,,,17763126.0,ns,7671042
"pow(3, 7)",pow_alt_inline,,,,18814619.0,ns,8097211
"pow(3, 7)",pow_alt_inline,,,,19750902.0,ns,8523380
"pow(3, 7)",pow_alt_inline,,,,20788017.0,ns,8949549
"pow(3, 7)",pow_alt_inline,,,,21788013.0,ns,9375718
"pow(3, 7)",pow_alt_inline,,,,22724887.0,ns,9801887
"pow(3, 7)",pow_alt_inline,,,,23715068.0,ns,10228056
"pow(3, 7)",pow_alt_inline,,,,24676944.0,ns,10654225
"pow(3, 7)",pow_alt_inline,,,,25777969.0,ns,11080394
"pow(3, 7)",pow_alt_inline,,,,27994244.0,ns,11506563
"pow(3, 7)",pow_alt_inline,,,,27809397.0,ns,11932732
"pow(3, 7)",pow_alt_inline,,,,28596182.0,ns,12358901
"pow(3, 7)",pow_alt_inline,,,,29649646.0,ns,12785070
"pow(3, 7)",pow_alt_inline,,,,30649290.0,ns,13211239
"pow(3, 7)",pow_alt_inline,,,,31565377.0,ns,13637408
"pow(3, 7)",pow_alt_inline,,,,32579886.0,ns,14063577
"pow(3, 7)",pow_alt_inline,,,,33546066.0,ns,14489746
"pow(3, 7)",pow_alt_inline,,,,35788703.0,ns,14915915
"pow(3, 7)",pow_alt_inline,,,,35715936.0,ns,15342084
"pow(3, 7)",pow_alt_inline,,,,36566977.0,ns,15768253
"pow(3, 7)",pow_alt_inline,,,,39087472.0,ns,16194422
"pow(3, 7)",pow_alt_inline,,,,38531538.0,ns,16620591
"pow(3, 7)",pow_alt_inline,,,,39441643.0,ns,17046760
"pow(3, 7)",pow_alt_inline,,,,40476225.0,ns,17472929
"pow(3, 7)",pow_alt_inline,,,,41485343.0,ns,17899098
"pow(3, 7)",pow_alt_inline,,,,42855477.0,ns,18325267
"pow(3, 7)",pow_alt_inline,,,,43416222.0,ns,18751436
"pow(3, 7)",pow_alt_inline,,,,44484205.0,ns,19177605
"pow(3, 7)",pow_alt_inline,,,,45628709.0,ns,19603774
"pow(3, 7)",pow_alt_inline,,,,46371281.0,ns,20029943
"pow(3, 7)",pow_alt_inline,,,,47426195.0,ns,20456112
"pow(3, 7)",pow_alt_inline,,,,48526169.0,ns,20882281
"pow(3, 7)",pow_alt_inline,,,,49448578.0,ns,21308450
"pow(3, 7)",pow_alt_inline,,,,50370787.0,ns,21734619
"pow(3, 7)",pow_alt_inline,,,,51906109.0,ns,22160788
"pow(3, 7)",pow_alt_inline,,,,52609428.0,ns,22586957
"pow(3, 7)",pow_alt_inline,,,,53818322.0,ns,23013126
"pow(3, 7)",pow_alt_inline,,,,54782829.0,ns,23439295
"pow(3, 7)",pow_alt_inline,,,,55582493.0,ns,23865464
"pow(3, 7)",pow_alt_inline,,,,56285214.0,ns,24291633
"pow(3, 7)",pow_alt_inline,,,,57430384.0,ns,24717802
"pow(3, 7)",pow_alt_inline,,,,58200390.0,ns,25143971
"pow(3, 7)",pow_alt_inline,,,,59329767.0,ns,25570140
"pow(3, 7)",pow_alt_inline,,,,60466363.0,ns,25996309
"pow(3, 7)",pow_alt_inline,,,,61673145.0,ns,26422478
"pow(3, 7)",pow_alt_inline,,,,62166482.0,ns,26848647
"pow(3, 7)",pow_alt_inline,,,,63117922.0,ns,27274816
"pow(3, 7)",pow_alt_inline,,,,64123077.0,ns,27700985
"pow(3, 7)",pow_alt_inline,,,,65195982.0,ns,28127154
"pow(3, 7)",pow_alt_inline,,,,66065813.0,ns,28553323
"pow(3, 7)",pow_alt_inline,,,,67335255.0,ns,28979492
"pow(3, 7)",pow_alt_inline,,,,69373801.0,ns,29405661
"pow(3, 7)",pow_alt_inline,,,,69392355.0,ns,29831830
"pow(3, 7)",pow_alt_inline,,,,70123834.0,ns,30257999
"pow(3, 7)",pow_alt_inline,,,,71061144.0,ns,30684168
"pow(3, 7)",pow_alt_inline,,,,72281943.0,ns,31110337
"pow(3, 7)",pow_alt_inline,,,,73012825.0,ns,31536506
"pow(3, 7)",pow_alt_inline,,,,74007859.0,ns,31962675
"pow(3, 7)",pow_alt_inline,,,,74991259.0,ns,32388844
"pow(3, 7)",pow_alt_inline,,,,76429379.0,ns,32815013
"pow(3, 7)",pow_alt_inline,,,,77743704.0,ns,33241182
"pow(3, 7)",pow_alt_inline,,,,77936600.0,ns,33667351
"pow(3, 7)",pow_alt_inline,,,,79106503.0,ns,34093520
"pow(3, 7)",pow_alt_inline,,,,79876026.0,ns,34519689
"pow(3, 7)",pow_alt_inline,,,,81636197.0,ns,34945858
"pow(3, 7)",pow_alt_inline,,,,82616699.0,ns,35372027
"pow(3, 7)",pow_alt_inline,,,,82896962.0,ns,35798196
"pow(3, 7)",pow_alt_inline,,,,84086642.0,ns,36224365
"pow(3, 7)",pow_alt_inline,,,,85338051.0,ns,36650534
"pow(3, 7)",pow_alt_inline,,,,85826735.0,ns,37076703
"pow(3, 7)",pow_alt_inline,,,,86875715.0,ns,37502872
"pow(3, 7)",pow_alt_inline,,,,88363554.0,ns,37929041
"pow(3, 7)",pow_alt_inline,,,,88857779.0,ns,38355210
"pow(3, 7)",pow_alt_inline,,,,89867894.0,ns,38781379
"pow(3, 7)",pow_alt_inline,,,,91133722.0,ns,39207548
"pow(3, 7)",pow_alt_inline,,,,91723142.0,ns,39633717
"pow(3, 7)",pow_alt_inline,,,,94449660.0,ns,40059886
"pow(3, 7)",pow_alt_inline,,,,93767774.0,ns,40486055
"pow(3, 7)",pow_alt_inline,,,,95190567.0,ns,40912224
"pow(3, 7)",pow_alt_inline,,,,95825581.0,ns,41338393
"pow(3, 7)",pow_alt_inline,,,,96705360.0,ns,41764562
"pow(3, 7)",pow_alt_inline,,,,98357640.0,ns,42190731
"pow(3, 7)",pow_alt_inline,,,,99082937.0,ns,42616900
