group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"pow(4, 7)",pow_alt_2opt,,,,1002722.0,ns,548104
"pow(4, 7)",pow_alt_2opt,,,,1972159.0,ns,1096208
"pow(4, 7)",pow_alt_2opt,,,,3045178.0,ns,1644312
"pow(4, 7)",pow_alt_2opt,,,,3965842.0,ns,2192416
"pow(4, 7)",pow_alt_2opt,,,,5362635.0,ns,2740520
"pow(4, 7)",pow_alt_2opt,,,,6002640.0,ns,3288624
"pow(4, 7)",pow_alt_2opt,,,,7057368.0,ns,3836728
"pow(4, 7)",pow_alt_2opt,,,,8103559.0,ns,4384832
"pow(4, 7)",pow_alt_2opt,,,,8978185.0,ns,4932936
"pow(4, 7)",pow_alt_2opt,,,,9930200.0,ns,5481040
"pow(4, 7)",pow_alt_2opt,,,,10867232.0,ns,6029144
"pow(4, 7)",pow_alt_2opt,,,,11842097.0,ns,6577248
"pow(4, 7)",pow_alt_2opt,,,,12826557.0,ns,7125352
"pow(4, 7)",pow_alt_2opt,,,,13872853.0,ns,7673456
"pow(4, 7)",pow_alt_2opt,,,,14800859.0,ns,8221560
"pow(4, 7)",pow_alt_2opt,,,,15831566.0,ns,8769664
"pow(4, 7)",pow_alt_2opt,,,,16885476.0,ns,9317768
"pow(4, 7)",pow_alt_2opt,,,,17785597.0,ns,9865872
"pow(4, 7)",pow_alt_2opt,,,,18747499.0,ns,10413976
"pow(4, 7)",pow_alt_2opt,,,,19733492.0,ns,10962080
"pow(4, 7)",pow_alt_2opt,,,,20740017.0,ns,11510184
"pow(4, 7)",pow_alt_2opt,,,,21705458.0,ns,12058288
"pow(4, 7)",pow_alt_2opt,,,,22774630.0,ns,12606392
"pow(4, 7)",pow_alt_2opt,,,,24270469.0,ns,13154496
"pow(4, 7)",pow_alt_2opt,,,,24712455.0,ns,13702600
"pow(4, 7)",pow_alt_2opt,,,,25680592.0,ns,14250704
"pow(4, 7)",pow_alt_2opt,,,,26638105.0,ns,14798808
"pow(4, 7)",pow_alt_2opt,,,,27629685.0,ns,15346912
"pow(4, 7)",pow_alt_2opt,,,,28663524.0,ns,15895016
"pow(4, 7)",pow_alt_2opt,,,,29601616.0,ns,16443120
"pow(4, 7)",pow_alt_2opt,,,,30647580.0,ns,16991224
"pow(4, 7)",pow_alt_2opt,,,,32006955.0,ns,17539328
"pow(4, 7)",pow_alt_2opt,,,,32606656.0,ns,18087432
"pow(4, 7)",pow_alt_2opt,,,,33857922.0,ns,18635536
"pow(4, 7)",pow_alt_2opt,,,,34847815.0,ns,19183640
"pow(4, 7)",pow_alt_2opt,,,,35884423.0,ns,19731744
"pow(4, 7)",pow_alt_2opt,,,,36518808.0,ns,20279848
"pow(4, 7)",pow_alt_2opt,,,,37502842.0,ns,20827952
"pow(4, 7)",pow_alt_2opt,,,,38584620.0,ns,21376056
"pow(4, 7)",pow_alt_2opt,,,,39578553.0,ns,21924160
"pow(4, 7)",pow_alt_2opt,,,,40461298.0,ns,22472264
"pow(4, 7)",pow_alt_2opt,,,,42028827.0,ns,23020368
"pow(4, 7)",pow_alt_2opt,,,,42458555.0,ns,23568472
"pow(4, 7)",pow_alt_2opt,,,,43463819.0,ns,24116576
"pow(4, 7)",pow_alt_2opt,,,,44445959.0,ns,24664680
"pow(4, 7)",pow_alt_2opt,,,,45392110.0,ns,25212784
"pow(4, 7)",pow_alt_2opt,,,,46731710.0,ns,25760888
"pow(4, 7)",pow_alt_2opt,,,,47435631.0,ns,26308992
"pow(4, 7)",pow_alt_2opt,,,,48340485.0,ns,26857096
"pow(4, 7)",pow_alt_2opt,,,,49397461.0,ns,27405200
"pow(4, 7)",pow_alt_2opt,,,,50904652.0,ns,27953304
"pow(4, 7)",pow_alt_2opt,,,,51373205.0,ns,28501408
"pow(4, 7)",pow_alt_2opt,,,,52283205.0,ns,29049512
"pow(4, 7)",pow_alt_2opt,,,,53289824.0,ns,29597616
"pow(4, 7)",pow_alt_2opt,,,,54349867.0,ns,30145720
"pow(4, 7)",pow_alt_2opt,,,,55292222.0,ns,30693824
"pow(4, 7)",pow_alt_2opt,,,,56379812.0,ns,31241928
"pow(4, 7)",pow_alt_2opt,,,,57228723.0,ns,31790032
"pow(4, 7)",pow_alt_2opt,,,,58583646.0,ns,32338136
"pow(4, 7)",pow_alt_2opt,,,,59515582.0,ns,32886240
"pow(4, 7)",pow_alt_2opt,,,,60231564.0,ns,33434344
"pow(4, 7)",pow_alt_2opt,,,,61235553.0,ns,33982448
"pow(4, 7)",pow_alt_2opt,,,,62164417.0,ns,34530552
"pow(4, 7)",pow_alt_2opt,,,,63260448.0,ns,35078656
"pow(4, 7)",pow_alt_2opt,,,,64193349.0,ns,35626760
"pow(4, 7)",pow_alt_2opt,,,,65256491.0,ns,36174864
"pow(4, 7)",pow_alt_2opt,,,,66088140.0,ns,36722968
"pow(4, 7)",pow_alt_2opt,,,,67941893.0,ns,37271072
"pow(4, 7)",pow_alt_2opt,,,,68158473.0,ns,37819176
"pow(4, 7)",pow_alt_2opt,,,,69059910.0,ns,38367280
"pow(4, 7)",pow_alt_2opt,,,,70181170.0,ns,38915384
"pow(4, 7)",pow_alt_2opt,,,,71213600.0,ns,39463488
"pow(4, 7)",pow_alt_2opt,,,,72051971.0,ns,40011592
"pow(4, 7)",pow_alt_2opt,,,,73010487.0,ns,40559696
"pow(4, 7)",pow_alt_2opt,,,,74048303.0,ns,41107800
"pow(4, 7)",pow_alt_2opt,,,,75368927.0,ns,41655904
"pow(4, 7)",pow_alt_2opt,,,,76336116.0,ns,42204008
"pow(4, 7)",pow_alt_2opt,,,,77088938.0,ns,42752112
"pow(4, 7)",pow_alt_2opt,,,,77976312.0,ns,43300216
"pow(4, 7)",pow_alt_2opt,,,,78935461.0,ns,43848320
"pow(4, 7)",pow_alt_2opt,,,,79995672.0,ns,44396424
"pow(4, 7)",pow_alt_2opt,,,,81652818.0,ns,44944528
"pow(4, 7)",pow_alt_2opt,,,,81966680.0,ns,45492632
"pow(4, 7)",pow_alt_2opt,,,,83514927.0,ns,46040736
"pow(4, 7)",pow_alt_2opt,,,,84060252.0,ns,46588840
"pow(4, 7)",pow_alt_2opt,,,,84880317.0,ns,47136944
"pow(4, 7)",pow_alt_2opt,,,,85900015.0,ns,47685048
"pow(4, 7)",pow_alt_2opt,,,,86964183.0,ns,48233152
"pow(4, 7)",pow_alt_2opt,,,,88642777.0,ns,48781256
"pow(4, 7)",pow_alt_2opt,,,,88880346.0,ns,49329360
"pow(4, 7)",pow_alt_2opt,,,,90273713.0,ns,49877464
"pow(4, 7)",pow_alt_2opt,,,,90804214.0,ns,50425568
"pow(4, 7)",pow_alt_2opt,,,,92387039.0,ns,50973672
"pow(4, 7)",pow_alt_2opt,,,,92765472.0,ns,51521776
"pow(4, 7)",pow_alt_2opt,,,,93777841.0,ns,52069880
"pow(4, 7)",pow_alt_2opt,,,,94967562.0,ns,52617984
"pow(4, 7)",pow_alt_2opt,,,,95730892.0,ns,53166088
"pow(4, 7)",pow_alt_2opt,,,,97228420.0,ns,53714192
"pow(4, 7)",pow_alt_2opt,,,,99100796.0,ns,54262296
"pow(4, 7)",pow_alt_2opt,,,,98916417.0,ns,54810400
